time,Brooklyn,pts.away,score,pts.home,Philadelphia
2:49.0,Offensive rebound by Team,,84-90,,
2:38.0,W. Ellington misses 3-pt shot from 23 ft,,84-90,,
2:36.0,,,84-90,,Defensive rebound by C. Landry
2:19.0,,,84-92,2,C. Landry makes 2-pt shot at rim (assist by H. Thompson)
2:02.0,D. Sloan misses 2-pt shot from 2 ft,,84-92,,
2:00.0,,,84-92,,Defensive rebound by C. Landry
1:40.0,,,84-94,2,N. Noel makes 2-pt shot from 1 ft (assist by I. Smith)
1:40.0,,,84-94,,Shooting foul by S. Kilpatrick (drawn by N. Noel)
1:40.0,Brooklyn full timeout,,84-94,,
1:40.0,,,84-94,,N. Noel misses free throw 1 of 1
1:39.0,Defensive rebound by S. Kilpatrick,,84-94,,
1:29.0,Shooting foul by I. Canaan (drawn by D. Sloan),,84-94,,
1:29.0,D. Sloan makes free throw 1 of 2,1,85-94,,
1:29.0,D. Sloan makes free throw 2 of 2,1,86-94,,
1:08.0,,,86-94,,I. Smith misses 2-pt shot from 15 ft
1:06.0,Defensive rebound by S. Kilpatrick,,86-94,,
0:57.0,W. Ellington misses 3-pt shot from 25 ft,,86-94,,
0:55.0,,,86-94,,Defensive rebound by H. Thompson
0:41.0,Personal foul by D. Sloan,,86-94,,
0:41.0,,,86-94,,I. Smith misses free throw 1 of 2
0:41.0,,,86-94,,Offensive rebound by Team
0:41.0,,,86-95,1,I. Smith makes free throw 2 of 2
0:30.0,B. Lopez misses 3-pt shot from 26 ft,,86-95,,
0:28.0,,,86-95,,Defensive rebound by H. Thompson
0:04.0,,,86-95,,Turnover by Team (shot clock)
0:00.0,W. Ellington makes 3-pt shot from 25 ft (assist by D. Sloan),3,89-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
