time,New York,pts.away,score,pts.home,Sacramento
4:36.0,,,84-88,,Defensive rebound by D. Cousins
4:31.0,Personal foul by K. Porzingis (drawn by D. Cousins),,84-88,,
4:22.0,,,84-88,,Turnover by R. Gay (lost ball; steal by L. Thomas)
4:13.0,C. Anthony misses 3-pt shot from 24 ft,,84-88,,
4:12.0,Offensive rebound by K. Porzingis,,84-88,,
4:00.0,,,84-88,,Personal foul by R. Gay (drawn by C. Anthony)
4:00.0,C. Anthony misses free throw 1 of 2,,84-88,,
4:00.0,Offensive rebound by Team,,84-88,,
4:00.0,A. Afflalo enters the game for L. Thomas,,84-88,,
4:00.0,C. Anthony makes free throw 2 of 2,1,85-88,,
3:39.0,,,85-91,3,R. Gay makes 3-pt shot from 24 ft (assist by D. Collison)
3:13.0,K. Porzingis makes 2-pt shot from 10 ft,2,87-91,,
3:13.0,Shooting foul by D. Cousins (drawn by K. Porzingis),,87-91,,
3:13.0,K. Porzingis makes free throw 1 of 1,1,88-91,,
2:57.0,,,88-93,2,R. Rondo makes 2-pt shot at rim
2:38.0,A. Afflalo misses 2-pt shot from 22 ft,,88-93,,
2:37.0,Offensive rebound by C. Anthony,,88-93,,
2:37.0,C. Anthony misses 2-pt shot from 2 ft,,88-93,,
2:36.0,,,88-93,,Defensive rebound by D. Cousins
2:36.0,Personal foul by K. Porzingis (drawn by D. Cousins),,88-93,,
2:36.0,Official timeout,,88-93,,
2:28.0,,,88-93,,D. Cousins misses 2-pt shot from 3 ft
2:27.0,,,88-93,,Offensive rebound by D. Cousins
2:27.0,,,88-93,,D. Cousins misses 2-pt shot from 3 ft
2:25.0,,,88-93,,Offensive rebound by D. Cousins
2:25.0,,,88-95,2,D. Cousins makes 2-pt shot from 2 ft
1:57.0,A. Afflalo makes 2-pt shot from 22 ft (assist by K. Porzingis),2,90-95,,
1:40.0,,,90-95,,D. Cousins misses 2-pt shot from 3 ft (block by A. Afflalo)
1:40.0,Defensive rebound by Team,,90-95,,
1:29.0,K. Porzingis misses 3-pt shot from 26 ft,,90-95,,
1:28.0,,,90-95,,Defensive rebound by R. Gay
1:11.0,,,90-95,,D. Collison misses 2-pt shot from 16 ft
1:10.0,Defensive rebound by A. Afflalo,,90-95,,
1:02.0,C. Anthony makes 3-pt shot from 26 ft,3,93-95,,
0:41.0,,,93-95,,Turnover by D. Cousins (lost ball)
0:41.0,New York full timeout,,93-95,,
0:30.0,A. Afflalo misses 3-pt shot from 25 ft,,93-95,,
0:30.0,,,93-95,,Defensive rebound by R. Rondo
0:25.0,,,93-95,,Shooting foul by A. Afflalo (drawn by O. Casspi)
0:25.0,,,93-96,1,O. Casspi makes free throw 1 of 2
0:25.0,,,93-97,1,O. Casspi makes free throw 2 of 2
0:25.0,New York full timeout,,93-97,,
0:17.0,A. Afflalo misses 3-pt shot from 23 ft,,93-97,,
0:16.0,Offensive rebound by K. Porzingis,,93-97,,
0:16.0,Shooting foul by R. Rondo (drawn by K. Porzingis),,93-97,,
0:16.0,K. Porzingis makes free throw 1 of 2,1,94-97,,
0:16.0,,,94-97,,M. Belinelli enters the game for O. Casspi
0:16.0,L. Galloway enters the game for J. Calderon,,94-97,,
0:16.0,K. Porzingis makes free throw 2 of 2,1,95-97,,
0:16.0,,,95-97,,Sacramento full timeout
0:16.0,L. Thomas enters the game for A. Afflalo,,95-97,,
0:16.0,Personal take foul by L. Galloway (drawn by D. Collison),,95-97,,
0:16.0,,,95-98,1,D. Collison makes free throw 1 of 2
0:16.0,,,95-98,,O. Casspi enters the game for M. Belinelli
0:16.0,A. Afflalo enters the game for L. Thomas,,95-98,,
0:16.0,,,95-99,1,D. Collison makes free throw 2 of 2
0:09.0,C. Anthony makes 2-pt shot from 2 ft,2,97-99,,
0:06.0,,,97-99,,Turnover by D. Collison (lost ball; steal by A. Afflalo)
0:05.0,New York full timeout,,97-99,,
0:05.0,J. Calderon enters the game for L. Galloway,,97-99,,
0:00.0,C. Anthony misses 3-pt shot from 27 ft,,97-99,,
0:00.0,Offensive rebound by Team,,97-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
