time,New Orleans,pts.away,score,pts.home,LA Lakers
4:43.0,Offensive rebound by Team,,81-80,,
4:43.0,A. Gee makes free throw 2 of 2,1,82-80,,
4:28.0,,,82-80,,Turnover by J. Clarkson (traveling)
4:14.0,A. Gee makes 2-pt shot at rim (assist by J. Holiday),2,84-80,,
4:01.0,,,84-80,,L. Williams misses 2-pt shot from 11 ft
3:58.0,,,84-80,,Offensive rebound by L. Nance
3:55.0,,,84-82,2,L. Nance makes 2-pt shot from 1 ft
3:38.0,J. Holiday misses 3-pt shot from 23 ft,,84-82,,
3:38.0,,,84-82,,Defensive rebound by Team
3:24.0,,,84-82,,L. Nance misses 2-pt shot from 15 ft
3:22.0,Defensive rebound by T. Evans,,84-82,,
3:06.0,T. Evans makes 3-pt shot from 24 ft,3,87-82,,
2:57.0,New Orleans full timeout,,87-82,,
2:40.0,,,87-85,3,L. Williams makes 3-pt shot from 25 ft
2:23.0,J. Holiday makes 2-pt shot from 16 ft,2,89-85,,
2:14.0,,,89-85,,Shooting foul by N. Cole (drawn by J. Clarkson)
2:14.0,,,89-85,,J. Clarkson misses free throw 1 of 2
2:14.0,,,89-85,,Offensive rebound by Team
2:14.0,,,89-86,1,J. Clarkson makes free throw 2 of 2
1:58.0,J. Holiday misses 2-pt shot from 1 ft,,89-86,,
1:56.0,,,89-86,,Defensive rebound by J. Randle
1:52.0,,,89-86,,J. Clarkson misses 2-pt shot from 1 ft
1:51.0,,,89-86,,Offensive rebound by J. Randle
1:50.0,,,89-88,2,J. Randle makes 2-pt shot from 1 ft
1:32.0,Shooting foul by L. Nance (drawn by T. Evans),,89-88,,
1:32.0,T. Evans misses free throw 1 of 2,,89-88,,
1:32.0,Offensive rebound by Team,,89-88,,
1:32.0,T. Evans misses free throw 2 of 2,,89-88,,
1:29.0,,,89-88,,Defensive rebound by J. Randle
1:16.0,,,89-90,2,L. Williams makes 2-pt shot from 10 ft
1:16.0,New Orleans full timeout,,89-90,,
1:07.0,J. Holiday makes 2-pt shot from 1 ft (assist by T. Evans),2,91-90,,
0:51.0,,,91-90,,L. Williams misses 2-pt shot from 20 ft
0:50.0,,,91-90,,Offensive rebound by J. Randle
0:43.0,,,91-92,2,J. Randle makes 2-pt shot from 1 ft
0:43.0,New Orleans full timeout,,91-92,,
0:33.0,J. Holiday misses 3-pt shot from 24 ft,,91-92,,
0:33.0,,,91-92,,Defensive rebound by L. Williams
0:19.0,,,91-94,2,L. Williams makes 2-pt shot from 6 ft
0:19.0,New Orleans full timeout,,91-94,,
0:19.0,E. Gordon enters the game for A. Gee,,91-94,,
0:07.0,T. Evans misses 3-pt shot from 25 ft,,91-94,,
0:06.0,,,91-94,,Defensive rebound by J. Randle
0:06.0,Personal take foul by R. Anderson (drawn by J. Randle),,91-94,,
0:06.0,,,91-94,,J. Randle misses free throw 1 of 2
0:06.0,,,91-94,,Offensive rebound by Team
0:06.0,,,91-95,1,J. Randle makes free throw 2 of 2
0:00.0,T. Evans misses 3-pt shot from 26 ft,,91-95,,
0:00.0,Offensive rebound by Team,,91-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
