time,Golden State,pts.away,score,pts.home,Boston
6:33.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,89-89,,
6:32.0,,,89-89,,Boston full timeout
6:32.0,,,89-89,,A. Bradley enters the game for E. Turner
6:32.0,,,89-89,,J. Crowder enters the game for J. Young
6:32.0,,,89-89,,J. Sullinger enters the game for D. Lee
6:21.0,,,89-91,2,A. Bradley makes 2-pt shot from 19 ft (assist by I. Thomas)
6:00.0,,,89-91,,Shooting block foul by K. Olynyk (drawn by D. Green)
6:00.0,D. Green makes free throw 1 of 2,1,90-91,,
6:00.0,D. Green makes free throw 2 of 2,1,91-91,,
5:51.0,Personal foul by D. Green (drawn by K. Olynyk),,91-91,,
5:51.0,,,91-91,,K. Olynyk misses free throw 1 of 2
5:51.0,,,91-91,,Offensive rebound by Team
5:51.0,,,91-92,1,K. Olynyk makes free throw 2 of 2
5:40.0,S. Curry makes 3-pt shot from 25 ft,3,94-92,,
5:21.0,,,94-94,2,A. Bradley makes 2-pt shot from 21 ft
5:09.0,Turnover by S. Curry (step out of bounds),,94-94,,
4:58.0,,,94-94,,A. Bradley misses 2-pt shot from 16 ft
4:57.0,Defensive rebound by F. Ezeli,,94-94,,
4:48.0,S. Curry misses 2-pt shot from 2 ft,,94-94,,
4:47.0,,,94-94,,Defensive rebound by J. Sullinger
4:32.0,,,94-94,,Shooting foul by S. Livingston (drawn by I. Thomas)
4:32.0,,,94-95,1,I. Thomas makes free throw 1 of 2
4:32.0,,,94-96,1,I. Thomas makes free throw 2 of 2
4:12.0,F. Ezeli misses 2-pt shot from 5 ft (block by J. Sullinger),,94-96,,
4:10.0,Offensive rebound by F. Ezeli,,94-96,,
4:09.0,Turnover by F. Ezeli (lost ball),,94-96,,
3:58.0,,,94-99,3,I. Thomas makes 3-pt shot from 26 ft (assist by J. Sullinger)
3:44.0,,,94-99,,Personal foul by A. Bradley (drawn by S. Curry)
3:44.0,S. Curry makes free throw 1 of 2,1,95-99,,
3:44.0,,,95-99,,E. Turner enters the game for A. Bradley
3:44.0,S. Curry makes free throw 2 of 2,1,96-99,,
3:26.0,,,96-99,,Turnover by I. Thomas (bad pass; steal by S. Curry)
3:20.0,S. Curry misses 2-pt shot from 19 ft (block by E. Turner),,96-99,,
3:19.0,Offensive rebound by Team,,96-99,,
3:03.0,D. Green misses 3-pt shot from 26 ft,,96-99,,
3:02.0,Offensive rebound by F. Ezeli,,96-99,,
3:00.0,Turnover by S. Curry (step out of bounds),,96-99,,
2:45.0,,,96-99,,E. Turner misses 2-pt shot from 3 ft
2:44.0,Defensive rebound by F. Ezeli,,96-99,,
2:31.0,S. Curry misses 3-pt shot from 26 ft,,96-99,,
2:29.0,Offensive rebound by S. Curry,,96-99,,
2:28.0,S. Curry misses 2-pt shot from 1 ft (block by E. Turner),,96-99,,
2:27.0,,,96-99,,Defensive rebound by Team
2:27.0,Official timeout,,96-99,,
2:07.0,,,96-101,2,K. Olynyk makes 2-pt shot from 10 ft (assist by I. Thomas)
1:48.0,A. Iguodala misses 2-pt shot from 3 ft,,96-101,,
1:47.0,Offensive rebound by S. Livingston,,96-101,,
1:46.0,S. Livingston makes 2-pt shot from 1 ft,2,98-101,,
1:25.0,,,98-101,,J. Sullinger misses 2-pt shot from 6 ft
1:24.0,Defensive rebound by D. Green,,98-101,,
1:17.0,,,98-101,,Personal foul by E. Turner (drawn by S. Curry)
1:17.0,S. Curry makes free throw 1 of 2,1,99-101,,
1:17.0,S. Curry makes free throw 2 of 2,1,100-101,,
1:17.0,,,100-101,,Boston full timeout
1:17.0,,,100-101,,A. Bradley enters the game for E. Turner
1:04.0,,,100-101,,J. Sullinger misses 2-pt shot from 20 ft
1:03.0,Defensive rebound by D. Green,,100-101,,
0:47.0,S. Curry makes 3-pt shot from 28 ft (assist by S. Livingston),3,103-101,,
0:47.0,,,103-101,,Boston full timeout
0:47.0,,,103-101,,E. Turner enters the game for J. Sullinger
0:41.0,,,103-103,2,I. Thomas makes 2-pt shot at rim
0:24.0,S. Curry misses 2-pt shot from 17 ft,,103-103,,
0:23.0,,,103-103,,Defensive rebound by K. Olynyk
0:03.0,,,103-103,,I. Thomas misses 3-pt shot from 25 ft (block by S. Livingston)
0:01.0,Defensive rebound by D. Green,,103-103,,
0:01.0,Golden State full timeout,,103-103,,
0:01.0,,,103-103,,J. Jerebko enters the game for I. Thomas
0:01.0,,,103-103,,J. Sullinger enters the game for K. Olynyk
0:01.0,L. Barbosa enters the game for S. Livingston,,103-103,,
0:01.0,Turnover by A. Iguodala (bad pass),,103-103,,
0:01.0,,,103-103,,Boston full timeout
0:01.0,,,103-103,,K. Olynyk enters the game for J. Sullinger
0:01.0,,,103-103,,I. Thomas enters the game for J. Jerebko
0:01.0,A. Bogut enters the game for F. Ezeli,,103-103,,
0:01.0,S. Livingston enters the game for L. Barbosa,,103-103,,
0:00.0,,,103-103,,K. Olynyk misses 2-pt shot from 21 ft
0:00.0,,,103-103,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:43.0,,,103-103,,A. Bradley misses 3-pt shot from 27 ft
4:41.0,Defensive rebound by D. Green,,103-103,,
4:35.0,D. Green misses 2-pt shot at rim,,103-103,,
4:34.0,,,103-103,,Defensive rebound by Team
4:34.0,Loose ball foul by F. Ezeli (drawn by J. Crowder),,103-103,,
4:23.0,,,103-103,,K. Olynyk misses 2-pt shot from 9 ft
4:22.0,Defensive rebound by D. Green,,103-103,,
4:01.0,S. Livingston misses 2-pt shot from 14 ft,,103-103,,
4:00.0,,,103-103,,Defensive rebound by A. Johnson
3:49.0,,,103-105,2,K. Olynyk makes 2-pt shot at rim (assist by I. Thomas)
3:41.0,Shooting foul by A. Bradley (drawn by S. Curry),,103-105,,
3:41.0,,,103-105,,E. Turner enters the game for A. Bradley
3:41.0,S. Curry makes free throw 1 of 2,1,104-105,,
3:41.0,A. Bogut enters the game for F. Ezeli,,104-105,,
3:41.0,S. Curry makes free throw 2 of 2,1,105-105,,
3:28.0,Personal foul by A. Bogut (drawn by I. Thomas),,105-105,,
3:18.0,,,105-105,,K. Olynyk misses 2-pt shot from 7 ft
3:17.0,Defensive rebound by Team,,105-105,,
3:17.0,,,105-105,,Loose ball foul by A. Johnson (drawn by D. Green)
3:17.0,,,105-105,,J. Sullinger enters the game for A. Johnson
3:02.0,A. Iguodala makes 3-pt shot from 24 ft (assist by A. Bogut),3,108-105,,
2:41.0,,,108-105,,K. Olynyk misses 2-pt shot at rim (block by A. Bogut)
2:40.0,Defensive rebound by S. Curry,,108-105,,
2:20.0,A. Iguodala misses 2-pt shot from 2 ft,,108-105,,
2:19.0,,,108-105,,Defensive rebound by K. Olynyk
2:11.0,,,108-105,,I. Thomas misses 2-pt shot from 5 ft
2:10.0,Defensive rebound by D. Green,,108-105,,
2:05.0,A. Iguodala misses 2-pt shot from 13 ft,,108-105,,
2:04.0,,,108-105,,Defensive rebound by I. Thomas
1:56.0,,,108-105,,E. Turner misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by D. Green,,108-105,,
1:41.0,S. Curry misses 3-pt shot from 25 ft,,108-105,,
1:40.0,,,108-105,,Defensive rebound by Team
1:40.0,,,108-105,,Boston full timeout
1:35.0,,,108-105,,Turnover by I. Thomas (bad pass)
1:16.0,D. Green misses 3-pt shot from 26 ft,,108-105,,
1:15.0,,,108-105,,Defensive rebound by J. Sullinger
1:04.0,,,108-108,3,K. Olynyk makes 3-pt shot from 22 ft (assist by E. Turner)
0:54.0,S. Curry makes 2-pt shot from 1 ft,2,110-108,,
0:42.0,,,110-110,2,K. Olynyk makes 2-pt shot from 1 ft (assist by E. Turner)
0:24.0,S. Curry misses 3-pt shot from 26 ft,,110-110,,
0:24.0,,,110-110,,Defensive rebound by J. Sullinger
0:02.0,,,110-110,,I. Thomas misses 2-pt shot from 13 ft
0:01.0,Defensive rebound by A. Bogut,,110-110,,
0:01.0,Golden State full timeout,,110-110,,
0:01.0,,,110-110,,A. Johnson enters the game for I. Thomas
0:01.0,,,110-110,,J. Jerebko enters the game for K. Olynyk
0:01.0,L. Barbosa enters the game for A. Bogut,,110-110,,
0:01.0,D. Green misses 2-pt shot from 1 ft,,110-110,,
0:00.0,Offensive rebound by Team,,110-110,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
5:00.0,Start of 2nd overtime,,,,Start of 2nd overtime
5:00.0,Jump ball: A. Bogut vs. A. Johnson (I. Thomas gains possession),,,,Jump ball: A. Bogut vs. A. Johnson (I. Thomas gains possession)
4:40.0,,,110-110,,I. Thomas misses 2-pt shot from 10 ft
4:39.0,,,110-110,,Offensive rebound by A. Johnson
4:15.0,,,110-110,,A. Johnson misses 2-pt shot at rim
4:14.0,,,110-110,,Offensive rebound by E. Turner
4:09.0,,,110-110,,K. Olynyk misses 3-pt shot from 24 ft
4:08.0,Defensive rebound by L. Barbosa,,110-110,,
4:01.0,A. Iguodala makes 2-pt shot at rim (assist by S. Curry),2,112-110,,
3:46.0,,,112-110,,Shooting foul by A. Bogut (drawn by E. Turner)
3:46.0,,,112-112,2,E. Turner makes 2-pt shot from 1 ft
3:46.0,,,112-113,1,E. Turner makes free throw 1 of 1
3:30.0,A. Bogut misses 2-pt shot from 10 ft,,112-113,,
3:29.0,,,112-113,,Defensive rebound by K. Olynyk
3:13.0,,,112-113,,E. Turner misses 2-pt shot from 9 ft
3:12.0,,,112-113,,Offensive rebound by E. Turner
3:02.0,,,112-113,,E. Turner misses 2-pt shot from 2 ft (block by A. Bogut)
3:01.0,Defensive rebound by A. Bogut,,112-113,,
2:57.0,L. Barbosa misses 2-pt shot from 1 ft (block by J. Crowder),,112-113,,
2:56.0,Offensive rebound by A. Iguodala,,112-113,,
2:53.0,A. Iguodala makes 2-pt shot from 1 ft,2,114-113,,
2:43.0,F. Ezeli enters the game for A. Bogut,,114-113,,
2:43.0,,,114-113,,J. Young enters the game for A. Johnson
2:43.0,Golden State full timeout,,114-113,,
2:43.0,S. Livingston enters the game for F. Ezeli,,114-113,,
2:30.0,,,114-113,,I. Thomas misses 3-pt shot from 26 ft
2:29.0,Defensive rebound by A. Iguodala,,114-113,,
2:16.0,Turnover by S. Curry (step out of bounds),,114-113,,
2:04.0,,,114-113,,Turnover by E. Turner (lost ball; steal by D. Green)
2:00.0,,,114-113,,J. Sullinger enters the game for K. Olynyk
1:50.0,S. Livingston makes 2-pt shot at rim (assist by D. Green),2,116-113,,
1:26.0,,,116-113,,J. Crowder misses 3-pt shot from 25 ft
1:25.0,,,116-113,,Offensive rebound by Team
1:25.0,,,116-113,,Turnover by Team (shot clock)
1:25.0,,,116-113,,A. Johnson enters the game for J. Sullinger
1:15.0,Turnover by S. Curry (bad pass; steal by E. Turner),,116-113,,
1:12.0,,,116-115,2,E. Turner makes 2-pt shot from 1 ft (assist by J. Crowder)
0:52.0,D. Green makes 2-pt shot from 1 ft,2,118-115,,
0:52.0,,,118-115,,Boston full timeout
0:52.0,,,118-115,,K. Olynyk enters the game for A. Johnson
0:52.0,,,118-115,,J. Sullinger enters the game for J. Young
0:52.0,F. Ezeli enters the game for L. Barbosa,,118-115,,
0:44.0,,,118-117,2,E. Turner makes 2-pt shot at rim
0:26.0,,,118-117,,Personal foul by I. Thomas (drawn by S. Livingston)
0:26.0,,,118-117,,J. Jerebko enters the game for I. Thomas
0:21.0,F. Ezeli misses 2-pt shot from 2 ft,,118-117,,
0:20.0,Offensive rebound by S. Livingston,,118-117,,
0:18.0,,,118-117,,Personal foul by J. Crowder (drawn by S. Livingston)
0:18.0,S. Livingston makes free throw 1 of 2,1,119-117,,
0:18.0,,,119-117,,A. Johnson enters the game for K. Olynyk
0:18.0,S. Livingston makes free throw 2 of 2,1,120-117,,
0:18.0,,,120-117,,Boston full timeout
0:18.0,,,120-117,,I. Thomas enters the game for A. Johnson
0:18.0,,,120-117,,J. Young enters the game for J. Sullinger
0:18.0,,,120-117,,K. Olynyk enters the game for J. Jerebko
0:14.0,,,120-119,2,J. Crowder makes 2-pt shot at rim (assist by K. Olynyk)
0:13.0,,,120-119,,Personal take foul by I. Thomas (drawn by S. Curry)
0:13.0,S. Curry makes free throw 1 of 2,1,121-119,,
0:13.0,S. Curry makes free throw 2 of 2,1,122-119,,
0:13.0,,,122-119,,Boston full timeout
0:13.0,,,122-119,,J. Sullinger enters the game for J. Young
0:07.0,,,122-119,,J. Crowder misses 2-pt shot from 21 ft
0:05.0,Defensive rebound by A. Iguodala,,122-119,,
0:05.0,,,122-119,,Personal take foul by J. Sullinger (drawn by A. Iguodala)
0:05.0,A. Iguodala makes free throw 1 of 2,1,123-119,,
0:05.0,A. Iguodala makes free throw 2 of 2,1,124-119,,
0:02.0,,,124-119,,Turnover by J. Crowder (bad pass; steal by A. Iguodala)
0:00.0,End of 2nd overtime,,,,End of 2nd overtime
