time,Phoenix,pts.away,score,pts.home,Philadelphia
6:48.0,,,86-94,,I. Smith misses 2-pt shot from 9 ft
6:47.0,Defensive rebound by A. Goodwin,,86-94,,
6:41.0,,,86-94,,Personal foul by R. Covington (drawn by S. Weems)
6:31.0,M. Morris misses 2-pt shot from 5 ft,,86-94,,
6:29.0,,,86-94,,Defensive rebound by R. Covington
6:20.0,,,86-97,3,N. Stauskas makes 3-pt shot from 25 ft (assist by R. Covington)
5:55.0,A. Goodwin makes 3-pt shot from 25 ft,3,89-97,,
5:44.0,,,89-97,,Shooting foul by A. Len (drawn by N. Noel)
5:44.0,,,89-98,1,N. Noel makes free throw 1 of 2
5:44.0,,,89-99,1,N. Noel makes free throw 2 of 2
5:27.0,A. Goodwin makes 2-pt shot from 21 ft,2,91-99,,
5:27.0,Shooting foul by I. Smith (drawn by A. Goodwin),,91-99,,
5:27.0,A. Goodwin makes free throw 1 of 1,1,92-99,,
5:12.0,,,92-101,2,I. Smith makes 2-pt shot at rim
4:52.0,D. Booker misses 2-pt shot from 1 ft,,92-101,,
4:50.0,Offensive rebound by A. Len,,92-101,,
4:50.0,A. Len misses 2-pt shot at rim,,92-101,,
4:49.0,,,92-101,,Defensive rebound by N. Stauskas
4:34.0,,,92-101,,R. Covington misses 3-pt shot from 25 ft
4:32.0,Defensive rebound by D. Booker,,92-101,,
4:20.0,A. Len misses 2-pt shot from 6 ft,,92-101,,
4:17.0,,,92-101,,Defensive rebound by H. Thompson
3:59.0,,,92-101,,H. Thompson misses 2-pt shot from 7 ft (block by A. Len)
3:59.0,,,92-101,,Offensive rebound by Team
3:57.0,,,92-101,,Turnover by I. Smith (bad pass; steal by A. Goodwin)
3:52.0,A. Goodwin makes 2-pt shot at rim,2,94-101,,
3:26.0,,,94-103,2,N. Noel makes 2-pt shot from 15 ft (assist by I. Smith)
3:25.0,Phoenix full timeout,,94-103,,
3:05.0,M. Morris misses 2-pt shot from 15 ft,,94-103,,
3:03.0,,,94-103,,Defensive rebound by R. Covington
2:44.0,,,94-103,,H. Thompson misses 3-pt shot from 24 ft
2:42.0,,,94-103,,Offensive rebound by I. Smith
2:25.0,,,94-105,2,I. Smith makes 2-pt shot from 1 ft
2:13.0,A. Len misses 2-pt shot from 15 ft,,94-105,,
2:11.0,,,94-105,,Defensive rebound by R. Covington
1:46.0,,,94-105,,I. Smith misses 2-pt shot from 19 ft
1:44.0,Defensive rebound by M. Morris,,94-105,,
1:37.0,S. Weems makes 3-pt shot from 25 ft (assist by D. Booker),3,97-105,,
1:26.0,,,97-107,2,I. Smith makes 2-pt shot at rim
1:14.0,S. Weems misses 3-pt shot from 25 ft,,97-107,,
1:13.0,,,97-107,,Defensive rebound by I. Smith
1:11.0,Personal foul by D. Booker (drawn by I. Smith),,97-107,,
1:11.0,,,97-108,1,I. Smith makes free throw 1 of 2
1:11.0,,,97-108,,J. Grant enters the game for N. Stauskas
1:11.0,,,97-109,1,I. Smith makes free throw 2 of 2
1:11.0,Phoenix full timeout,,97-109,,
1:11.0,P. Tucker enters the game for A. Len,,97-109,,
1:11.0,T. Warren enters the game for M. Morris,,97-109,,
1:00.0,A. Goodwin makes 2-pt shot at rim,2,99-109,,
0:52.0,,,99-111,2,H. Thompson makes 2-pt shot from 21 ft (assist by J. Grant)
0:47.0,P. Tucker misses 2-pt shot from 21 ft,,99-111,,
0:43.0,Offensive rebound by S. Weems,,99-111,,
0:40.0,T. Warren misses 3-pt shot from 23 ft,,99-111,,
0:38.0,Offensive rebound by P. Tucker,,99-111,,
0:35.0,T. Warren makes 2-pt shot from 6 ft (assist by P. Tucker),2,101-111,,
0:27.0,,,101-111,,Shooting foul by D. Booker (drawn by J. Grant)
0:27.0,,,101-111,,J. Grant misses free throw 1 of 2
0:27.0,,,101-111,,Offensive rebound by Team
0:27.0,,,101-111,,J. Grant misses free throw 2 of 2
0:27.0,Defensive rebound by A. Goodwin,,101-111,,
0:27.0,Phoenix full timeout,,101-111,,
0:24.0,T. Warren misses 3-pt shot from 23 ft,,101-111,,
0:22.0,,,101-111,,Defensive rebound by I. Smith
0:20.0,Personal foul by T. Warren (drawn by I. Smith),,101-111,,
0:20.0,,,101-112,1,I. Smith makes free throw 1 of 2
0:20.0,,,101-112,,T. McConnell enters the game for N. Noel
0:20.0,,,101-113,1,I. Smith makes free throw 2 of 2
0:01.0,A. Goodwin makes 2-pt shot from 2 ft,2,103-113,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
