time,Oklahoma City,pts.away,score,pts.home,New Orleans
3:47.0,R. Westbrook makes free throw 1 of 2,1,52-52,,
3:47.0,K. Durant enters the game for S. Ibaka,,52-52,,
3:47.0,R. Westbrook misses free throw 2 of 2,,52-52,,
3:45.0,Offensive rebound by K. Durant,,52-52,,
3:37.0,S. Adams makes 2-pt shot from 1 ft (assist by K. Durant),2,54-52,,
3:11.0,,,54-54,2,R. Anderson makes 2-pt shot from 19 ft (assist by N. Cole)
2:57.0,R. Westbrook makes 2-pt shot from 2 ft,2,56-54,,
2:45.0,,,56-54,,Turnover by N. Cole (bad pass; steal by D. Waiters)
2:39.0,K. Durant misses 3-pt shot from 25 ft,,56-54,,
2:38.0,,,56-54,,Defensive rebound by D. Cunningham
2:30.0,,,56-54,,R. Anderson misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by S. Adams,,56-54,,
2:22.0,Turnover by K. Durant (lost ball; steal by D. Cunningham),,56-54,,
2:17.0,,,56-56,2,N. Cole makes 2-pt shot from 1 ft (assist by D. Cunningham)
1:59.0,D. Waiters misses 3-pt shot from 24 ft,,56-56,,
1:58.0,,,56-56,,Defensive rebound by R. Anderson
1:43.0,,,56-56,,A. Davis misses 2-pt shot from 6 ft
1:42.0,Defensive rebound by K. Durant,,56-56,,
1:36.0,A. Roberson misses 2-pt shot from 1 ft,,56-56,,
1:35.0,,,56-56,,Defensive rebound by D. Cunningham
1:17.0,,,56-56,,A. Davis misses 2-pt shot at rim
1:15.0,Defensive rebound by K. Durant,,56-56,,
1:11.0,Shooting foul by A. Gee (drawn by K. Durant),,56-56,,
1:11.0,Official timeout,,56-56,,
1:11.0,S. Ibaka enters the game for S. Adams,,56-56,,
1:11.0,,,56-56,,L. Babbitt enters the game for D. Cunningham
1:11.0,,,56-56,,T. Douglas enters the game for A. Gee
1:11.0,K. Durant makes free throw 1 of 2,1,57-56,,
1:11.0,K. Durant makes free throw 2 of 2,1,58-56,,
0:53.0,,,58-59,3,N. Cole makes 3-pt shot from 26 ft
0:38.0,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook),3,61-59,,
0:14.0,,,61-61,2,R. Anderson makes 2-pt shot from 4 ft (assist by N. Cole)
0:01.0,R. Westbrook makes 2-pt shot from 16 ft,2,63-61,,
0:01.0,Shooting foul by T. Douglas (drawn by R. Westbrook),,63-61,,
0:01.0,R. Westbrook makes free throw 1 of 1,1,64-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,64-61,,A. Davis misses 2-pt shot from 19 ft
11:50.0,Defensive rebound by S. Ibaka,,64-61,,
11:33.0,R. Westbrook misses 2-pt shot from 17 ft,,64-61,,
11:32.0,,,64-61,,Defensive rebound by A. Ajinca
11:16.0,,,64-61,,A. Davis misses 2-pt shot from 16 ft
11:15.0,Defensive rebound by R. Westbrook,,64-61,,
10:53.0,R. Westbrook misses 3-pt shot from 28 ft,,64-61,,
10:52.0,Offensive rebound by Team,,64-61,,
10:52.0,Turnover by Team (shot clock),,64-61,,
10:31.0,,,64-61,,Shooting foul by S. Adams (drawn by N. Cole)
10:31.0,,,64-62,1,N. Cole makes free throw 1 of 3
10:31.0,,,64-63,1,N. Cole makes free throw 2 of 3
10:31.0,,,64-64,1,N. Cole makes free throw 3 of 3
10:12.0,K. Durant misses 3-pt shot from 25 ft,,64-64,,
10:10.0,,,64-64,,Defensive rebound by Team
9:54.0,,,64-64,,N. Cole misses 2-pt shot at rim
9:54.0,Defensive rebound by S. Ibaka,,64-64,,
9:49.0,R. Westbrook misses 2-pt shot from 1 ft,,64-64,,
9:48.0,Offensive rebound by S. Adams,,64-64,,
9:47.0,S. Adams makes 2-pt shot at rim,2,66-64,,
9:28.0,,,66-64,,A. Ajinca misses 2-pt shot at rim (block by S. Ibaka)
9:27.0,Defensive rebound by K. Durant,,66-64,,
9:18.0,Turnover by S. Adams (bad pass),,66-64,,
9:04.0,,,66-66,2,A. Davis makes 2-pt shot at rim (assist by A. Ajinca)
8:40.0,S. Ibaka makes 2-pt shot from 6 ft (assist by K. Durant),2,68-66,,
8:13.0,,,68-66,,N. Cole misses 2-pt shot from 15 ft
8:12.0,,,68-66,,Offensive rebound by A. Ajinca
8:06.0,,,68-66,,A. Davis misses 2-pt shot from 12 ft
8:05.0,Defensive rebound by K. Durant,,68-66,,
7:54.0,S. Ibaka makes 2-pt shot from 15 ft (assist by R. Westbrook),2,70-66,,
7:42.0,,,70-68,2,A. Davis makes 2-pt shot from 19 ft (assist by N. Cole)
7:24.0,Offensive foul by S. Ibaka,,70-68,,
7:24.0,Turnover by S. Ibaka (offensive foul),,70-68,,
7:24.0,,,70-68,,J. Holiday enters the game for A. Gee
7:24.0,E. Kanter enters the game for S. Adams,,70-68,,
7:12.0,,,70-70,2,A. Davis makes 2-pt shot from 12 ft (assist by J. Holiday)
6:52.0,K. Durant makes 2-pt shot from 14 ft (assist by R. Westbrook),2,72-70,,
6:36.0,,,72-72,2,N. Cole makes 2-pt shot from 1 ft (assist by A. Davis)
6:20.0,,,72-72,,Personal foul by J. Holiday (drawn by S. Ibaka)
6:12.0,Turnover by R. Westbrook (bad pass),,72-72,,
6:02.0,,,72-74,2,J. Holiday makes 2-pt shot from 1 ft
