time,Orlando,pts.away,score,pts.home,LA Lakers
1:44.0,D. Dedmon enters the game for C. Watson,,92-107,,
1:39.0,D. Marble makes 2-pt shot from 1 ft,2,94-107,,
1:16.0,,,94-107,,D. Russell misses 2-pt shot from 20 ft
1:16.0,Defensive rebound by A. Nicholson,,94-107,,
1:16.0,Orlando full timeout,,94-107,,
1:12.0,M. Hezonja misses 3-pt shot from 25 ft,,94-107,,
1:11.0,,,94-107,,Defensive rebound by J. Clarkson
0:46.0,,,94-107,,J. Randle misses 2-pt shot from 2 ft
0:44.0,Defensive rebound by D. Dedmon,,94-107,,
0:40.0,,,94-107,,Personal foul by L. Nance
0:40.0,D. Dedmon misses free throw 1 of 2,,94-107,,
0:40.0,Offensive rebound by Team,,94-107,,
0:40.0,D. Dedmon makes free throw 2 of 2,1,95-107,,
0:20.0,,,95-107,,J. Clarkson misses 3-pt shot from 25 ft
0:19.0,Defensive rebound by D. Dedmon,,95-107,,
0:06.0,M. Hezonja makes 3-pt shot from 24 ft (assist by S. Napier),3,98-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
