time,Utah,pts.away,score,pts.home,Denver
2:52.0,,,90-78,,E. Mudiay misses 3-pt shot from 24 ft
2:51.0,Defensive rebound by J. Ingles,,90-78,,
2:33.0,Shooting foul by E. Mudiay (drawn by G. Hayward),,90-78,,
2:33.0,G. Hayward makes free throw 1 of 2,1,91-78,,
2:33.0,G. Hayward makes free throw 2 of 2,1,92-78,,
2:21.0,,,92-78,,Shooting foul by R. Gobert (drawn by W. Barton)
2:21.0,,,92-79,1,W. Barton makes free throw 1 of 2
2:21.0,,,92-80,1,W. Barton makes free throw 2 of 2
1:57.0,R. Hood misses 3-pt shot from 24 ft,,92-80,,
1:56.0,Offensive rebound by R. Gobert,,92-80,,
1:42.0,R. Hood makes 2-pt shot from 2 ft (assist by A. Burks),2,94-80,,
1:33.0,,,94-80,,Shooting foul by A. Burks (drawn by D. Gallinari)
1:33.0,,,94-80,,D. Gallinari misses free throw 1 of 2
1:33.0,,,94-80,,Offensive rebound by Team
1:33.0,,,94-80,,N. Jokic enters the game for K. Faried
1:33.0,,,94-80,,M. Miller enters the game for E. Mudiay
1:33.0,,,94-80,,D. Gallinari misses free throw 2 of 2
1:32.0,Defensive rebound by R. Gobert,,94-80,,
1:21.0,R. Gobert misses 2-pt shot from 2 ft (block by N. Jokic),,94-80,,
1:20.0,Offensive rebound by R. Gobert,,94-80,,
1:16.0,R. Gobert misses 2-pt shot from 1 ft (block by W. Barton),,94-80,,
1:14.0,,,94-80,,Defensive rebound by N. Jokic
1:12.0,,,94-80,,Shooting foul by A. Burks (drawn by W. Barton)
1:12.0,,,94-81,1,W. Barton makes free throw 1 of 2
1:12.0,,,94-81,,K. Papanikolaou enters the game for D. Gallinari
1:12.0,T. Burke enters the game for G. Hayward,,94-81,,
1:12.0,C. Johnson enters the game for R. Hood,,94-81,,
1:12.0,T. Pleiss enters the game for A. Burks,,94-81,,
1:12.0,T. Lyles enters the game for J. Ingles,,94-81,,
1:12.0,E. Millsap enters the game for R. Gobert,,94-81,,
1:12.0,,,94-82,1,W. Barton makes free throw 2 of 2
0:58.0,T. Lyles misses 2-pt shot from 16 ft,,94-82,,
0:57.0,,,94-82,,Defensive rebound by W. Barton
0:40.0,,,94-82,,M. Miller misses 3-pt shot from 25 ft
0:40.0,,,94-82,,Offensive rebound by Team
0:40.0,Loose ball foul by T. Burke (drawn by N. Jokic),,94-82,,
0:40.0,,,94-83,1,N. Jokic makes free throw 1 of 2
0:40.0,R. Neto enters the game for T. Burke,,94-83,,
0:40.0,,,94-84,1,N. Jokic makes free throw 2 of 2
0:19.0,E. Millsap misses 2-pt shot from 2 ft,,94-84,,
0:19.0,Offensive rebound by T. Lyles,,94-84,,
0:19.0,T. Lyles misses 2-pt shot from 1 ft,,94-84,,
0:18.0,Offensive rebound by T. Lyles,,94-84,,
0:18.0,T. Lyles makes 2-pt shot from 2 ft,2,96-84,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
