time,Denver,pts.away,score,pts.home,Boston
8:00.0,Offensive rebound by K. Faried,,75-95,,
8:00.0,K. Faried makes 2-pt shot at rim,2,77-95,,
7:48.0,,,77-97,2,A. Bradley makes 2-pt shot from 20 ft (assist by K. Olynyk)
7:36.0,W. Barton makes 3-pt shot from 25 ft (assist by K. Faried),3,80-97,,
7:15.0,,,80-99,2,J. Jerebko makes 2-pt shot from 1 ft (assist by K. Olynyk)
6:59.0,W. Barton makes 3-pt shot from 26 ft (assist by R. Foye),3,83-99,,
6:40.0,,,83-99,,K. Olynyk misses 2-pt shot at rim
6:39.0,Defensive rebound by K. Faried,,83-99,,
6:28.0,R. Foye makes 2-pt shot from 1 ft (assist by W. Barton),2,85-99,,
6:28.0,,,85-99,,Boston full timeout
6:28.0,,,85-99,,A. Johnson enters the game for K. Olynyk
6:20.0,,,85-99,,Turnover by E. Turner (bad pass; steal by K. Faried)
6:17.0,K. Faried makes 2-pt shot at rim,2,87-99,,
6:10.0,Personal foul by W. Barton (drawn by E. Turner),,87-99,,
5:53.0,,,87-99,,Turnover by A. Johnson (lost ball)
5:35.0,W. Barton misses 2-pt shot from 2 ft,,87-99,,
5:34.0,Offensive rebound by K. Faried,,87-99,,
5:34.0,K. Faried makes 2-pt shot at rim,2,89-99,,
5:20.0,,,89-101,2,E. Turner makes 2-pt shot from 16 ft (assist by J. Jerebko)
5:05.0,Turnover by M. Miller (bad pass; steal by A. Bradley),,89-101,,
4:55.0,,,89-101,,Shooting foul by S. Kilpatrick (drawn by J. Jerebko)
4:55.0,,,89-102,1,J. Jerebko makes free throw 1 of 3
4:55.0,,,89-102,,J. Jerebko misses free throw 2 of 3
4:55.0,,,89-102,,Offensive rebound by Team
4:55.0,,,89-102,,I. Thomas enters the game for M. Smart
4:55.0,G. Harris enters the game for S. Kilpatrick,,89-102,,
4:55.0,D. Gallinari enters the game for M. Miller,,89-102,,
4:55.0,,,89-102,,J. Jerebko misses free throw 3 of 3
4:55.0,Defensive rebound by W. Barton,,89-102,,
4:42.0,R. Foye misses 2-pt shot from 2 ft (block by A. Johnson),,89-102,,
4:41.0,Offensive rebound by K. Faried,,89-102,,
4:40.0,K. Faried misses 2-pt shot from 1 ft,,89-102,,
4:39.0,Offensive rebound by Team,,89-102,,
4:39.0,,,89-102,,J. Crowder enters the game for J. Jerebko
4:37.0,D. Gallinari makes 2-pt shot at rim (assist by W. Barton),2,91-102,,
4:37.0,Shooting foul by E. Turner (drawn by D. Gallinari),,91-102,,
4:37.0,D. Gallinari makes free throw 1 of 1,1,92-102,,
4:18.0,,,92-104,2,E. Turner makes 2-pt shot from 9 ft (assist by A. Johnson)
4:01.0,W. Barton misses 3-pt shot from 24 ft,,92-104,,
4:00.0,,,92-104,,Defensive rebound by A. Johnson
3:44.0,,,92-104,,I. Thomas misses 2-pt shot from 5 ft
3:42.0,Defensive rebound by K. Faried,,92-104,,
3:36.0,Turnover by W. Barton (lost ball; steal by E. Turner),,92-104,,
3:29.0,,,92-104,,J. Crowder misses 3-pt shot from 24 ft
3:28.0,Defensive rebound by D. Gallinari,,92-104,,
3:14.0,D. Gallinari misses 2-pt shot from 3 ft,,92-104,,
3:14.0,,,92-104,,Defensive rebound by A. Johnson
3:08.0,,,92-106,2,J. Crowder makes 2-pt shot from 1 ft (assist by E. Turner)
3:08.0,Denver full timeout,,92-106,,
3:03.0,,,92-106,,Personal foul by A. Bradley (drawn by W. Barton)
3:03.0,W. Barton misses free throw 1 of 2,,92-106,,
3:03.0,Offensive rebound by Team,,92-106,,
3:03.0,W. Barton makes free throw 2 of 2,1,93-106,,
2:50.0,,,93-108,2,A. Bradley makes 2-pt shot from 4 ft (assist by A. Johnson)
2:35.0,R. Foye misses 2-pt shot from 19 ft,,93-108,,
2:34.0,Offensive rebound by D. Gallinari,,93-108,,
2:15.0,K. Faried misses 2-pt shot from 6 ft,,93-108,,
2:14.0,Offensive rebound by D. Gallinari,,93-108,,
2:11.0,R. Foye makes 3-pt shot from 25 ft (assist by D. Gallinari),3,96-108,,
2:03.0,Personal take foul by R. Foye (drawn by A. Johnson),,96-108,,
2:03.0,,,96-109,1,A. Johnson makes free throw 1 of 2
2:03.0,,,96-109,,M. Smart enters the game for I. Thomas
2:03.0,,,96-109,,A. Johnson misses free throw 2 of 2
2:02.0,Defensive rebound by Team,,96-109,,
2:02.0,,,96-109,,Loose ball foul by A. Johnson (drawn by R. Foye)
2:02.0,R. Foye makes free throw 1 of 2,1,97-109,,
2:02.0,,,97-109,,K. Olynyk enters the game for A. Johnson
2:02.0,R. Foye makes free throw 2 of 2,1,98-109,,
1:39.0,,,98-111,2,K. Olynyk makes 2-pt shot at rim (assist by E. Turner)
1:29.0,,,98-111,,Violation by K. Olynyk (kicked ball)
1:29.0,S. Kilpatrick enters the game for D. Gallinari,,98-111,,
1:17.0,R. Foye misses 3-pt shot from 25 ft,,98-111,,
1:16.0,,,98-111,,Defensive rebound by J. Crowder
0:59.0,,,98-111,,E. Turner misses 2-pt shot from 3 ft
0:57.0,,,98-111,,Offensive rebound by E. Turner
0:57.0,,,98-111,,E. Turner misses 2-pt shot from 1 ft
0:56.0,Defensive rebound by K. Faried,,98-111,,
0:50.0,W. Barton makes 2-pt shot from 2 ft (assist by K. Faried),2,100-111,,
0:50.0,Shooting foul by J. Crowder (drawn by W. Barton),,100-111,,
0:50.0,J. Hickson enters the game for K. Faried,,100-111,,
0:50.0,W. Barton makes free throw 1 of 1,1,101-111,,
0:36.0,,,101-111,,A. Bradley misses 3-pt shot from 23 ft
0:35.0,Defensive rebound by R. Foye,,101-111,,
0:28.0,Shooting foul by K. Olynyk (drawn by G. Harris),,101-111,,
0:28.0,G. Harris makes free throw 1 of 2,1,102-111,,
0:28.0,G. Harris makes free throw 2 of 2,1,103-111,,
0:04.0,,,103-111,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
