time,Washington,pts.away,score,pts.home,LA Lakers
2:16.0,,,97-80,1,D. Russell makes free throw 1 of 2
2:16.0,,,97-81,1,D. Russell makes free throw 2 of 2
1:58.0,Turnover by M. Thornton (lost ball; steal by D. Russell),,97-81,,
1:52.0,,,97-83,2,J. Randle makes 2-pt shot from 2 ft (assist by J. Clarkson)
1:33.0,J. Hickson makes 2-pt shot from 1 ft,2,99-83,,
1:26.0,,,99-83,,Turnover by D. Russell (lost ball; steal by J. Hickson)
1:19.0,M. Thornton misses 3-pt shot from 25 ft,,99-83,,
1:18.0,,,99-83,,Defensive rebound by T. Black
1:07.0,,,99-83,,Offensive charge foul by J. Clarkson
1:07.0,,,99-83,,Turnover by J. Clarkson (offensive foul)
1:07.0,R. Sessions enters the game for O. Porter,,99-83,,
1:07.0,K. Oubre enters the game for M. Gortat,,99-83,,
1:07.0,J. Eddie enters the game for J. Wall,,99-83,,
0:51.0,Turnover by M. Thornton (lost ball; steal by L. Nance),,99-83,,
0:44.0,,,99-83,,J. Randle misses 2-pt shot at rim
0:43.0,,,99-83,,Offensive rebound by J. Randle
0:42.0,,,99-85,2,J. Randle makes 2-pt shot at rim
0:22.0,J. Eddie makes 2-pt shot from 17 ft (assist by R. Sessions),2,101-85,,
0:08.0,,,101-88,3,D. Russell makes 3-pt shot from 25 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
