time,Orlando,pts.away,score,pts.home,Minnesota
4:57.0,,,87-85,,R. Rubio misses 3-pt shot from 22 ft
4:55.0,,,87-85,,Offensive rebound by G. Dieng
4:41.0,,,87-85,,A. Wiggins misses 2-pt shot from 3 ft
4:40.0,,,87-85,,Offensive rebound by A. Wiggins
4:37.0,,,87-87,2,A. Wiggins makes 2-pt shot from 1 ft
4:17.0,T. Harris misses 3-pt shot from 24 ft,,87-87,,
4:16.0,Offensive rebound by N. Vucevic,,87-87,,
4:13.0,A. Nicholson misses 3-pt shot from 24 ft,,87-87,,
4:11.0,,,87-87,,Defensive rebound by K. Garnett
3:57.0,,,87-87,,Z. LaVine misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by E. Payton,,87-87,,
3:40.0,E. Payton misses 2-pt shot from 19 ft,,87-87,,
3:39.0,Offensive rebound by Team,,87-87,,
3:39.0,,,87-87,,Loose ball foul by A. Wiggins (drawn by A. Nicholson)
3:39.0,Orlando full timeout,,87-87,,
3:26.0,N. Vucevic misses 2-pt shot from 17 ft,,87-87,,
3:25.0,,,87-87,,Defensive rebound by G. Dieng
3:01.0,,,87-87,,Turnover by Team (shot clock)
2:53.0,V. Oladipo makes 2-pt shot at rim (assist by E. Payton),2,89-87,,
2:33.0,,,89-87,,A. Wiggins misses 2-pt shot from 8 ft (block by V. Oladipo)
2:31.0,Defensive rebound by V. Oladipo,,89-87,,
2:18.0,V. Oladipo makes 3-pt shot from 25 ft (assist by E. Payton),3,92-87,,
2:05.0,,,92-87,,K. Garnett misses 2-pt shot from 19 ft
2:03.0,Defensive rebound by Team,,92-87,,
1:44.0,V. Oladipo misses 3-pt shot from 24 ft,,92-87,,
1:43.0,Offensive rebound by N. Vucevic,,92-87,,
1:36.0,Turnover by V. Oladipo (lost ball; steal by Z. LaVine),,92-87,,
1:29.0,,,92-87,,Turnover by G. Dieng (bad pass; steal by V. Oladipo)
1:09.0,T. Harris misses 3-pt shot from 23 ft,,92-87,,
1:07.0,,,92-87,,Defensive rebound by R. Rubio
0:58.0,,,92-87,,Z. LaVine misses 3-pt shot from 23 ft
0:57.0,,,92-87,,Offensive rebound by G. Dieng
0:55.0,,,92-89,2,G. Dieng makes 2-pt shot from 3 ft
0:55.0,,,92-89,,Shooting foul by N. Vucevic (drawn by G. Dieng)
0:55.0,,,92-90,1,G. Dieng makes free throw 1 of 1
0:36.0,E. Payton makes 2-pt shot at rim,2,94-90,,
0:36.0,,,94-90,,Minnesota full timeout
0:36.0,A. Gordon enters the game for A. Nicholson,,94-90,,
0:36.0,,,94-90,,N. Bjelica enters the game for K. Garnett
0:30.0,,,94-90,,Z. LaVine misses 3-pt shot from 26 ft
0:28.0,,,94-90,,Offensive rebound by Team
0:28.0,Loose ball foul by A. Gordon (drawn by A. Wiggins),,94-90,,
0:28.0,,,94-91,1,A. Wiggins makes free throw 1 of 2
0:28.0,A. Nicholson enters the game for T. Harris,,94-91,,
0:28.0,,,94-91,,K. Garnett enters the game for N. Bjelica
0:28.0,,,94-91,,T. Prince enters the game for R. Rubio
0:28.0,,,94-92,1,A. Wiggins makes free throw 2 of 2
0:28.0,Orlando full timeout,,94-92,,
0:28.0,T. Harris enters the game for A. Gordon,,94-92,,
0:11.0,N. Vucevic misses 2-pt shot from 6 ft,,94-92,,
0:10.0,,,94-92,,Defensive rebound by K. Garnett
0:06.0,Shooting block foul by V. Oladipo (drawn by A. Wiggins),,94-92,,
0:06.0,,,94-93,1,A. Wiggins makes free throw 1 of 2
0:06.0,,,94-93,,A. Wiggins misses free throw 2 of 2
0:05.0,Defensive rebound by A. Nicholson,,94-93,,
0:03.0,,,94-93,,Personal take foul by T. Prince (drawn by A. Nicholson)
0:03.0,A. Nicholson makes free throw 1 of 2,1,95-93,,
0:03.0,A. Nicholson makes free throw 2 of 2,1,96-93,,
0:03.0,,,96-93,,Minnesota full timeout
0:03.0,,,96-93,,N. Bjelica enters the game for K. Garnett
0:03.0,,,96-93,,S. Muhammad enters the game for G. Dieng
0:03.0,A. Gordon enters the game for A. Nicholson,,96-93,,
0:03.0,E. Fournier enters the game for N. Vucevic,,96-93,,
0:03.0,,,96-93,,Minnesota full timeout
0:01.0,,,96-93,,A. Wiggins misses 3-pt shot from 26 ft (block by A. Gordon)
0:00.0,Defensive rebound by V. Oladipo,,96-93,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
