time,Phoenix,pts.away,score,pts.home,Atlanta
8:19.0,,,79-82,,T. Hardaway misses 3-pt shot from 24 ft
8:19.0,,,79-82,,Offensive rebound by P. Millsap
8:19.0,,,79-82,,K. Korver enters the game for T. Sefolosha
8:19.0,,,79-82,,Technical foul by M. Scott
8:19.0,Technical foul by D. Booker,,79-82,,
8:10.0,,,79-82,,K. Korver misses 3-pt shot from 24 ft
8:08.0,,,79-82,,Offensive rebound by P. Millsap
7:59.0,,,79-84,2,T. Hardaway makes 2-pt shot from 9 ft
7:59.0,,,79-84,,Shooting foul by T. Chandler (drawn by T. Hardaway)
7:59.0,Violation by Team (delay of game),,79-84,,
7:59.0,,,79-84,,T. Sefolosha enters the game for K. Korver
7:59.0,,,79-85,1,T. Hardaway makes free throw 1 of 1
7:34.0,M. Teletovic misses 2-pt shot from 13 ft,,79-85,,
7:33.0,,,79-85,,Defensive rebound by P. Millsap
7:28.0,,,79-85,,T. Hardaway misses 3-pt shot from 23 ft
7:26.0,Defensive rebound by D. Booker,,79-85,,
7:15.0,M. Teletovic misses 2-pt shot from 8 ft,,79-85,,
7:14.0,,,79-85,,Defensive rebound by Team
7:14.0,,,79-85,,J. Teague enters the game for T. Hardaway
7:14.0,,,79-85,,A. Horford enters the game for D. Schroder
7:14.0,,,79-85,,K. Bazemore enters the game for M. Scott
7:14.0,P. Tucker enters the game for M. Teletovic,,79-85,,
7:11.0,Jump ball: A. Len vs. P. Millsap (A. Horford gains possession),,,,Jump ball: A. Len vs. P. Millsap (A. Horford gains possession)
7:07.0,,,79-85,,Turnover by A. Horford (lost ball; steal by D. Booker)
7:02.0,D. Booker misses 2-pt shot from 17 ft,,79-85,,
7:01.0,Offensive rebound by T. Chandler,,79-85,,
6:57.0,,,79-85,,Personal foul by K. Bazemore
6:48.0,R. Price misses 3-pt shot from 24 ft,,79-85,,
6:46.0,,,79-85,,Defensive rebound by P. Millsap
6:37.0,,,79-87,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
6:15.0,,,79-87,,Personal foul by J. Teague
6:15.0,,,79-87,,K. Korver enters the game for T. Sefolosha
6:10.0,D. Booker misses 3-pt shot from 25 ft,,79-87,,
6:10.0,,,79-87,,Defensive rebound by Team
6:10.0,Loose ball foul by A. Len,,79-87,,
6:10.0,,,79-88,1,P. Millsap makes free throw 1 of 2
6:10.0,,,79-89,1,P. Millsap makes free throw 2 of 2
6:00.0,Turnover by R. Price (lost ball; steal by J. Teague),,79-89,,
5:48.0,,,79-89,,Turnover by A. Horford (lost ball; steal by D. Booker)
5:42.0,R. Price misses 2-pt shot from 22 ft,,79-89,,
5:38.0,Offensive rebound by R. Price,,79-89,,
5:34.0,Turnover by D. Booker (lost ball; steal by A. Horford),,79-89,,
5:28.0,,,79-91,2,J. Teague makes 2-pt shot from 1 ft (assist by K. Bazemore)
5:17.0,P. Tucker misses 3-pt shot from 25 ft,,79-91,,
5:16.0,,,79-91,,Defensive rebound by K. Bazemore
4:59.0,,,79-93,2,A. Horford makes 2-pt shot from 1 ft (assist by K. Bazemore)
4:59.0,Phoenix full timeout,,79-93,,
4:59.0,Official timeout,,79-93,,
4:59.0,M. Teletovic enters the game for P. Tucker,,79-93,,
4:49.0,Turnover by R. Price (lost ball; steal by K. Bazemore),,79-93,,
4:44.0,,,79-93,,K. Bazemore misses 3-pt shot from 23 ft
4:42.0,,,79-93,,Offensive rebound by K. Bazemore
4:29.0,,,79-96,3,J. Teague makes 3-pt shot from 24 ft
4:13.0,D. Booker makes 3-pt shot from 24 ft,3,82-96,,
3:56.0,,,82-96,,J. Teague misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by T. Chandler,,82-96,,
3:36.0,A. Len misses 2-pt shot from 18 ft,,82-96,,
3:35.0,,,82-96,,Defensive rebound by P. Millsap
3:17.0,,,82-96,,J. Teague misses 2-pt shot from 10 ft
3:15.0,Defensive rebound by T. Chandler,,82-96,,
3:09.0,D. Booker misses 2-pt shot at rim,,82-96,,
3:06.0,,,82-96,,Defensive rebound by P. Millsap
3:02.0,,,82-98,2,K. Bazemore makes 2-pt shot from 2 ft (assist by P. Millsap)
3:02.0,Phoenix full timeout,,82-98,,
3:02.0,,,82-98,,M. Scott enters the game for A. Horford
3:02.0,P. Tucker enters the game for R. Price,,82-98,,
2:50.0,D. Booker makes 2-pt shot from 1 ft,2,84-98,,
2:35.0,,,84-100,2,J. Teague makes 2-pt shot from 1 ft
2:15.0,M. Teletovic misses 3-pt shot from 25 ft,,84-100,,
2:13.0,,,84-100,,Defensive rebound by P. Millsap
1:59.0,,,84-100,,K. Bazemore misses 2-pt shot from 21 ft
1:57.0,Defensive rebound by M. Teletovic,,84-100,,
1:50.0,P. Tucker misses 2-pt shot from 3 ft,,84-100,,
1:48.0,,,84-100,,Defensive rebound by K. Bazemore
1:48.0,Personal foul by A. Len,,84-100,,
1:48.0,,,84-100,,K. Bazemore misses free throw 1 of 2
1:48.0,,,84-100,,Offensive rebound by Team
1:48.0,,,84-100,,D. Schroder enters the game for J. Teague
1:48.0,,,84-100,,K. Humphries enters the game for P. Millsap
1:48.0,A. Goodwin enters the game for P. Tucker,,84-100,,
1:48.0,J. Jenkins enters the game for A. Len,,84-100,,
1:48.0,C. Budinger enters the game for T. Chandler,,84-100,,
1:48.0,A. Williams enters the game for D. Booker,,84-100,,
1:48.0,,,84-101,1,K. Bazemore makes free throw 2 of 2
1:37.0,J. Jenkins misses 3-pt shot from 24 ft,,84-101,,
1:36.0,,,84-101,,Defensive rebound by D. Schroder
1:21.0,,,84-103,2,K. Korver makes 2-pt shot from 16 ft (assist by K. Humphries)
1:00.0,C. Budinger makes 2-pt shot from 1 ft (assist by M. Teletovic),2,86-103,,
0:51.0,,,86-103,,D. Schroder misses 2-pt shot from 1 ft
0:49.0,Defensive rebound by A. Williams,,86-103,,
0:46.0,A. Goodwin makes 2-pt shot at rim,2,88-103,,
0:23.0,,,88-103,,K. Humphries misses 2-pt shot from 6 ft
0:21.0,Defensive rebound by C. Budinger,,88-103,,
0:14.0,J. Jenkins makes 2-pt shot from 22 ft (assist by C. Budinger),2,90-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
