time,Cleveland,pts.away,score,pts.home,Oklahoma City
3:18.0,Turnover by L. James (bad pass; steal by D. Waiters),,109-90,,
3:10.0,,,109-90,,A. Morrow misses 3-pt shot from 23 ft
3:09.0,Defensive rebound by T. Thompson,,109-90,,
2:47.0,L. James makes 2-pt shot from 22 ft,2,111-90,,
2:39.0,,,111-90,,R. Foye misses 2-pt shot from 1 ft
2:39.0,Defensive rebound by T. Thompson,,111-90,,
2:39.0,Cleveland full timeout,,111-90,,
2:39.0,,,111-90,,K. Singler enters the game for S. Adams
2:39.0,,,111-90,,M. McGary enters the game for A. Morrow
2:39.0,J. Jones enters the game for L. James,,111-90,,
2:39.0,T. Mozgov enters the game for K. Love,,111-90,,
2:39.0,S. Kaun enters the game for T. Thompson,,111-90,,
2:39.0,R. Jefferson enters the game for M. Dellavedova,,111-90,,
2:20.0,T. Mozgov makes 2-pt shot at rim (assist by J. Smith),2,113-90,,
2:08.0,Personal foul by S. Kaun (drawn by M. McGary),,113-90,,
2:01.0,,,113-90,,N. Collison misses 2-pt shot from 4 ft
2:00.0,Defensive rebound by R. Jefferson,,113-90,,
1:39.0,J. Jones makes 2-pt shot from 22 ft,2,115-90,,
1:26.0,,,115-92,2,R. Foye makes 2-pt shot from 20 ft (assist by M. McGary)
1:04.0,J. Jones misses 2-pt shot from 11 ft,,115-92,,
1:03.0,,,115-92,,Defensive rebound by M. McGary
0:52.0,,,115-92,,R. Foye misses 3-pt shot from 24 ft
0:52.0,Defensive rebound by T. Mozgov,,115-92,,
0:33.0,Turnover by Team (5 sec),,115-92,,
0:26.0,Personal foul by S. Kaun (drawn by M. McGary),,115-92,,
0:26.0,,,115-92,,M. McGary misses free throw 1 of 2
0:26.0,,,115-92,,Offensive rebound by Team
0:26.0,,,115-92,,M. McGary misses free throw 2 of 2
0:26.0,Defensive rebound by J. Jones,,115-92,,
0:00.0,Turnover by Team (shot clock),,115-92,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
