time,Minnesota,pts.away,score,pts.home,Portland
2:30.0,R. Rubio makes 2-pt shot from 16 ft,2,80-90,,
2:30.0,,,80-90,,Portland full timeout
2:04.0,,,80-90,,E. Davis misses 2-pt shot from 2 ft
2:04.0,Defensive rebound by Team,,80-90,,
1:53.0,Z. LaVine makes 3-pt shot from 25 ft (assist by A. Wiggins),3,83-90,,
1:38.0,Personal foul by G. Dieng (drawn by D. Lillard),,83-90,,
1:38.0,,,83-90,,D. Lillard misses free throw 1 of 2
1:38.0,,,83-90,,Offensive rebound by Team
1:38.0,,,83-91,1,D. Lillard makes free throw 2 of 2
1:32.0,Turnover by A. Wiggins (lost ball; steal by A. Aminu),,83-91,,
1:29.0,,,83-91,,Shooting foul by Z. LaVine (drawn by A. Aminu)
1:29.0,,,83-92,1,A. Aminu makes free throw 1 of 2
1:29.0,,,83-92,,A. Aminu misses free throw 2 of 2
1:28.0,Defensive rebound by K. Towns,,83-92,,
1:21.0,Z. LaVine makes 2-pt shot from 5 ft,2,85-92,,
0:55.0,,,85-92,,M. Leonard misses 3-pt shot from 33 ft
0:53.0,Defensive rebound by K. Towns,,85-92,,
0:45.0,R. Rubio makes 2-pt shot from 19 ft (assist by Z. LaVine),2,87-92,,
0:26.0,,,87-92,,D. Lillard misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by A. Wiggins,,87-92,,
0:25.0,Minnesota full timeout,,87-92,,
0:25.0,T. Prince enters the game for G. Dieng,,87-92,,
0:25.0,,,87-92,,A. Crabbe enters the game for M. Leonard
0:24.0,,,87-92,,Personal take foul by C. McCollum (drawn by K. Towns)
0:17.0,Z. LaVine misses 3-pt shot from 27 ft,,87-92,,
0:16.0,Offensive rebound by A. Wiggins,,87-92,,
0:13.0,R. Rubio makes 3-pt shot from 24 ft (assist by A. Wiggins),3,90-92,,
0:11.0,Personal take foul by Z. LaVine (drawn by C. McCollum),,90-92,,
0:11.0,G. Dieng enters the game for Z. LaVine,,90-92,,
0:11.0,,,90-93,1,C. McCollum makes free throw 1 of 2
0:11.0,,,90-94,1,C. McCollum makes free throw 2 of 2
0:11.0,Minnesota full timeout,,90-94,,
0:11.0,N. Bjelica enters the game for G. Dieng,,90-94,,
0:06.0,A. Wiggins misses 3-pt shot from 24 ft,,90-94,,
0:05.0,,,90-94,,Defensive rebound by D. Lillard
0:05.0,Personal foul by R. Rubio (drawn by D. Lillard),,90-94,,
0:05.0,,,90-95,1,D. Lillard makes free throw 1 of 2
0:05.0,,,90-96,1,D. Lillard makes free throw 2 of 2
0:00.0,T. Prince makes 3-pt shot from 22 ft (assist by R. Rubio),3,93-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
