time,Golden State,pts.away,score,pts.home,Charlotte
3:26.0,,,110-96,1,T. Hansbrough makes free throw 1 of 2
3:26.0,,,110-96,,T. Hansbrough misses free throw 2 of 2
3:23.0,Defensive rebound by B. Rush,,110-96,,
3:14.0,S. Livingston makes 2-pt shot from 10 ft,2,112-96,,
2:58.0,,,112-96,,Turnover by T. Hansbrough (traveling)
2:47.0,J. McAdoo misses 2-pt shot from 2 ft (block by T. Hansbrough),,112-96,,
2:45.0,,,112-96,,Defensive rebound by T. Hansbrough
2:39.0,,,112-98,2,F. Kaminsky makes 2-pt shot from 1 ft
2:39.0,,,112-98,,Shooting foul by J. McAdoo (drawn by F. Kaminsky)
2:39.0,,,112-98,,F. Kaminsky misses free throw 1 of 1
2:38.0,Defensive rebound by J. Thompson,,112-98,,
2:28.0,J. McAdoo makes 2-pt shot from 1 ft (assist by S. Livingston),2,114-98,,
2:15.0,,,114-98,,T. Daniels misses 2-pt shot from 18 ft
2:13.0,Defensive rebound by B. Rush,,114-98,,
2:04.0,J. McAdoo misses 2-pt shot from 2 ft,,114-98,,
2:03.0,,,114-98,,Defensive rebound by A. Harrison
2:00.0,Personal foul by S. Livingston (drawn by A. Harrison),,114-98,,
2:00.0,,,114-98,,A. Harrison misses free throw 1 of 2
2:00.0,,,114-98,,Offensive rebound by Team
2:00.0,,,114-98,,A. Harrison misses free throw 2 of 2
1:58.0,Defensive rebound by J. Thompson,,114-98,,
1:37.0,J. Thompson misses 2-pt shot from 5 ft,,114-98,,
1:36.0,,,114-98,,Defensive rebound by T. Daniels
1:23.0,Personal foul by J. McAdoo (drawn by T. Hansbrough),,114-98,,
1:23.0,,,114-99,1,T. Hansbrough makes free throw 1 of 2
1:23.0,,,114-99,,T. Hansbrough misses free throw 2 of 2
1:22.0,Defensive rebound by J. Thompson,,114-99,,
1:04.0,S. Livingston misses 3-pt shot from 23 ft,,114-99,,
1:03.0,Offensive rebound by B. Rush,,114-99,,
0:52.0,Turnover by J. McAdoo (bad pass; steal by B. Roberts),,114-99,,
0:48.0,,,114-99,,B. Roberts misses 2-pt shot from 1 ft (block by J. McAdoo)
0:48.0,,,114-99,,Offensive rebound by Team
0:45.0,,,114-99,,T. Daniels misses 2-pt shot from 18 ft
0:44.0,Defensive rebound by I. Clark,,114-99,,
0:36.0,J. McAdoo makes 2-pt shot at rim (assist by S. Livingston),2,116-99,,
0:24.0,,,116-99,,B. Roberts misses 2-pt shot from 3 ft (block by J. Thompson)
0:24.0,Defensive rebound by Team,,116-99,,
0:00.0,Turnover by Team (shot clock),,116-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
