time,New York,pts.away,score,pts.home,Memphis
0:30.0,,,92-98,,E. Williams misses free throw 1 of 2
0:30.0,,,92-98,,Offensive rebound by Team
0:30.0,,,92-99,1,E. Williams makes free throw 2 of 2
0:30.0,New York full timeout,,92-99,,
0:30.0,D. Williams makes 2-pt shot at rim (assist by S. Vujacic),2,94-99,,
0:29.0,,,94-99,,M. Gasol enters the game for J. Green
0:29.0,Jump ball: M. Barnes vs. J. Grant,,,,Jump ball: M. Barnes vs. J. Grant
0:25.0,Personal foul by L. Galloway (drawn by M. Barnes),,94-99,,
0:25.0,,,94-100,1,M. Barnes makes free throw 1 of 2
0:25.0,,,94-101,1,M. Barnes makes free throw 2 of 2
0:20.0,L. Galloway misses 3-pt shot from 25 ft,,94-101,,
0:19.0,Offensive rebound by J. Grant,,94-101,,
0:17.0,Shooting foul by M. Gasol (drawn by D. Williams),,94-101,,
0:17.0,D. Williams makes free throw 1 of 2,1,95-101,,
0:17.0,D. Williams misses free throw 2 of 2,,95-101,,
0:16.0,,,95-101,,Defensive rebound by M. Gasol
0:16.0,Personal take foul by S. Vujacic (drawn by M. Gasol),,95-101,,
0:16.0,,,95-102,1,M. Gasol makes free throw 1 of 2
0:16.0,,,95-103,1,M. Gasol makes free throw 2 of 2
0:12.0,J. Grant misses 3-pt shot from 28 ft,,95-103,,
0:10.0,,,95-103,,Defensive rebound by M. Barnes
0:00.0,End of 4th quarter,,,,End of 4th quarter
