time,Cleveland,pts.away,score,pts.home,New Orleans
2:16.0,Offensive rebound by L. James,,97-98,,
2:14.0,L. James misses 2-pt shot from 2 ft,,97-98,,
2:14.0,Offensive rebound by Team,,97-98,,
2:14.0,,,97-98,,J. Holiday enters the game for E. Gordon
2:08.0,M. Dellavedova misses 3-pt shot from 25 ft,,97-98,,
2:07.0,Offensive rebound by T. Thompson,,97-98,,
1:47.0,L. James makes 2-pt shot from 16 ft,2,99-98,,
1:36.0,,,99-98,,Turnover by J. Holiday (bad pass; steal by M. Dellavedova)
1:15.0,L. James makes 2-pt shot from 1 ft,2,101-98,,
1:15.0,,,101-98,,New Orleans full timeout
1:15.0,,,101-98,,R. Anderson enters the game for O. Asik
1:15.0,,,101-98,,E. Gordon enters the game for D. Cunningham
1:15.0,R. Jefferson enters the game for K. Love,,101-98,,
1:11.0,,,101-100,2,R. Anderson makes 2-pt shot from 1 ft
1:11.0,,,101-100,,J. Holiday misses 2-pt shot at rim
1:11.0,,,101-100,,Offensive rebound by R. Anderson
0:47.0,Turnover by J. Smith (lost ball; steal by A. Davis),,101-100,,
0:45.0,,,101-102,2,A. Davis makes 2-pt shot at rim
0:45.0,Cleveland full timeout,,101-102,,
0:45.0,K. Love enters the game for T. Thompson,,101-102,,
0:45.0,,,101-102,,D. Cunningham enters the game for E. Gordon
0:45.0,,,101-102,,A. Gee enters the game for R. Anderson
0:34.0,L. James makes 2-pt shot from 2 ft,2,103-102,,
0:21.0,,,103-102,,T. Evans misses 2-pt shot from 6 ft
0:20.0,Defensive rebound by R. Jefferson,,103-102,,
0:16.0,,,103-102,,Personal take foul by T. Evans (drawn by L. James)
0:16.0,L. James makes free throw 1 of 2,1,104-102,,
0:16.0,,,104-102,,O. Asik enters the game for A. Gee
0:16.0,T. Thompson enters the game for K. Love,,104-102,,
0:16.0,L. James makes free throw 2 of 2,1,105-102,,
0:16.0,,,105-102,,New Orleans full timeout
0:16.0,,,105-102,,R. Anderson enters the game for O. Asik
0:16.0,,,105-102,,E. Gordon enters the game for T. Evans
0:16.0,,,105-102,,T. Evans enters the game for D. Cunningham
0:08.0,,,105-105,3,J. Holiday makes 3-pt shot from 27 ft (assist by T. Evans)
0:08.0,Cleveland full timeout,,105-105,,
0:08.0,K. Love enters the game for T. Thompson,,105-105,,
0:08.0,,,105-105,,D. Cunningham enters the game for E. Gordon
0:08.0,,,105-105,,A. Gee enters the game for R. Anderson
0:01.0,L. James misses 2-pt shot from 18 ft,,105-105,,
0:00.0,Offensive rebound by R. Jefferson,,105-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:46.0,,,105-107,2,A. Davis makes 2-pt shot from 14 ft (assist by J. Holiday)
4:21.0,Shooting foul by J. Holiday (drawn by T. Thompson),,105-107,,
4:21.0,T. Thompson makes free throw 1 of 2,1,106-107,,
4:21.0,T. Thompson misses free throw 2 of 2,,106-107,,
4:21.0,,,106-107,,Defensive rebound by R. Anderson
3:59.0,,,106-107,,R. Anderson misses 3-pt shot from 23 ft
3:58.0,Defensive rebound by T. Thompson,,106-107,,
3:46.0,L. James misses 3-pt shot from 26 ft,,106-107,,
3:45.0,,,106-107,,Defensive rebound by A. Davis
3:33.0,,,106-109,2,J. Holiday makes 2-pt shot from 1 ft
3:17.0,L. James misses 2-pt shot from 9 ft,,106-109,,
3:17.0,,,106-109,,Defensive rebound by A. Davis
3:01.0,,,106-111,2,A. Davis makes 2-pt shot from 11 ft (assist by T. Evans)
3:00.0,Cleveland full timeout,,106-111,,
2:41.0,K. Love makes 2-pt shot from 9 ft,2,108-111,,
2:24.0,Personal foul by J. Smith (drawn by A. Davis),,108-111,,
2:15.0,,,108-113,2,A. Davis makes 2-pt shot from 15 ft (assist by T. Evans)
1:56.0,K. Love misses 2-pt shot from 19 ft,,108-113,,
1:55.0,,,108-113,,Defensive rebound by T. Evans
1:36.0,,,108-113,,D. Cunningham misses 3-pt shot from 24 ft
1:35.0,Defensive rebound by K. Love,,108-113,,
1:15.0,K. Love misses 3-pt shot from 26 ft,,108-113,,
1:14.0,,,108-113,,Defensive rebound by T. Evans
1:12.0,,,108-113,,New Orleans full timeout
0:54.0,,,108-113,,A. Davis misses 2-pt shot from 11 ft
0:51.0,Defensive rebound by L. James,,108-113,,
0:42.0,J. Smith misses 3-pt shot from 27 ft,,108-113,,
0:41.0,,,108-113,,Defensive rebound by D. Cunningham
0:19.0,,,108-113,,T. Evans misses 2-pt shot from 7 ft
0:18.0,Defensive rebound by Team,,108-113,,
0:17.0,Cleveland full timeout,,108-113,,
0:17.0,,,108-113,,A. Gee enters the game for R. Anderson
0:12.0,J. Smith misses 3-pt shot from 26 ft,,108-113,,
0:11.0,,,108-113,,Defensive rebound by A. Davis
0:08.0,Personal take foul by M. Dellavedova (drawn by J. Holiday),,108-113,,
0:08.0,,,108-113,,R. Anderson enters the game for A. Gee
0:08.0,,,108-113,,E. Gordon enters the game for D. Cunningham
0:02.0,Personal take foul by L. James (drawn by E. Gordon),,108-113,,
0:02.0,,,108-113,,E. Gordon misses free throw 1 of 2
0:02.0,,,108-113,,Offensive rebound by Team
0:02.0,,,108-114,1,E. Gordon makes free throw 2 of 2
0:00.0,End of 1st overtime,,,,End of 1st overtime
