time,Detroit,pts.away,score,pts.home,Phoenix
3:04.0,,,87-80,,Defensive rebound by P. Tucker
2:40.0,,,87-80,,M. Morris misses 2-pt shot from 13 ft
2:39.0,Defensive rebound by Team,,87-80,,
2:38.0,,,87-80,,Loose ball foul by P. Tucker (drawn by A. Tolliver)
2:38.0,Detroit full timeout,,87-80,,
2:38.0,A. Tolliver misses free throw 1 of 2,,87-80,,
2:38.0,Offensive rebound by Team,,87-80,,
2:38.0,A. Tolliver makes free throw 2 of 2,1,88-80,,
2:26.0,,,88-80,,M. Morris misses 2-pt shot from 6 ft
2:26.0,,,88-80,,Offensive rebound by P. Tucker
2:21.0,,,88-82,2,P. Tucker makes 2-pt shot from 3 ft
2:21.0,,,88-82,,Personal take foul by T. Chandler (drawn by A. Drummond)
2:21.0,A. Drummond misses free throw 1 of 2,,88-82,,
2:21.0,Offensive rebound by Team,,88-82,,
2:21.0,A. Drummond misses free throw 2 of 2,,88-82,,
2:19.0,,,88-82,,Defensive rebound by M. Morris
2:10.0,,,88-85,3,E. Bledsoe makes 3-pt shot from 25 ft
2:10.0,Detroit full timeout,,88-85,,
2:10.0,A. Baynes enters the game for A. Drummond,,88-85,,
1:47.0,R. Jackson makes 2-pt shot from 5 ft,2,90-85,,
1:47.0,Shooting foul by E. Bledsoe (drawn by R. Jackson),,90-85,,
1:47.0,A. Drummond enters the game for A. Baynes,,90-85,,
1:47.0,,,90-85,,R. Price enters the game for E. Bledsoe
1:47.0,R. Jackson makes free throw 1 of 1,1,91-85,,
1:41.0,Personal foul by A. Tolliver (drawn by B. Knight),,91-85,,
1:41.0,,,91-85,,B. Knight misses free throw 1 of 2
1:41.0,,,91-85,,Offensive rebound by Team
1:41.0,,,91-86,1,B. Knight makes free throw 2 of 2
1:36.0,,,91-86,,Personal foul by R. Price (drawn by R. Jackson)
1:36.0,R. Jackson makes free throw 1 of 2,1,92-86,,
1:36.0,S. Johnson enters the game for A. Tolliver,,92-86,,
1:36.0,R. Jackson makes free throw 2 of 2,1,93-86,,
1:31.0,,,93-86,,B. Knight misses 3-pt shot from 25 ft
1:28.0,Defensive rebound by R. Jackson,,93-86,,
1:09.0,R. Jackson makes 3-pt shot from 26 ft (assist by M. Morris),3,96-86,,
1:09.0,,,96-86,,Phoenix full timeout
1:02.0,,,96-86,,M. Morris misses 3-pt shot from 23 ft
1:01.0,Defensive rebound by R. Jackson,,96-86,,
0:57.0,Shooting foul by T. Chandler (drawn by A. Drummond),,96-86,,
0:57.0,A. Drummond misses free throw 1 of 2,,96-86,,
0:57.0,Offensive rebound by Team,,96-86,,
0:57.0,A. Drummond misses free throw 2 of 2,,96-86,,
0:56.0,,,96-86,,Defensive rebound by P. Tucker
0:50.0,,,96-86,,R. Price misses 3-pt shot from 27 ft
0:49.0,Defensive rebound by M. Morris,,96-86,,
0:48.0,,,96-86,,Personal foul by T. Chandler (drawn by M. Morris)
0:48.0,M. Morris makes free throw 1 of 2,1,97-86,,
0:48.0,M. Morris misses free throw 2 of 2,,97-86,,
0:48.0,,,97-86,,Defensive rebound by T. Chandler
0:41.0,,,97-89,3,R. Price makes 3-pt shot from 24 ft (assist by M. Morris)
0:39.0,,,97-89,,Personal foul by R. Price (drawn by R. Jackson)
0:39.0,R. Jackson misses free throw 1 of 2,,97-89,,
0:39.0,Offensive rebound by Team,,97-89,,
0:39.0,R. Jackson makes free throw 2 of 2,1,98-89,,
0:29.0,,,98-92,3,R. Price makes 3-pt shot from 25 ft (assist by M. Morris)
0:22.0,,,98-92,,Personal take foul by R. Price (drawn by M. Morris)
0:22.0,M. Morris makes free throw 1 of 2,1,99-92,,
0:22.0,M. Morris makes free throw 2 of 2,1,100-92,,
0:15.0,,,100-92,,R. Price misses 3-pt shot from 34 ft
0:14.0,Defensive rebound by A. Drummond,,100-92,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
