time,Dallas,pts.away,score,pts.home,Toronto
1:24.0,,,89-95,,Turnover by C. Joseph (bad pass; steal by C. Villanueva)
1:20.0,C. Villanueva makes 2-pt shot at rim,2,91-95,,
1:07.0,Shooting block foul by J. Anderson (drawn by D. DeRozan),,91-95,,
1:07.0,,,91-95,,D. DeRozan misses free throw 1 of 2
1:07.0,,,91-95,,Offensive rebound by Team
1:07.0,,,91-96,1,D. DeRozan makes free throw 2 of 2
1:00.0,J. Jenkins misses 3-pt shot from 22 ft,,91-96,,
1:00.0,Offensive rebound by Team,,91-96,,
1:00.0,,,91-96,,Loose ball foul by D. DeRozan (drawn by J. Evans)
0:53.0,C. Villanueva misses 3-pt shot from 24 ft,,91-96,,
0:53.0,,,91-96,,Defensive rebound by D. DeRozan
0:45.0,,,91-96,,Shooting foul by J. Anderson (drawn by K. Lowry)
0:45.0,,,91-97,1,K. Lowry makes free throw 1 of 2
0:45.0,,,91-97,,Turnover by B. Biyombo (lane violation.)
0:45.0,Dallas full timeout,,91-97,,
0:43.0,C. Villanueva makes 3-pt shot from 26 ft (assist by J. Barea),3,94-97,,
0:34.0,Personal foul by J. Jenkins (drawn by K. Lowry),,94-97,,
0:34.0,,,94-98,1,K. Lowry makes free throw 1 of 2
0:34.0,,,94-99,1,K. Lowry makes free throw 2 of 2
0:26.0,J. Barea makes 3-pt shot from 26 ft,3,97-99,,
0:16.0,,,97-101,2,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry)
0:16.0,Dallas full timeout,,97-101,,
0:16.0,,,97-101,,T. Ross enters the game for L. Scola
0:12.0,J. Evans makes 2-pt shot from 1 ft (assist by J. Barea),2,99-101,,
0:12.0,Shooting foul by D. DeRozan (drawn by J. Evans),,99-101,,
0:12.0,,,99-101,,L. Scola enters the game for T. Ross
0:12.0,J. Evans misses free throw 1 of 1,,99-101,,
0:11.0,,,99-101,,Defensive rebound by K. Lowry
0:11.0,,,99-101,,Toronto full timeout
0:11.0,,,99-101,,T. Ross enters the game for B. Biyombo
0:11.0,Personal take foul by J. Evans (drawn by T. Ross),,99-101,,
0:11.0,,,99-102,1,T. Ross makes free throw 1 of 2
0:11.0,,,99-102,,B. Biyombo enters the game for L. Scola
0:11.0,,,99-103,1,T. Ross makes free throw 2 of 2
0:04.0,J. Barea misses 3-pt shot from 30 ft,,99-103,,
0:03.0,Offensive rebound by J. Jenkins,,99-103,,
0:01.0,J. Jenkins misses 2-pt shot from 17 ft,,99-103,,
0:00.0,,,99-103,,Defensive rebound by C. Joseph
0:00.0,End of 4th quarter,,,,End of 4th quarter
