time,Charlotte,pts.away,score,pts.home,LA Lakers
6:46.0,,,93-71,,R. Sacre enters the game for B. Bass
6:46.0,S. Hawes enters the game for T. Daniels,,93-71,,
6:46.0,K. Walker enters the game for P. Hairston,,93-71,,
6:46.0,M. Williams enters the game for F. Kaminsky,,93-71,,
6:46.0,M. Kidd-Gilchrist enters the game for T. Hansbrough,,93-71,,
6:24.0,S. Hawes misses 2-pt shot from 3 ft,,93-71,,
6:17.0,,,93-71,,Defensive rebound by M. Huertas
6:00.0,,,93-71,,N. Young misses 2-pt shot from 12 ft
5:58.0,,,93-71,,Offensive rebound by Team
5:53.0,,,93-71,,Turnover by M. Huertas (bad pass; steal by S. Hawes)
5:47.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker),2,95-71,,
5:27.0,,,95-73,2,J. Randle makes 2-pt shot from 1 ft
5:12.0,M. Williams makes 2-pt shot from 2 ft (assist by K. Walker),2,97-73,,
4:57.0,,,97-73,,D. Russell misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by B. Roberts,,97-73,,
4:46.0,K. Walker misses 3-pt shot from 24 ft,,97-73,,
4:43.0,,,97-73,,Defensive rebound by J. Randle
4:31.0,,,97-75,2,R. Sacre makes 2-pt shot from 13 ft (assist by M. Huertas)
4:12.0,K. Walker misses 2-pt shot from 8 ft (block by D. Russell),,97-75,,
4:11.0,,,97-75,,Defensive rebound by J. Randle
3:52.0,,,97-75,,M. Huertas misses 2-pt shot from 17 ft
3:51.0,Defensive rebound by M. Williams,,97-75,,
3:30.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by S. Hawes),2,99-75,,
3:14.0,,,99-75,,N. Young misses 3-pt shot from 24 ft
3:12.0,Defensive rebound by S. Hawes,,99-75,,
3:03.0,B. Roberts misses 2-pt shot from 2 ft (block by R. Sacre),,99-75,,
3:03.0,Offensive rebound by Team,,99-75,,
3:03.0,P. Hairston enters the game for K. Walker,,99-75,,
3:03.0,A. Harrison enters the game for M. Kidd-Gilchrist,,99-75,,
2:55.0,B. Roberts makes 2-pt shot from 8 ft,2,101-75,,
2:38.0,,,101-75,,J. Randle misses 2-pt shot from 1 ft (block by M. Williams)
2:38.0,,,101-75,,Offensive rebound by Team
2:38.0,,,101-75,,LA Lakers full timeout
2:38.0,T. Hansbrough enters the game for S. Hawes,,101-75,,
2:30.0,Jump ball: J. Randle vs. M. Williams (A. Harrison gains possession),,,,Jump ball: J. Randle vs. M. Williams (A. Harrison gains possession)
2:21.0,P. Hairston misses 2-pt shot from 19 ft,,101-75,,
2:20.0,,,101-75,,Defensive rebound by D. Russell
2:16.0,Personal take foul by B. Roberts (drawn by D. Russell),,101-75,,
2:16.0,F. Kaminsky enters the game for M. Williams,,101-75,,
2:02.0,Jump ball: A. Harrison vs. J. Randle (P. Hairston gains possession),,,,Jump ball: A. Harrison vs. J. Randle (P. Hairston gains possession)
2:02.0,,,101-75,,Turnover by J. Randle (lost ball; steal by A. Harrison)
2:01.0,,,101-75,,Personal take foul by M. Huertas (drawn by P. Hairston)
1:50.0,A. Harrison misses 2-pt shot from 19 ft,,101-75,,
1:49.0,,,101-75,,Defensive rebound by R. Sacre
1:40.0,,,101-75,,Shooting foul by A. Harrison (drawn by D. Russell)
1:40.0,,,101-75,,D. Russell misses free throw 1 of 3
1:40.0,,,101-75,,Offensive rebound by Team
1:40.0,,,101-76,1,D. Russell makes free throw 2 of 3
1:40.0,,,101-77,1,D. Russell makes free throw 3 of 3
1:26.0,A. Harrison misses 2-pt shot from 3 ft,,101-77,,
1:25.0,,,101-77,,Defensive rebound by J. Randle
1:18.0,,,101-77,,D. Russell misses 3-pt shot from 25 ft
1:16.0,Defensive rebound by B. Roberts,,101-77,,
1:05.0,T. Hansbrough misses 2-pt shot from 16 ft,,101-77,,
1:04.0,,,101-77,,Defensive rebound by J. Randle
0:59.0,,,101-79,2,J. Randle makes 2-pt shot from 1 ft
0:43.0,B. Roberts misses 2-pt shot from 20 ft,,101-79,,
0:42.0,,,101-79,,Defensive rebound by D. Russell
0:33.0,,,101-82,3,M. Huertas makes 3-pt shot from 25 ft (assist by J. Randle)
0:13.0,B. Roberts misses 2-pt shot from 2 ft,,101-82,,
0:10.0,,,101-82,,Defensive rebound by R. Sacre
0:07.0,,,101-82,,M. Huertas misses 3-pt shot from 24 ft
0:05.0,Defensive rebound by P. Hairston,,101-82,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
