time,Toronto,pts.away,score,pts.home,Phoenix
0:41.0,B. Biyombo enters the game for J. Valanciunas,,102-94,,
0:36.0,,,102-94,,D. Booker misses 3-pt shot from 25 ft
0:36.0,,,102-94,,Offensive rebound by Team
0:32.0,,,102-97,3,M. Teletovic makes 3-pt shot from 22 ft (assist by A. Goodwin)
0:31.0,,,102-97,,Personal take foul by A. Goodwin (drawn by K. Lowry)
0:31.0,J. Valanciunas enters the game for B. Biyombo,,102-97,,
0:31.0,,,102-97,,Personal take foul by D. Booker (drawn by C. Joseph)
0:31.0,C. Joseph misses free throw 1 of 2,,102-97,,
0:31.0,Offensive rebound by Team,,102-97,,
0:31.0,B. Biyombo enters the game for J. Valanciunas,,102-97,,
0:31.0,C. Joseph misses free throw 2 of 2,,102-97,,
0:31.0,,,102-97,,Defensive rebound by M. Morris
0:30.0,,,102-97,,Phoenix full timeout
0:24.0,,,102-97,,M. Teletovic misses 3-pt shot from 24 ft
0:23.0,Defensive rebound by P. Patterson,,102-97,,
0:20.0,,,102-97,,Personal take foul by M. Morris (drawn by K. Lowry)
0:20.0,K. Lowry makes free throw 1 of 2,1,103-97,,
0:20.0,K. Lowry makes free throw 2 of 2,1,104-97,,
0:20.0,,,104-97,,Phoenix full timeout
0:15.0,,,104-97,,D. Booker misses 3-pt shot from 25 ft
0:15.0,,,104-97,,Offensive rebound by P. Tucker
0:10.0,,,104-97,,P. Tucker misses 3-pt shot from 23 ft (block by D. DeRozan)
0:09.0,Defensive rebound by B. Biyombo,,104-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
