time,Indiana,pts.away,score,pts.home,Detroit
3:35.0,Indiana full timeout,,94-82,,
3:35.0,G. Hill enters the game for R. Stuckey,,94-82,,
3:25.0,Turnover by M. Ellis (offensive foul),,94-82,,
3:25.0,Offensive foul by M. Ellis,,94-82,,
3:14.0,,,94-82,,E. Ilyasova misses 2-pt shot from 20 ft
3:14.0,Defensive rebound by G. Hill,,94-82,,
2:52.0,M. Ellis misses 2-pt shot from 12 ft,,94-82,,
2:52.0,,,94-82,,Defensive rebound by A. Drummond
2:42.0,,,94-82,,R. Jackson misses 2-pt shot from 8 ft
2:40.0,,,94-82,,Offensive rebound by A. Drummond
2:34.0,,,94-82,,K. Caldwell-Pope misses 2-pt shot from 13 ft
2:33.0,Defensive rebound by M. Ellis,,94-82,,
2:14.0,P. George misses 2-pt shot from 9 ft,,94-82,,
2:13.0,Offensive rebound by Team,,94-82,,
2:11.0,G. Hill misses 3-pt shot from 27 ft,,94-82,,
2:09.0,Offensive rebound by Team,,94-82,,
2:09.0,Turnover by Team (shot clock),,94-82,,
1:57.0,,,94-82,,R. Jackson misses 2-pt shot from 15 ft
1:56.0,Defensive rebound by C. Miles,,94-82,,
1:39.0,P. George misses 2-pt shot from 15 ft,,94-82,,
1:39.0,Offensive rebound by J. Hill,,94-82,,
1:35.0,J. Hill misses 2-pt shot from 5 ft,,94-82,,
1:35.0,,,94-82,,Defensive rebound by A. Drummond
1:27.0,,,94-82,,Turnover by K. Caldwell-Pope (lost ball; steal by M. Ellis)
1:03.0,M. Ellis misses 3-pt shot from 27 ft,,94-82,,
1:02.0,Offensive rebound by P. George,,94-82,,
0:43.0,P. George misses 3-pt shot from 26 ft,,94-82,,
0:42.0,,,94-82,,Defensive rebound by K. Caldwell-Pope
0:34.0,,,94-82,,R. Jackson misses 3-pt shot from 27 ft
0:33.0,Defensive rebound by G. Hill,,94-82,,
0:11.0,P. George misses 3-pt shot from 26 ft,,94-82,,
0:10.0,Offensive rebound by G. Hill,,94-82,,
0:10.0,G. Hill misses 2-pt shot at rim,,94-82,,
0:08.0,,,94-82,,Defensive rebound by A. Drummond
0:00.0,End of 4th quarter,,,,End of 4th quarter
