time,Cleveland,pts.away,score,pts.home,Memphis
2:52.0,,,95-67,,Turnover by J. Adams (lost ball; steal by J. Smith)
2:47.0,J. Jones makes 3-pt shot from 24 ft (assist by J. Smith),3,98-67,,
2:27.0,,,98-69,2,J. Green makes 2-pt shot from 17 ft (assist by B. Udrih)
2:09.0,J. Smith makes 2-pt shot from 20 ft,2,100-69,,
1:56.0,,,100-71,2,R. Smith makes 2-pt shot from 1 ft
1:56.0,,,100-71,,Shooting foul by J. Cunningham (drawn by R. Smith)
1:56.0,Cleveland full timeout,,100-71,,
1:56.0,,,100-72,1,R. Smith makes free throw 1 of 1
1:37.0,J. Smith misses 2-pt shot from 17 ft,,100-72,,
1:36.0,Offensive rebound by S. Kaun,,100-72,,
1:36.0,Turnover by S. Kaun (traveling),,100-72,,
1:17.0,Personal foul by J. Jones (drawn by J. Green),,100-72,,
1:17.0,,,100-72,,J. Green misses free throw 1 of 2
1:17.0,,,100-72,,Offensive rebound by Team
1:17.0,,,100-72,,J. Green misses free throw 2 of 2
1:16.0,Defensive rebound by J. Smith,,100-72,,
1:05.0,J. Smith makes 2-pt shot from 12 ft (assist by J. Cunningham),2,102-72,,
0:52.0,,,102-74,2,B. Wright makes 2-pt shot from 7 ft (assist by B. Udrih)
0:47.0,J. Cunningham misses 2-pt shot from 4 ft,,102-74,,
0:45.0,,,102-74,,Defensive rebound by B. Wright
0:39.0,,,102-74,,R. Smith misses 2-pt shot from 3 ft (block by J. Cunningham)
0:39.0,Jump ball: J. Cunningham vs. R. Smith,,,,Jump ball: J. Cunningham vs. R. Smith
0:39.0,Defensive rebound by Team,,102-74,,
0:39.0,,,102-74,,Personal foul by R. Smith (drawn by J. Cunningham)
0:39.0,J. Cunningham makes free throw 1 of 2,1,103-74,,
0:39.0,J. Cunningham makes free throw 2 of 2,1,104-74,,
0:31.0,,,104-74,,Turnover by B. Udrih (bad pass)
0:13.0,J. Cunningham makes 2-pt shot from 1 ft,2,106-74,,
0:06.0,,,106-74,,R. Smith misses 2-pt shot from 1 ft (block by S. Kaun)
0:06.0,,,106-74,,Offensive rebound by B. Wright
0:06.0,,,106-76,2,B. Wright makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
