time,Philadelphia,pts.away,score,pts.home,LA Clippers
4:19.0,,,84-121,,Shooting foul by C. Landry (drawn by L. Stephenson)
4:19.0,,,84-122,1,L. Stephenson makes free throw 1 of 2
4:19.0,,,84-123,1,L. Stephenson makes free throw 2 of 2
3:54.0,K. Marshall makes 3-pt shot from 29 ft (assist by T. McConnell),3,87-123,,
3:36.0,,,87-123,,J. Smith misses 2-pt shot from 18 ft
3:36.0,,,87-123,,Offensive rebound by B. Dawson
3:31.0,,,87-123,,B. Dawson misses 2-pt shot from 2 ft (block by R. Covington)
3:29.0,Defensive rebound by R. Covington,,87-123,,
3:22.0,R. Holmes makes 2-pt shot from 4 ft (assist by T. McConnell),2,89-123,,
3:05.0,,,89-123,,Turnover by P. Prigioni (bad pass; steal by T. McConnell)
3:05.0,Jump ball: T. McConnell vs. J. Smith (K. Marshall gains possession),,,,Jump ball: T. McConnell vs. J. Smith (K. Marshall gains possession)
2:54.0,R. Holmes makes 2-pt shot at rim (assist by K. Marshall),2,91-123,,
2:39.0,,,91-125,2,A. Rivers makes 2-pt shot from 10 ft
2:30.0,Turnover by T. McConnell (bad pass; steal by L. Stephenson),,91-125,,
2:17.0,,,91-125,,Turnover by L. Stephenson (bad pass; steal by R. Holmes)
2:11.0,R. Holmes makes 2-pt shot from 10 ft (assist by T. McConnell),2,93-125,,
1:52.0,,,93-127,2,A. Rivers makes 2-pt shot from 19 ft
1:39.0,C. Landry makes 2-pt shot from 19 ft (assist by T. McConnell),2,95-127,,
1:33.0,,,95-130,3,A. Rivers makes 3-pt shot from 28 ft
1:22.0,C. Landry makes 2-pt shot from 2 ft (assist by K. Marshall),2,97-130,,
1:06.0,,,97-130,,A. Rivers misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by Team,,97-130,,
0:50.0,K. Marshall misses 3-pt shot from 25 ft,,97-130,,
0:50.0,,,97-130,,Defensive rebound by A. Rivers
0:28.0,,,97-130,,L. Stephenson misses 3-pt shot from 29 ft
0:28.0,Defensive rebound by Team,,97-130,,
0:24.0,R. Covington makes 2-pt shot at rim (assist by K. Marshall),2,99-130,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
