time,Atlanta,pts.away,score,pts.home,Minnesota
5:22.0,P. Millsap makes free throw 1 of 2,1,84-88,,
5:22.0,P. Millsap makes free throw 2 of 2,1,85-88,,
5:07.0,,,85-88,,Turnover by A. Wiggins (lost ball; steal by J. Teague)
5:05.0,Jump ball: G. Dieng vs. M. Muscala (D. Rudez gains possession),,,,Jump ball: G. Dieng vs. M. Muscala (D. Rudez gains possession)
5:05.0,Turnover by M. Muscala (lost ball; steal by G. Dieng),,85-88,,
4:58.0,Personal foul by M. Muscala (drawn by Z. LaVine),,85-88,,
4:50.0,,,85-90,2,A. Wiggins makes 2-pt shot from 3 ft (assist by Z. LaVine)
4:43.0,,,85-90,,Personal foul by G. Dieng (drawn by P. Millsap)
4:43.0,P. Millsap makes free throw 1 of 2,1,86-90,,
4:43.0,P. Millsap makes free throw 2 of 2,1,87-90,,
4:31.0,,,87-92,2,Z. LaVine makes 2-pt shot from 5 ft
4:26.0,,,87-92,,Personal foul by D. Rudez (drawn by M. Muscala)
4:26.0,M. Muscala misses free throw 1 of 2,,87-92,,
4:26.0,Offensive rebound by Team,,87-92,,
4:26.0,M. Muscala makes free throw 2 of 2,1,88-92,,
4:22.0,,,88-92,,Minnesota full timeout
4:22.0,T. Hardaway enters the game for T. Sefolosha,,88-92,,
4:22.0,A. Horford enters the game for M. Muscala,,88-92,,
4:22.0,T. Sefolosha enters the game for T. Hardaway,,88-92,,
4:13.0,,,88-92,,A. Wiggins misses 2-pt shot from 6 ft
4:12.0,,,88-92,,Offensive rebound by Team
4:03.0,,,88-94,2,Z. LaVine makes 2-pt shot from 21 ft
3:44.0,P. Millsap misses 3-pt shot from 25 ft,,88-94,,
3:43.0,,,88-94,,Defensive rebound by T. Prince
3:27.0,,,88-94,,Z. LaVine misses 3-pt shot from 25 ft
3:25.0,Defensive rebound by K. Korver,,88-94,,
3:21.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by J. Teague),2,90-94,,
2:56.0,,,90-94,,A. Wiggins misses 3-pt shot from 25 ft
2:55.0,Defensive rebound by P. Millsap,,90-94,,
2:35.0,J. Teague makes 2-pt shot from 7 ft,2,92-94,,
2:18.0,,,92-94,,Z. LaVine misses 2-pt shot from 6 ft
2:16.0,,,92-94,,Offensive rebound by G. Dieng
2:16.0,,,92-94,,G. Dieng misses 2-pt shot at rim
2:14.0,Defensive rebound by J. Teague,,92-94,,
2:08.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,94-94,,
1:52.0,Personal foul by P. Millsap (drawn by D. Rudez),,94-94,,
1:52.0,,,94-95,1,D. Rudez makes free throw 1 of 2
1:52.0,,,94-96,1,D. Rudez makes free throw 2 of 2
1:40.0,P. Millsap misses 2-pt shot at rim,,94-96,,
1:39.0,,,94-96,,Defensive rebound by D. Rudez
1:25.0,,,94-98,2,A. Wiggins makes 2-pt shot from 1 ft (assist by Z. LaVine)
1:25.0,,,94-98,,Shooting foul by P. Millsap (drawn by A. Wiggins)
1:25.0,,,94-98,,A. Wiggins misses free throw 1 of 1
1:25.0,Defensive rebound by A. Horford,,94-98,,
1:09.0,Turnover by A. Horford (lost ball; steal by T. Prince),,94-98,,
0:46.0,,,94-98,,Z. LaVine misses 2-pt shot from 17 ft (block by T. Sefolosha)
0:45.0,,,94-98,,Offensive rebound by G. Dieng
0:44.0,,,94-98,,Turnover by Team (shot clock)
0:44.0,Atlanta full timeout,,94-98,,
0:44.0,,,94-98,,K. Garnett enters the game for D. Rudez
0:42.0,P. Millsap misses 2-pt shot from 2 ft,,94-98,,
0:41.0,,,94-98,,Defensive rebound by G. Dieng
0:21.0,,,94-98,,A. Wiggins misses 2-pt shot from 6 ft
0:19.0,Defensive rebound by J. Teague,,94-98,,
0:15.0,,,94-98,,Personal foul by Z. LaVine (drawn by J. Teague)
0:15.0,J. Teague makes free throw 1 of 2,1,95-98,,
0:15.0,J. Teague misses free throw 2 of 2,,95-98,,
0:14.0,Offensive rebound by A. Horford,,95-98,,
0:09.0,Atlanta full timeout,,95-98,,
0:09.0,,,95-98,,K. Martin enters the game for G. Dieng
0:07.0,J. Teague misses 3-pt shot from 24 ft,,95-98,,
0:06.0,,,95-98,,Defensive rebound by K. Martin
0:05.0,Personal foul by P. Millsap (drawn by K. Martin),,95-98,,
0:05.0,,,95-98,,K. Martin misses free throw 1 of 2
0:05.0,,,95-98,,Offensive rebound by Team
0:05.0,,,95-99,1,K. Martin makes free throw 2 of 2
0:05.0,Atlanta full timeout,,95-99,,
0:02.0,P. Millsap misses 3-pt shot from 24 ft,,95-99,,
0:01.0,Offensive rebound by A. Horford,,95-99,,
0:00.0,A. Horford misses 2-pt shot from 7 ft,,95-99,,
0:00.0,Offensive rebound by Team,,95-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
