time,LA Clippers,pts.away,score,pts.home,Houston
6:45.0,,,23-45,1,D. Howard makes free throw 2 of 2
6:35.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,25-45,,
6:26.0,Personal take foul by J. Redick (drawn by D. Howard),,25-45,,
6:26.0,,,25-46,1,D. Howard makes free throw 1 of 2
6:26.0,,,25-46,,D. Howard misses free throw 2 of 2
6:26.0,Defensive rebound by D. Jordan,,25-46,,
6:13.0,C. Paul makes 3-pt shot from 25 ft,3,28-46,,
6:07.0,Personal take foul by B. Griffin (drawn by D. Howard),,28-46,,
6:07.0,,,28-47,1,D. Howard makes free throw 1 of 2
6:07.0,,,28-47,,C. Capela enters the game for T. Jones
6:07.0,,,28-48,1,D. Howard makes free throw 2 of 2
5:57.0,,,28-48,,Def 3 sec tech foul by D. Howard
5:57.0,C. Paul makes technical free throw,1,29-48,,
5:57.0,,,29-48,,Houston full timeout
5:45.0,B. Griffin makes 2-pt shot from 15 ft (assist by C. Paul),2,31-48,,
5:38.0,Personal take foul by B. Griffin (drawn by C. Capela),,31-48,,
5:38.0,,,31-48,,C. Capela misses free throw 1 of 2
5:38.0,,,31-48,,Offensive rebound by Team
5:38.0,P. Pierce enters the game for J. Crawford,,31-48,,
5:38.0,,,31-48,,C. Capela misses free throw 2 of 2
5:37.0,Defensive rebound by Team,,31-48,,
5:37.0,,,31-48,,Loose ball foul by T. Ariza (drawn by B. Griffin)
5:25.0,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul),2,33-48,,
5:20.0,Personal take foul by P. Pierce (drawn by C. Capela),,33-48,,
5:20.0,,,33-49,1,C. Capela makes free throw 1 of 2
5:20.0,,,33-50,1,C. Capela makes free throw 2 of 2
4:55.0,C. Paul misses 3-pt shot from 24 ft,,33-50,,
4:54.0,,,33-50,,Defensive rebound by D. Howard
4:48.0,,,33-50,,T. Ariza misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by D. Jordan,,33-50,,
4:41.0,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul),3,36-50,,
4:34.0,Personal take foul by P. Pierce (drawn by C. Capela),,36-50,,
4:34.0,,,36-50,,C. Capela misses free throw 1 of 2
4:34.0,,,36-50,,Offensive rebound by Team
4:34.0,,,36-50,,C. Capela misses free throw 2 of 2
4:34.0,Defensive rebound by D. Jordan,,36-50,,
4:15.0,J. Redick misses 3-pt shot from 22 ft,,36-50,,
4:14.0,,,36-50,,Defensive rebound by J. Harden
4:09.0,,,36-52,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
3:59.0,,,36-52,,Personal foul by T. Ariza (drawn by C. Paul)
3:59.0,,,36-52,,D. Motiejunas enters the game for C. Capela
3:59.0,,,36-52,,M. Thornton enters the game for D. Howard
3:58.0,,,36-52,,Personal take foul by M. Thornton (drawn by D. Jordan)
3:58.0,D. Jordan misses free throw 1 of 2,,36-52,,
3:58.0,Offensive rebound by Team,,36-52,,
3:58.0,D. Jordan misses free throw 2 of 2,,36-52,,
3:58.0,,,36-52,,Defensive rebound by J. Harden
3:39.0,,,36-54,2,D. Motiejunas makes 2-pt shot from 6 ft (assist by T. Ariza)
3:34.0,LA Clippers full timeout,,36-54,,
3:34.0,J. Crawford enters the game for D. Jordan,,36-54,,
3:34.0,,,36-54,,T. Jones enters the game for D. Motiejunas
3:16.0,B. Griffin makes 2-pt shot from 3 ft,2,38-54,,
2:51.0,,,38-54,,T. Ariza misses 2-pt shot from 5 ft
2:50.0,Defensive rebound by B. Griffin,,38-54,,
2:36.0,LA Clippers full timeout,,38-54,,
2:36.0,,,38-54,,D. Howard enters the game for J. Terry
2:36.0,,,38-54,,P. Beverley enters the game for T. Jones
2:34.0,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul),2,40-54,,
2:29.0,Personal take foul by P. Pierce (drawn by D. Howard),,40-54,,
2:29.0,,,40-54,,D. Howard misses free throw 1 of 2
2:29.0,,,40-54,,Offensive rebound by Team
2:29.0,,,40-55,1,D. Howard makes free throw 2 of 2
2:15.0,,,40-55,,Shooting block foul by D. Howard (drawn by J. Redick)
2:15.0,J. Redick makes free throw 1 of 2,1,41-55,,
2:15.0,,,41-55,,T. Jones enters the game for D. Howard
