time,Philadelphia,pts.away,score,pts.home,Phoenix
7:41.0,Defensive rebound by C. Landry,,91-81,,
7:32.0,N. Stauskas makes 3-pt shot from 23 ft (assist by H. Thompson),3,94-81,,
7:21.0,,,94-81,,B. Knight misses 3-pt shot from 24 ft
7:19.0,Defensive rebound by C. Landry,,94-81,,
7:01.0,H. Thompson makes 3-pt shot from 24 ft (assist by I. Smith),3,97-81,,
6:45.0,,,97-81,,Shooting foul by J. Grant (drawn by R. Price)
6:45.0,,,97-82,1,R. Price makes free throw 1 of 2
6:45.0,,,97-83,1,R. Price makes free throw 2 of 2
6:31.0,C. Landry misses 2-pt shot from 17 ft,,97-83,,
6:29.0,,,97-83,,Defensive rebound by J. Leuer
6:20.0,,,97-86,3,J. Leuer makes 3-pt shot from 24 ft (assist by B. Knight)
6:12.0,Turnover by I. Smith (bad pass; steal by J. Leuer),,97-86,,
6:09.0,,,97-88,2,J. Leuer makes 2-pt shot at rim
6:09.0,Philadelphia full timeout,,97-88,,
6:09.0,N. Noel enters the game for J. Grant,,97-88,,
5:56.0,I. Smith makes 2-pt shot from 19 ft,2,99-88,,
5:35.0,,,99-88,,R. Price misses 3-pt shot from 25 ft
5:33.0,,,99-88,,Offensive rebound by J. Leuer
5:29.0,,,99-88,,Turnover by R. Price (lost ball; steal by I. Smith)
5:25.0,N. Stauskas makes 2-pt shot at rim (assist by I. Smith),2,101-88,,
5:08.0,,,101-91,3,P. Tucker makes 3-pt shot from 23 ft (assist by B. Knight)
4:52.0,N. Stauskas misses 2-pt shot at rim,,101-91,,
4:50.0,,,101-91,,Defensive rebound by T. Chandler
4:40.0,,,101-94,3,J. Leuer makes 3-pt shot from 24 ft (assist by B. Knight)
4:19.0,I. Smith makes 2-pt shot from 18 ft,2,103-94,,
4:10.0,,,103-94,,Shooting foul by N. Noel (drawn by B. Knight)
4:10.0,,,103-95,1,B. Knight makes free throw 1 of 2
4:10.0,,,103-95,,M. Teletovic enters the game for T. Chandler
4:10.0,I. Canaan enters the game for C. Landry,,103-95,,
4:10.0,J. Grant enters the game for N. Stauskas,,103-95,,
4:10.0,,,103-95,,B. Knight misses free throw 2 of 2
4:09.0,Defensive rebound by I. Canaan,,103-95,,
3:52.0,I. Smith misses 2-pt shot from 9 ft,,103-95,,
3:52.0,Offensive rebound by N. Noel,,103-95,,
3:52.0,N. Noel makes 2-pt shot from 2 ft,2,105-95,,
3:52.0,Shooting foul by B. Knight (drawn by N. Noel),,105-95,,
3:52.0,,,105-95,,T. Chandler enters the game for M. Teletovic
3:52.0,N. Noel makes free throw 1 of 1,1,106-95,,
3:37.0,Personal foul by I. Smith (drawn by T. Chandler),,106-95,,
3:30.0,,,106-98,3,B. Knight makes 3-pt shot from 25 ft
3:03.0,Turnover by I. Canaan (traveling),,106-98,,
2:57.0,,,106-98,,Shooting foul by N. Noel (drawn by B. Knight)
2:57.0,Official timeout,,106-98,,
2:57.0,,,106-99,1,B. Knight makes free throw 1 of 2
2:57.0,,,106-100,1,B. Knight makes free throw 2 of 2
2:42.0,I. Smith misses 2-pt shot from 16 ft,,106-100,,
2:40.0,,,106-100,,Defensive rebound by T. Chandler
2:34.0,,,106-100,,Turnover by B. Knight (bad pass; steal by N. Noel)
2:21.0,I. Canaan misses 2-pt shot from 10 ft,,106-100,,
2:19.0,,,106-100,,Defensive rebound by T. Chandler
2:15.0,,,106-100,,B. Knight misses 2-pt shot from 17 ft
2:11.0,Defensive rebound by J. Grant,,106-100,,
1:53.0,J. Grant misses 3-pt shot from 25 ft,,106-100,,
1:52.0,Offensive rebound by N. Noel,,106-100,,
1:35.0,I. Smith makes 2-pt shot from 2 ft,2,108-100,,
1:35.0,,,108-100,,Phoenix full timeout
1:27.0,,,108-100,,R. Price misses 3-pt shot from 25 ft
1:27.0,,,108-100,,Offensive rebound by T. Chandler
1:27.0,,,108-102,2,T. Chandler makes 2-pt shot at rim
1:05.0,Turnover by J. Grant (bad pass),,108-102,,
1:05.0,,,108-102,,D. Booker enters the game for R. Price
0:54.0,,,108-102,,D. Booker misses 3-pt shot from 24 ft
0:52.0,Defensive rebound by I. Canaan,,108-102,,
0:30.0,Turnover by J. Grant (bad pass),,108-102,,
0:30.0,,,108-102,,Phoenix full timeout
0:30.0,,,108-102,,R. Price enters the game for T. Chandler
0:30.0,J. Sampson enters the game for I. Canaan,,108-102,,
0:25.0,,,108-102,,B. Knight misses 2-pt shot from 2 ft (block by J. Sampson)
0:24.0,Defensive rebound by N. Noel,,108-102,,
0:24.0,,,108-102,,Personal take foul by J. Leuer (drawn by J. Sampson)
0:24.0,Philadelphia full timeout,,108-102,,
0:24.0,I. Canaan enters the game for N. Noel,,108-102,,
0:24.0,N. Stauskas enters the game for J. Sampson,,108-102,,
0:24.0,,,108-102,,S. Weems enters the game for D. Booker
0:24.0,,,108-102,,T. Chandler enters the game for J. Leuer
0:24.0,Philadelphia full timeout,,108-102,,
0:17.0,,,108-102,,Personal take foul by B. Knight (drawn by I. Canaan)
0:17.0,I. Canaan makes free throw 1 of 2,1,109-102,,
0:17.0,,,109-102,,D. Booker enters the game for T. Chandler
0:17.0,J. Sampson enters the game for N. Stauskas,,109-102,,
0:17.0,I. Canaan makes free throw 2 of 2,1,110-102,,
0:11.0,,,110-102,,B. Knight misses 3-pt shot from 25 ft
0:09.0,Defensive rebound by J. Sampson,,110-102,,
0:09.0,,,110-102,,Personal take foul by D. Booker (drawn by J. Sampson)
0:09.0,J. Sampson misses free throw 1 of 2,,110-102,,
0:09.0,Offensive rebound by Team,,110-102,,
0:09.0,J. Sampson makes free throw 2 of 2,1,111-102,,
0:05.0,,,111-104,2,D. Booker makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
