time,New York,pts.away,score,pts.home,LA Clippers
1:06.0,,,92-96,,Turnover by D. Jordan (offensive goaltending)
0:52.0,K. Porzingis misses 2-pt shot from 6 ft,,92-96,,
0:52.0,,,92-96,,Defensive rebound by J. Green
0:36.0,,,92-99,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
0:36.0,New York full timeout,,92-99,,
0:30.0,C. Anthony misses 2-pt shot from 2 ft (block by D. Jordan),,92-99,,
0:30.0,Offensive rebound by R. Lopez,,92-99,,
0:30.0,R. Lopez misses 2-pt shot at rim,,92-99,,
0:28.0,Offensive rebound by R. Lopez,,92-99,,
0:28.0,R. Lopez makes 2-pt shot from 1 ft,2,94-99,,
0:25.0,Personal foul by J. Calderon,,94-99,,
0:25.0,,,94-99,,C. Paul misses free throw 1 of 2
0:25.0,,,94-99,,Offensive rebound by Team
0:25.0,,,94-100,1,C. Paul makes free throw 2 of 2
0:25.0,New York full timeout,,94-100,,
0:21.0,C. Anthony misses 2-pt shot from 1 ft (block by D. Jordan),,94-100,,
0:20.0,,,94-100,,Defensive rebound by C. Paul
0:19.0,Personal take foul by J. Calderon,,94-100,,
0:19.0,D. Williams enters the game for J. Calderon,,94-100,,
0:19.0,,,94-100,,C. Paul misses free throw 1 of 2
0:19.0,,,94-100,,Offensive rebound by Team
0:19.0,,,94-101,1,C. Paul makes free throw 2 of 2
0:11.0,K. Porzingis misses 2-pt shot from 3 ft (block by D. Jordan),,94-101,,
0:10.0,,,94-101,,Defensive rebound by D. Jordan
0:00.0,End of 4th quarter,,,,End of 4th quarter
