time,Houston,pts.away,score,pts.home,Portland
2:55.0,,,106-98,,D. Lillard misses 2-pt shot from 12 ft
2:53.0,,,106-98,,Offensive rebound by D. Lillard
2:47.0,,,106-100,2,C. McCollum makes 2-pt shot from 13 ft
2:41.0,,,106-100,,Personal take foul by M. Plumlee (drawn by D. Howard)
2:41.0,D. Howard makes free throw 1 of 2,1,107-100,,
2:41.0,D. Howard misses free throw 2 of 2,,107-100,,
2:40.0,,,107-100,,Defensive rebound by M. Plumlee
2:24.0,,,107-100,,Turnover by C. McCollum (bad pass; steal by T. Ariza)
2:21.0,,,107-100,,Personal take foul by D. Lillard (drawn by D. Howard)
2:21.0,D. Howard misses free throw 1 of 2,,107-100,,
2:21.0,Offensive rebound by Team,,107-100,,
2:21.0,D. Howard misses free throw 2 of 2,,107-100,,
2:19.0,,,107-100,,Defensive rebound by A. Crabbe
2:02.0,,,107-102,2,D. Lillard makes 2-pt shot from 1 ft
1:59.0,,,107-102,,Away from play foul by A. Aminu (drawn by D. Howard)
1:59.0,J. Harden makes free throw 1 of 1,1,108-102,,
1:47.0,J. Harden makes 2-pt shot from 1 ft (assist by J. Terry),2,110-102,,
1:36.0,,,110-102,,D. Lillard misses 2-pt shot from 5 ft
1:35.0,,,110-102,,Offensive rebound by M. Plumlee
1:34.0,,,110-102,,M. Plumlee misses 2-pt shot at rim
1:32.0,Defensive rebound by J. Terry,,110-102,,
1:28.0,,,110-102,,Personal foul by D. Lillard (drawn by J. Harden)
1:28.0,J. Harden makes free throw 1 of 2,1,111-102,,
1:28.0,J. Harden makes free throw 2 of 2,1,112-102,,
1:28.0,,,112-102,,Portland full timeout
1:28.0,,,112-102,,M. Leonard enters the game for M. Plumlee
1:26.0,,,112-105,3,D. Lillard makes 3-pt shot from 23 ft (assist by C. McCollum)
1:12.0,Offensive foul by J. Harden,,112-105,,
1:12.0,Turnover by J. Harden (offensive foul),,112-105,,
1:04.0,,,112-105,,D. Lillard misses 2-pt shot from 2 ft
1:03.0,Defensive rebound by D. Howard,,112-105,,
1:01.0,,,112-105,,Personal foul by D. Lillard (drawn by J. Harden)
1:01.0,J. Harden misses free throw 1 of 2,,112-105,,
1:01.0,Offensive rebound by Team,,112-105,,
1:01.0,J. Harden makes free throw 2 of 2,1,113-105,,
0:50.0,,,113-105,,C. McCollum misses 3-pt shot from 23 ft
0:49.0,Defensive rebound by J. Harden,,113-105,,
0:44.0,Shooting foul by A. Crabbe (drawn by C. Brewer),,113-105,,
0:44.0,,,113-105,,B. Roberts enters the game for A. Crabbe
0:44.0,C. Brewer makes free throw 1 of 2,1,114-105,,
0:44.0,C. Brewer misses free throw 2 of 2,,114-105,,
0:43.0,,,114-105,,Defensive rebound by A. Aminu
0:36.0,,,114-105,,Turnover by C. McCollum (bad pass; steal by T. Ariza)
0:20.0,,,114-105,,Personal foul by D. Lillard (drawn by J. Harden)
0:20.0,J. Harden makes free throw 1 of 2,1,115-105,,
0:20.0,J. Harden makes free throw 2 of 2,1,116-105,,
0:14.0,,,116-105,,B. Roberts misses 3-pt shot from 27 ft (block by J. Terry)
0:13.0,Defensive rebound by J. Terry,,116-105,,
0:10.0,J. Terry makes 2-pt shot from 1 ft (assist by T. Ariza),2,118-105,,
0:10.0,Shooting foul by M. Leonard (drawn by J. Terry),,118-105,,
0:10.0,J. Terry makes free throw 1 of 1,1,119-105,,
0:00.0,,,119-105,,D. Lillard misses 3-pt shot from 25 ft
0:00.0,,,119-105,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
