time,Brooklyn,pts.away,score,pts.home,San Antonio
2:21.0,S. Karasev enters the game for W. Ellington,,73-100,,
2:15.0,,,73-100,,Personal block foul by K. Anderson (drawn by S. Karasev)
2:15.0,S. Karasev makes free throw 1 of 2,1,74-100,,
2:15.0,S. Karasev makes free throw 2 of 2,1,75-100,,
1:58.0,,,75-100,,Turnover by D. West (bad pass; steal by D. Sloan)
1:51.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,75-100,,
1:50.0,,,75-100,,Defensive rebound by D. West
1:38.0,,,75-100,,B. Marjanovic misses 2-pt shot from 3 ft
1:36.0,,,75-100,,Offensive rebound by B. Marjanovic
1:32.0,,,75-100,,Turnover by B. Marjanovic (bad pass; steal by M. Brown)
1:26.0,D. Sloan misses 2-pt shot from 8 ft,,75-100,,
1:24.0,,,75-100,,Defensive rebound by D. West
1:12.0,,,75-100,,Turnover by R. McCallum (bad pass)
1:00.0,M. Brown misses 3-pt shot from 23 ft,,75-100,,
0:59.0,,,75-100,,Defensive rebound by B. Marjanovic
0:39.0,,,75-100,,B. Marjanovic misses 2-pt shot from 18 ft
0:38.0,Defensive rebound by R. Hollis-Jefferson,,75-100,,
0:25.0,Turnover by D. Sloan (lost ball; steal by K. Anderson),,75-100,,
0:20.0,,,75-102,2,R. McCallum makes 2-pt shot at rim (assist by B. Marjanovic)
0:20.0,Violation by R. Hollis-Jefferson (def goaltending),,75-102,,
0:20.0,Brooklyn full timeout,,75-102,,
0:06.0,Turnover by S. Karasev (bad pass; steal by R. McCallum),,75-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
