time,Boston,pts.away,score,pts.home,San Antonio
2:52.0,Defensive rebound by E. Turner,,93-95,,
2:38.0,I. Thomas misses 2-pt shot from 11 ft,,93-95,,
2:36.0,,,93-95,,Defensive rebound by K. Leonard
2:21.0,,,93-95,,K. Leonard misses 2-pt shot from 12 ft
2:20.0,,,93-95,,Offensive rebound by M. Ginobili
2:19.0,,,93-95,,Shooting foul by E. Turner (drawn by M. Ginobili)
2:19.0,,,93-96,1,M. Ginobili makes free throw 1 of 2
2:19.0,,,93-96,,M. Ginobili misses free throw 2 of 2
2:18.0,Defensive rebound by A. Johnson,,93-96,,
2:03.0,E. Turner misses 2-pt shot from 16 ft,,93-96,,
2:02.0,,,93-96,,Defensive rebound by M. Ginobili
1:40.0,,,93-99,3,M. Ginobili makes 3-pt shot from 25 ft (assist by T. Parker)
1:40.0,Boston full timeout,,93-99,,
1:40.0,K. Olynyk enters the game for J. Crowder,,93-99,,
1:36.0,A. Bradley makes 3-pt shot from 25 ft (assist by K. Olynyk),3,96-99,,
1:25.0,,,96-101,2,M. Ginobili makes 2-pt shot from 1 ft (assist by T. Duncan)
1:25.0,Boston full timeout,,96-101,,
1:25.0,,,96-101,,B. Diaw enters the game for P. Mills
1:15.0,Shooting foul by T. Parker (drawn by I. Thomas),,96-101,,
1:15.0,I. Thomas makes free throw 1 of 3,1,97-101,,
1:15.0,I. Thomas makes free throw 2 of 3,1,98-101,,
1:15.0,J. Crowder enters the game for K. Olynyk,,98-101,,
1:15.0,I. Thomas misses free throw 3 of 3,,98-101,,
1:13.0,,,98-101,,Defensive rebound by K. Leonard
1:01.0,,,98-103,2,T. Parker makes 2-pt shot from 1 ft (assist by T. Duncan)
0:54.0,I. Thomas makes 2-pt shot at rim,2,100-103,,
0:42.0,Personal foul by A. Bradley (drawn by M. Ginobili),,100-103,,
0:42.0,,,100-103,,M. Ginobili misses free throw 1 of 2
0:42.0,,,100-103,,Offensive rebound by Team
0:42.0,,,100-103,,D. Green enters the game for B. Diaw
0:42.0,,,100-104,1,M. Ginobili makes free throw 2 of 2
0:36.0,,,100-104,,Personal foul by T. Parker (drawn by I. Thomas)
0:36.0,I. Thomas makes free throw 1 of 2,1,101-104,,
0:36.0,I. Thomas makes free throw 2 of 2,1,102-104,,
0:19.0,,,102-104,,M. Ginobili misses 2-pt shot from 17 ft
0:19.0,Defensive rebound by A. Johnson,,102-104,,
0:09.0,A. Bradley misses 3-pt shot from 26 ft,,102-104,,
0:08.0,,,102-104,,Defensive rebound by M. Ginobili
0:08.0,Loose ball foul by A. Johnson (drawn by D. Green),,102-104,,
0:08.0,,,102-105,1,D. Green makes free throw 1 of 2
0:08.0,J. Sullinger enters the game for E. Turner,,102-105,,
0:08.0,,,102-106,1,D. Green makes free throw 2 of 2
0:08.0,Boston full timeout,,102-106,,
0:08.0,E. Turner enters the game for A. Johnson,,102-106,,
0:03.0,J. Crowder makes 3-pt shot from 25 ft (assist by A. Bradley),3,105-106,,
0:03.0,,,105-106,,San Antonio full timeout
0:03.0,,,105-106,,San Antonio full timeout
0:02.0,Personal take foul by I. Thomas (drawn by K. Leonard),,105-106,,
0:02.0,,,105-107,1,K. Leonard makes free throw 1 of 2
0:02.0,K. Olynyk enters the game for E. Turner,,105-107,,
0:02.0,,,105-108,1,K. Leonard makes free throw 2 of 2
0:02.0,Turnover by J. Crowder (bad pass),,105-108,,
0:02.0,E. Turner enters the game for J. Sullinger,,105-108,,
0:02.0,,,105-108,,San Antonio full timeout
0:00.0,End of 4th quarter,,,,End of 4th quarter
