time,Utah,pts.away,score,pts.home,Detroit
0:17.0,Utah full timeout,,87-88,,
0:17.0,J. Ingles enters the game for R. Gobert,,87-88,,
0:17.0,,,87-88,,S. Johnson enters the game for E. Ilyasova
0:09.0,A. Burks misses 2-pt shot from 13 ft,,87-88,,
0:09.0,,,87-88,,Defensive rebound by K. Caldwell-Pope
0:09.0,Personal foul by A. Burks (drawn by K. Caldwell-Pope),,87-88,,
0:09.0,,,87-89,1,K. Caldwell-Pope makes free throw 1 of 2
0:09.0,R. Gobert enters the game for J. Ingles,,87-89,,
0:09.0,,,87-90,1,K. Caldwell-Pope makes free throw 2 of 2
0:09.0,Utah full timeout,,87-90,,
0:09.0,J. Ingles enters the game for R. Gobert,,87-90,,
0:05.0,R. Hood misses 3-pt shot from 25 ft (block by K. Caldwell-Pope),,87-90,,
0:05.0,,,87-90,,Defensive rebound by R. Jackson
0:05.0,Personal foul by D. Favors (drawn by R. Jackson),,87-90,,
0:05.0,,,87-91,1,R. Jackson makes free throw 1 of 2
0:05.0,R. Gobert enters the game for J. Ingles,,87-91,,
0:05.0,,,87-92,1,R. Jackson makes free throw 2 of 2
0:05.0,Utah full timeout,,87-92,,
0:05.0,J. Ingles enters the game for R. Gobert,,87-92,,
0:01.0,R. Hood misses 3-pt shot from 26 ft,,87-92,,
0:00.0,,,87-92,,Defensive rebound by M. Morris
0:00.0,End of 4th quarter,,,,End of 4th quarter
