time,Orlando,pts.away,score,pts.home,Oklahoma City
5:39.0,,,107-109,,Offensive rebound by R. Westbrook
5:30.0,,,107-109,,S. Adams misses 2-pt shot from 4 ft
5:28.0,,,107-109,,Offensive rebound by R. Westbrook
5:27.0,,,107-109,,Oklahoma City full timeout
5:27.0,T. Harris enters the game for M. Hezonja,,107-109,,
5:27.0,V. Oladipo enters the game for E. Fournier,,107-109,,
5:15.0,,,107-109,,R. Westbrook misses 2-pt shot from 17 ft
5:14.0,Defensive rebound by Team,,107-109,,
4:51.0,T. Harris misses 2-pt shot from 14 ft,,107-109,,
4:51.0,,,107-109,,Defensive rebound by S. Adams
4:40.0,,,107-109,,C. Payne misses 3-pt shot from 23 ft
4:36.0,Defensive rebound by J. Smith,,107-109,,
4:22.0,,,107-109,,D. Waiters enters the game for C. Payne
4:19.0,,,107-109,,Personal foul by S. Ibaka (drawn by V. Oladipo)
4:05.0,E. Payton misses 2-pt shot from 17 ft,,107-109,,
4:04.0,,,107-109,,Defensive rebound by K. Durant
3:51.0,,,107-109,,R. Westbrook misses 2-pt shot from 4 ft (block by J. Smith)
3:50.0,,,107-109,,Offensive rebound by S. Ibaka
3:46.0,,,107-109,,K. Durant misses 3-pt shot from 25 ft
3:45.0,Defensive rebound by T. Harris,,107-109,,
3:34.0,V. Oladipo makes 2-pt shot from 11 ft,2,109-109,,
3:13.0,,,109-109,,S. Ibaka misses 2-pt shot from 18 ft
3:13.0,Defensive rebound by V. Oladipo,,109-109,,
3:02.0,Shooting foul by S. Adams (drawn by V. Oladipo),,109-109,,
3:02.0,V. Oladipo makes free throw 1 of 2,1,110-109,,
3:02.0,V. Oladipo makes free throw 2 of 2,1,111-109,,
2:46.0,,,111-112,3,K. Durant makes 3-pt shot from 24 ft
2:45.0,Orlando full timeout,,111-112,,
2:31.0,J. Smith makes 3-pt shot from 22 ft (assist by N. Vucevic),3,114-112,,
2:12.0,,,114-112,,K. Durant misses 2-pt shot from 15 ft
2:11.0,,,114-112,,Offensive rebound by S. Ibaka
1:57.0,,,114-112,,S. Ibaka misses 2-pt shot from 14 ft
1:56.0,Defensive rebound by N. Vucevic,,114-112,,
1:41.0,E. Payton misses 2-pt shot from 19 ft,,114-112,,
1:41.0,,,114-112,,Defensive rebound by S. Adams
1:29.0,,,114-112,,Turnover by R. Westbrook (bad pass; steal by J. Smith)
1:21.0,,,114-112,,Violation by S. Adams (kicked ball)
1:13.0,T. Harris misses 2-pt shot from 19 ft,,114-112,,
1:13.0,,,114-112,,Defensive rebound by S. Adams
0:57.0,,,114-112,,Turnover by R. Westbrook (bad pass)
0:57.0,Orlando full timeout,,114-112,,
0:41.0,N. Vucevic misses 2-pt shot from 16 ft,,114-112,,
0:41.0,,,114-112,,Defensive rebound by R. Westbrook
0:38.0,,,114-112,,Oklahoma City full timeout
0:29.0,,,114-114,2,R. Westbrook makes 2-pt shot at rim
0:11.0,V. Oladipo misses 2-pt shot from 1 ft (block by S. Ibaka),,114-114,,
0:10.0,,,114-114,,Defensive rebound by D. Waiters
0:01.0,,,114-117,3,K. Durant makes 3-pt shot from 27 ft
0:01.0,Orlando full timeout,,114-117,,
0:01.0,C. Frye enters the game for T. Harris,,114-117,,
0:00.0,V. Oladipo misses 3-pt shot from 30 ft,,114-117,,
0:00.0,Offensive rebound by Team,,114-117,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
