time,Sacramento,pts.away,score,pts.home,Houston
5:29.0,R. Gay makes free throw 1 of 2,1,99-101,,
5:29.0,R. Gay makes free throw 2 of 2,1,100-101,,
5:15.0,,,100-101,,J. Harden misses 2-pt shot from 22 ft
5:13.0,Defensive rebound by B. McLemore,,100-101,,
5:05.0,R. Gay makes 3-pt shot from 24 ft (assist by R. Rondo),3,103-101,,
4:56.0,Personal foul by B. McLemore (drawn by J. Harden),,103-101,,
4:56.0,,,103-102,1,J. Harden makes free throw 1 of 2
4:56.0,,,103-103,1,J. Harden makes free throw 2 of 2
4:41.0,R. Gay misses 2-pt shot from 18 ft,,103-103,,
4:40.0,Offensive rebound by D. Cousins,,103-103,,
4:40.0,D. Cousins misses 2-pt shot from 1 ft,,103-103,,
4:39.0,,,103-103,,Defensive rebound by D. Howard
4:29.0,,,103-106,3,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden)
4:13.0,B. McLemore misses 2-pt shot from 2 ft,,103-106,,
4:12.0,,,103-106,,Defensive rebound by D. Howard
4:02.0,,,103-106,,Shooting foul by O. Casspi (drawn by D. Howard)
4:02.0,,,103-106,,D. Howard misses free throw 1 of 2
4:02.0,,,103-106,,Offensive rebound by Team
4:02.0,,,103-107,1,D. Howard makes free throw 2 of 2
3:48.0,D. Cousins misses 2-pt shot from 18 ft,,103-107,,
3:47.0,Offensive rebound by Team,,103-107,,
3:40.0,D. Cousins makes 2-pt shot from 4 ft,2,105-107,,
3:21.0,,,105-107,,Shooting foul by O. Casspi (drawn by D. Howard)
3:21.0,,,105-108,1,D. Howard makes free throw 1 of 2
3:21.0,,,105-109,1,D. Howard makes free throw 2 of 2
3:11.0,D. Cousins makes 2-pt shot at rim,2,107-109,,
2:53.0,,,107-109,,Turnover by J. Harden (traveling)
2:53.0,,,107-109,,Houston full timeout
2:45.0,D. Cousins misses 2-pt shot from 4 ft (block by D. Howard),,107-109,,
2:44.0,,,107-109,,Defensive rebound by T. Ariza
2:38.0,,,107-111,2,T. Jones makes 2-pt shot from 2 ft (assist by J. Harden)
2:21.0,R. Rondo misses 2-pt shot from 9 ft,,107-111,,
2:19.0,Offensive rebound by R. Rondo,,107-111,,
2:16.0,O. Casspi misses 3-pt shot from 26 ft,,107-111,,
2:16.0,,,107-111,,Defensive rebound by P. Beverley
2:14.0,Personal block foul by D. Cousins (drawn by J. Harden),,107-111,,
2:14.0,K. Koufos enters the game for D. Cousins,,107-111,,
2:14.0,,,107-111,,J. Harden misses free throw 1 of 2
2:14.0,,,107-111,,Offensive rebound by Team
2:14.0,,,107-112,1,J. Harden makes free throw 2 of 2
1:54.0,K. Koufos makes 2-pt shot from 5 ft (assist by O. Casspi),2,109-112,,
1:54.0,Shooting foul by P. Beverley (drawn by K. Koufos),,109-112,,
1:54.0,K. Koufos misses free throw 1 of 1,,109-112,,
1:54.0,,,109-112,,Defensive rebound by D. Howard
1:30.0,,,109-115,3,J. Harden makes 3-pt shot from 24 ft
1:14.0,R. Gay misses 2-pt shot from 17 ft,,109-115,,
1:12.0,,,109-115,,Defensive rebound by D. Howard
0:49.0,,,109-115,,T. Ariza misses 3-pt shot from 23 ft
0:49.0,,,109-115,,Offensive rebound by D. Howard
0:46.0,,,109-115,,Turnover by D. Howard (lost ball; steal by B. McLemore)
0:41.0,O. Casspi misses 3-pt shot from 24 ft,,109-115,,
0:40.0,,,109-115,,Defensive rebound by T. Ariza
0:29.0,Personal take foul by O. Casspi (drawn by D. Howard),,109-115,,
0:29.0,,,109-116,1,D. Howard makes free throw 1 of 2
0:29.0,,,109-116,,D. Howard misses free throw 2 of 2
0:29.0,Defensive rebound by R. Gay,,109-116,,
0:29.0,Sacramento full timeout,,109-116,,
0:29.0,D. Collison enters the game for K. Koufos,,109-116,,
0:25.0,Turnover by B. McLemore (bad pass; steal by P. Beverley),,109-116,,
0:24.0,Personal take foul by D. Collison (drawn by P. Beverley),,109-116,,
0:24.0,,,109-117,1,P. Beverley makes free throw 1 of 2
0:24.0,,,109-118,1,P. Beverley makes free throw 2 of 2
0:17.0,O. Casspi makes 2-pt shot from 7 ft (assist by R. Rondo),2,111-118,,
0:12.0,,,111-118,,Turnover by D. Howard (bad pass; steal by B. McLemore)
0:08.0,D. Collison misses 3-pt shot from 24 ft,,111-118,,
0:08.0,,,111-118,,Defensive rebound by Team
0:04.0,Personal foul by B. McLemore (drawn by J. Harden),,111-118,,
0:04.0,,,111-119,1,J. Harden makes free throw 1 of 2
0:04.0,,,111-120,1,J. Harden makes free throw 2 of 2
0:00.0,O. Casspi makes 2-pt shot from 3 ft (assist by R. Rondo),2,113-120,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
