time,New York,pts.away,score,pts.home,New Orleans
1:36.0,J. Calderon misses 2-pt shot from 21 ft,,85-90,,
1:35.0,,,85-90,,Defensive rebound by J. Holiday
1:19.0,,,85-92,2,J. Holiday makes 2-pt shot from 17 ft
1:05.0,Turnover by R. Lopez (lost ball; steal by L. Babbitt),,85-92,,
0:56.0,,,85-92,,New Orleans full timeout
0:52.0,,,85-92,,T. Frazier enters the game for J. Holiday
0:52.0,,,85-92,,J. Hamilton enters the game for K. Perkins
0:52.0,L. Galloway enters the game for R. Lopez,,85-92,,
0:52.0,Personal foul by L. Galloway,,85-92,,
0:52.0,,,85-92,,T. Frazier misses free throw 1 of 2
0:52.0,,,85-92,,Offensive rebound by Team
0:52.0,,,85-92,,K. Perkins enters the game for J. Hamilton
0:52.0,,,85-92,,T. Frazier misses free throw 2 of 2
0:51.0,Defensive rebound by K. Porzingis,,85-92,,
0:51.0,New York full timeout,,85-92,,
0:51.0,R. Lopez enters the game for L. Galloway,,85-92,,
0:49.0,C. Anthony misses 3-pt shot from 26 ft,,85-92,,
0:47.0,,,85-92,,Defensive rebound by Team
0:47.0,,,85-92,,J. Hamilton enters the game for K. Perkins
0:47.0,L. Galloway enters the game for K. Porzingis,,85-92,,
0:47.0,S. Vujacic enters the game for R. Lopez,,85-92,,
0:46.0,Personal take foul by J. Calderon,,85-92,,
0:46.0,,,85-92,,T. Frazier misses free throw 1 of 2
0:46.0,,,85-92,,Offensive rebound by Team
0:46.0,K. Porzingis enters the game for L. Galloway,,85-92,,
0:46.0,R. Lopez enters the game for S. Vujacic,,85-92,,
0:46.0,,,85-93,1,T. Frazier makes free throw 2 of 2
0:46.0,New York full timeout,,85-93,,
0:46.0,,,85-93,,K. Perkins enters the game for J. Hamilton
0:44.0,Shooting foul by T. Douglas (drawn by K. Porzingis),,85-93,,
0:44.0,K. Porzingis makes free throw 1 of 2,1,86-93,,
0:44.0,S. Vujacic enters the game for R. Lopez,,86-93,,
0:44.0,L. Galloway enters the game for C. Anthony,,86-93,,
0:44.0,,,86-93,,J. Hamilton enters the game for K. Perkins
0:44.0,K. Porzingis makes free throw 2 of 2,1,87-93,,
0:43.0,,,87-93,,New Orleans full timeout
0:43.0,C. Anthony enters the game for L. Galloway,,87-93,,
0:41.0,Personal foul by C. Anthony,,87-93,,
0:41.0,,,87-94,1,T. Douglas makes free throw 1 of 2
0:41.0,,,87-95,1,T. Douglas makes free throw 2 of 2
0:31.0,C. Anthony misses 3-pt shot from 25 ft,,87-95,,
0:30.0,,,87-95,,Defensive rebound by Team
0:28.0,Personal take foul by A. Afflalo,,87-95,,
0:28.0,,,87-96,1,T. Douglas makes free throw 1 of 2
0:28.0,,,87-97,1,T. Douglas makes free throw 2 of 2
0:23.0,S. Vujacic misses 2-pt shot from 2 ft (block by J. Hamilton),,87-97,,
0:23.0,Offensive rebound by Team,,87-97,,
0:23.0,,,87-97,,Personal foul by T. Douglas
0:23.0,K. Porzingis makes free throw 1 of 2,1,88-97,,
0:23.0,K. Porzingis makes free throw 2 of 2,1,89-97,,
0:21.0,Personal take foul by A. Afflalo,,89-97,,
0:21.0,L. Galloway enters the game for A. Afflalo,,89-97,,
0:21.0,,,89-98,1,T. Douglas makes free throw 1 of 2
0:21.0,,,89-99,1,T. Douglas makes free throw 2 of 2
0:15.0,S. Vujacic misses 3-pt shot from 25 ft,,89-99,,
0:14.0,Offensive rebound by J. Calderon,,89-99,,
0:09.0,S. Vujacic makes 2-pt shot from 1 ft (assist by J. Calderon),2,91-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
