time,Houston,pts.away,score,pts.home,Oklahoma City
0:59.0,J. Harden misses 3-pt shot from 26 ft,,53-53,,
0:58.0,,,53-53,,Defensive rebound by R. Westbrook
0:50.0,,,53-53,,Turnover by S. Ibaka (offensive foul)
0:50.0,,,53-53,,Offensive foul by S. Ibaka
0:39.0,Offensive charge foul by D. Motiejunas,,53-53,,
0:39.0,Turnover by D. Motiejunas (offensive foul),,53-53,,
0:30.0,,,53-55,2,K. Durant makes 2-pt shot from 2 ft (assist by R. Westbrook)
0:08.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,56-55,,
0:01.0,Personal foul by D. Motiejunas,,56-55,,
0:01.0,C. Brewer enters the game for P. Beverley,,56-55,,
0:01.0,K. McDaniels enters the game for D. Motiejunas,,56-55,,
0:00.0,,,56-55,,R. Westbrook misses 3-pt shot from 22 ft
0:00.0,,,56-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,56-55,,R. Westbrook misses 3-pt shot from 22 ft
11:40.0,Defensive rebound by D. Motiejunas,,56-55,,
11:20.0,J. Harden misses 3-pt shot from 23 ft,,56-55,,
11:20.0,,,56-55,,Defensive rebound by S. Ibaka
11:09.0,,,56-57,2,S. Ibaka makes 2-pt shot from 19 ft (assist by K. Durant)
10:56.0,P. Beverley misses 3-pt shot from 24 ft,,56-57,,
10:56.0,,,56-57,,Defensive rebound by K. Durant
10:48.0,,,56-57,,Shooting foul by D. Howard (drawn by K. Durant)
10:48.0,,,56-57,,K. Durant misses free throw 1 of 2
10:48.0,,,56-57,,Offensive rebound by Team
10:48.0,,,56-58,1,K. Durant makes free throw 2 of 2
10:28.0,D. Motiejunas misses 2-pt shot from 7 ft,,56-58,,
10:28.0,,,56-58,,Defensive rebound by R. Westbrook
10:28.0,Personal foul by T. Ariza,,56-58,,
10:19.0,,,56-58,,K. Durant misses 2-pt shot from 13 ft
10:19.0,Defensive rebound by P. Beverley,,56-58,,
10:12.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,58-58,,
9:57.0,,,58-58,,Offensive foul by S. Adams
9:57.0,,,58-58,,Turnover by S. Adams (offensive foul)
9:46.0,Turnover by D. Motiejunas (lost ball; steal by S. Adams),,58-58,,
9:44.0,Personal take foul by J. Harden,,58-58,,
9:34.0,,,58-58,,Turnover by K. Durant (lost ball; steal by J. Harden)
9:24.0,T. Ariza misses 3-pt shot from 22 ft,,58-58,,
9:24.0,Offensive rebound by D. Motiejunas,,58-58,,
9:15.0,Turnover by D. Howard (lost ball; steal by S. Ibaka),,58-58,,
9:09.0,,,58-58,,R. Westbrook misses 2-pt shot from 17 ft
9:08.0,Defensive rebound by D. Howard,,58-58,,
8:59.0,D. Motiejunas makes 3-pt shot from 24 ft (assist by T. Ariza),3,61-58,,
8:44.0,,,61-58,,Turnover by R. Westbrook (lost ball; steal by J. Harden)
8:38.0,J. Harden makes 2-pt shot at rim,2,63-58,,
8:37.0,,,63-58,,Oklahoma City full timeout
8:22.0,,,63-58,,S. Ibaka misses 2-pt shot from 16 ft
8:21.0,,,63-58,,Offensive rebound by S. Ibaka
8:20.0,,,63-58,,Shooting foul by D. Motiejunas (drawn by S. Ibaka)
8:20.0,,,63-59,1,S. Ibaka makes free throw 1 of 2
8:20.0,,,63-59,,S. Ibaka misses free throw 2 of 2
8:19.0,Defensive rebound by Team,,63-59,,
8:10.0,,,63-59,,Personal foul by A. Roberson
8:10.0,,,63-59,,D. Waiters enters the game for A. Roberson
7:53.0,P. Beverley misses 2-pt shot from 3 ft,,63-59,,
7:52.0,,,63-59,,Defensive rebound by S. Ibaka
7:45.0,,,63-59,,R. Westbrook misses 2-pt shot from 5 ft
7:45.0,,,63-59,,Offensive rebound by Team
7:45.0,Loose ball foul by J. Harden,,63-59,,
7:45.0,,,63-60,1,S. Adams makes free throw 1 of 2
7:45.0,,,63-61,1,S. Adams makes free throw 2 of 2
7:27.0,D. Motiejunas misses 3-pt shot from 23 ft,,63-61,,
7:26.0,Offensive rebound by Team,,63-61,,
7:13.0,T. Ariza misses 3-pt shot from 22 ft,,63-61,,
7:12.0,,,63-61,,Defensive rebound by R. Westbrook
7:06.0,Personal foul by P. Beverley,,63-61,,
7:06.0,,,63-62,1,R. Westbrook makes free throw 1 of 2
7:06.0,,,63-63,1,R. Westbrook makes free throw 2 of 2
7:06.0,Away from play foul by D. Howard,,63-63,,
7:06.0,,,63-63,,S. Adams misses free throw 1 of 1
7:05.0,Offensive rebound by Team,,63-63,,
6:54.0,Shooting foul by S. Adams (drawn by D. Motiejunas),,63-63,,
6:54.0,D. Motiejunas makes free throw 1 of 2,1,64-63,,
6:54.0,C. Capela enters the game for D. Howard,,64-63,,
6:54.0,D. Motiejunas makes free throw 2 of 2,1,65-63,,
6:33.0,,,65-66,3,D. Waiters makes 3-pt shot from 22 ft (assist by R. Westbrook)
6:16.0,T. Ariza makes 2-pt shot from 4 ft,2,67-66,,
5:51.0,,,67-68,2,S. Ibaka makes 2-pt shot from 3 ft (assist by D. Waiters)
5:39.0,Turnover by J. Harden (lost ball; steal by S. Adams),,67-68,,
5:35.0,,,67-70,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
5:33.0,Houston full timeout,,67-70,,
5:33.0,,,67-70,,R. Foye enters the game for K. Durant
5:33.0,M. Beasley enters the game for T. Ariza,,67-70,,
5:33.0,C. Brewer enters the game for D. Motiejunas,,67-70,,
5:22.0,,,67-70,,Personal foul by D. Waiters
5:14.0,P. Beverley makes 3-pt shot from 22 ft (assist by J. Harden),3,70-70,,
4:57.0,,,70-73,3,D. Waiters makes 3-pt shot from 24 ft (assist by R. Westbrook)
4:37.0,,,70-73,,Violation by D. Waiters (kicked ball)
4:37.0,J. Terry enters the game for P. Beverley,,70-73,,
4:22.0,M. Beasley makes 2-pt shot from 23 ft (assist by J. Harden),2,72-73,,
4:11.0,,,72-73,,R. Westbrook misses 2-pt shot from 2 ft (block by C. Capela)
4:11.0,,,72-73,,Offensive rebound by Team
4:11.0,,,72-73,,E. Kanter enters the game for S. Adams
