time,Miami,pts.away,score,pts.home,Detroit
1:33.0,,,73-102,3,D. Hilliard makes 3-pt shot from 26 ft (assist by R. Bullock)
1:22.0,U. Haslem makes 2-pt shot from 12 ft (assist by J. Richardson),2,75-102,,
1:06.0,,,75-104,2,D. Hilliard makes 2-pt shot from 17 ft (assist by A. Tolliver)
1:01.0,C. Andersen makes 3-pt shot from 26 ft (assist by B. Udrih),3,78-104,,
0:37.0,,,78-104,,S. Blake misses 3-pt shot from 25 ft
0:37.0,,,78-104,,Offensive rebound by D. Hilliard
0:26.0,,,78-104,,J. Anthony misses 2-pt shot from 5 ft
0:24.0,Defensive rebound by C. Andersen,,78-104,,
0:17.0,U. Haslem makes 3-pt shot from 23 ft (assist by C. Andersen),3,81-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
