time,San Antonio,pts.away,score,pts.home,Orlando
2:06.0,,,90-93,,E. Payton misses 2-pt shot from 17 ft
2:04.0,Defensive rebound by R. Butler,,90-93,,
1:57.0,,,90-93,,Personal foul by E. Fournier (drawn by K. Leonard)
1:50.0,K. Leonard misses 2-pt shot from 16 ft,,90-93,,
1:49.0,Offensive rebound by P. Mills,,90-93,,
1:42.0,,,90-93,,Personal foul by N. Vucevic (drawn by L. Aldridge)
1:42.0,L. Aldridge makes free throw 1 of 2,1,91-93,,
1:42.0,L. Aldridge makes free throw 2 of 2,1,92-93,,
1:27.0,,,92-93,,V. Oladipo misses 2-pt shot from 2 ft (block by D. Green)
1:25.0,Defensive rebound by L. Aldridge,,92-93,,
1:10.0,L. Aldridge makes 2-pt shot from 17 ft,2,94-93,,
1:10.0,,,94-93,,Orlando full timeout
1:03.0,,,94-93,,Orlando full timeout
1:01.0,,,94-93,,Turnover by E. Fournier (bad pass; steal by P. Mills)
1:01.0,,,94-93,,Personal foul by E. Payton (drawn by K. Leonard)
1:01.0,K. Leonard makes free throw 1 of 2,1,95-93,,
1:01.0,K. Leonard makes free throw 2 of 2,1,96-93,,
0:50.0,,,96-93,,E. Fournier misses 2-pt shot from 6 ft (block by L. Aldridge)
0:48.0,Defensive rebound by P. Mills,,96-93,,
0:29.0,K. Leonard misses 2-pt shot from 9 ft,,96-93,,
0:26.0,,,96-93,,Defensive rebound by A. Gordon
0:16.0,,,96-93,,E. Fournier misses 2-pt shot from 2 ft (block by L. Aldridge)
0:16.0,,,96-93,,Offensive rebound by Team
0:16.0,,,96-93,,Orlando full timeout
0:13.0,,,96-96,3,E. Fournier makes 3-pt shot from 23 ft (assist by E. Payton)
0:13.0,San Antonio full timeout,,96-96,,
0:13.0,San Antonio full timeout,,96-96,,
0:01.0,K. Leonard makes 2-pt shot from 19 ft,2,98-96,,
0:01.0,,,98-96,,E. Payton misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by L. Aldridge,,98-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
