time,LA Lakers,pts.away,score,pts.home,Milwaukee
4:26.0,,,88-103,,Offensive rebound by Team
4:26.0,,,88-104,1,G. Antetokounmpo makes free throw 2 of 2
4:10.0,N. Young makes 3-pt shot from 27 ft,3,91-104,,
3:52.0,,,91-104,,M. Carter-Williams misses 2-pt shot at rim
3:50.0,Defensive rebound by L. Williams,,91-104,,
3:45.0,Turnover by N. Young (step out of bounds),,91-104,,
3:34.0,,,91-104,,K. Middleton misses 2-pt shot from 5 ft
3:32.0,Defensive rebound by N. Young,,91-104,,
3:11.0,N. Young misses 3-pt shot from 23 ft,,91-104,,
3:09.0,,,91-104,,Defensive rebound by G. Monroe
2:49.0,,,91-106,2,J. Parker makes 2-pt shot from 20 ft (assist by G. Antetokounmpo)
2:28.0,T. Black misses 2-pt shot from 6 ft (block by G. Antetokounmpo),,91-106,,
2:27.0,Offensive rebound by R. Kelly,,91-106,,
2:26.0,R. Kelly misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,91-106,,
2:25.0,Offensive rebound by Team,,91-106,,
2:25.0,LA Lakers full timeout,,91-106,,
2:22.0,N. Young misses 3-pt shot from 24 ft,,91-106,,
2:19.0,,,91-106,,Defensive rebound by G. Antetokounmpo
2:09.0,,,91-106,,K. Middleton misses 3-pt shot from 23 ft
2:08.0,Defensive rebound by M. Huertas,,91-106,,
2:00.0,M. Huertas misses 3-pt shot from 24 ft,,91-106,,
1:57.0,,,91-106,,Defensive rebound by J. Parker
1:50.0,,,91-106,,Turnover by K. Middleton (lost ball; steal by T. Black)
1:41.0,R. Kelly makes 2-pt shot from 3 ft (assist by N. Young),2,93-106,,
1:29.0,,,93-106,,M. Carter-Williams misses 2-pt shot from 21 ft
1:26.0,Defensive rebound by M. Huertas,,93-106,,
1:24.0,Shooting foul by M. Carter-Williams (drawn by R. Kelly),,93-106,,
1:24.0,R. Kelly makes free throw 1 of 2,1,94-106,,
1:24.0,,,94-106,,S. Novak enters the game for J. Parker
1:24.0,,,94-106,,J. O'Bryant enters the game for K. Middleton
1:24.0,,,94-106,,M. Plumlee enters the game for G. Monroe
1:24.0,R. Kelly makes free throw 2 of 2,1,95-106,,
1:15.0,,,95-108,2,M. Carter-Williams makes 2-pt shot from 18 ft (assist by G. Antetokounmpo)
1:10.0,Shooting foul by S. Novak (drawn by L. Williams),,95-108,,
1:10.0,L. Williams misses free throw 1 of 2,,95-108,,
1:10.0,Offensive rebound by Team,,95-108,,
1:10.0,L. Williams makes free throw 2 of 2,1,96-108,,
0:51.0,,,96-108,,S. Novak misses 3-pt shot from 24 ft
0:49.0,Defensive rebound by N. Young,,96-108,,
0:42.0,Shooting foul by M. Plumlee (drawn by N. Young),,96-108,,
0:42.0,N. Young makes free throw 1 of 2,1,97-108,,
0:42.0,N. Young makes free throw 2 of 2,1,98-108,,
0:26.0,,,98-108,,Turnover by J. O'Bryant (lost ball; steal by M. Huertas)
0:16.0,N. Young misses 3-pt shot from 24 ft,,98-108,,
0:15.0,Offensive rebound by T. Black,,98-108,,
0:07.0,N. Young misses 2-pt shot at rim (block by G. Antetokounmpo),,98-108,,
0:05.0,Offensive rebound by L. Williams,,98-108,,
0:02.0,Shooting foul by J. O'Bryant (drawn by N. Young),,98-108,,
0:02.0,N. Young makes free throw 1 of 3,1,99-108,,
0:02.0,N. Young makes free throw 2 of 3,1,100-108,,
0:02.0,N. Young makes free throw 3 of 3,1,101-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
