time,Portland,pts.away,score,pts.home,San Antonio
5:17.0,,,93-107,,San Antonio full timeout
5:17.0,,,93-107,,K. Leonard enters the game for D. Green
5:17.0,,,93-107,,T. Parker enters the game for B. Diaw
5:17.0,,,93-107,,L. Aldridge enters the game for P. Mills
5:17.0,M. Plumlee misses free throw 1 of 2,,93-107,,
5:17.0,Offensive rebound by Team,,93-107,,
5:17.0,M. Plumlee makes free throw 2 of 2,1,94-107,,
5:04.0,,,94-107,,K. Martin misses 2-pt shot from 10 ft
5:03.0,Defensive rebound by C. McCollum,,94-107,,
4:52.0,C. McCollum misses 2-pt shot from 1 ft,,94-107,,
4:52.0,,,94-107,,Defensive rebound by Team
4:52.0,Loose ball foul by M. Plumlee,,94-107,,
4:29.0,,,94-109,2,K. Leonard makes 2-pt shot from 19 ft
4:13.0,Turnover by M. Plumlee (lost ball; steal by K. Anderson),,94-109,,
4:13.0,Personal foul by M. Plumlee,,94-109,,
4:05.0,,,94-109,,Turnover by T. Parker (lost ball; steal by M. Plumlee)
4:01.0,M. Plumlee makes 2-pt shot at rim,2,96-109,,
4:01.0,,,96-109,,San Antonio full timeout
3:42.0,,,96-111,2,T. Parker makes 2-pt shot from 17 ft (assist by K. Martin)
3:27.0,G. Henderson makes 3-pt shot from 24 ft (assist by D. Lillard),3,99-111,,
3:27.0,,,99-111,,San Antonio full timeout
3:10.0,,,99-114,3,K. Leonard makes 3-pt shot from 24 ft (assist by K. Anderson)
2:55.0,D. Lillard makes 3-pt shot from 27 ft,3,102-114,,
2:37.0,,,102-114,,L. Aldridge misses 2-pt shot from 18 ft
2:36.0,Defensive rebound by G. Henderson,,102-114,,
2:26.0,M. Plumlee misses 2-pt shot from 2 ft (block by K. Leonard),,102-114,,
2:25.0,,,102-114,,Defensive rebound by K. Anderson
2:15.0,Personal foul by A. Crabbe,,102-114,,
2:15.0,,,102-115,1,T. Parker makes free throw 1 of 2
2:15.0,,,102-115,,A. Miller enters the game for K. Martin
2:15.0,,,102-115,,B. Marjanovic enters the game for L. Aldridge
2:15.0,,,102-116,1,T. Parker makes free throw 2 of 2
2:06.0,D. Lillard makes 2-pt shot at rim,2,104-116,,
1:43.0,,,104-116,,K. Leonard misses 2-pt shot from 8 ft
1:42.0,Defensive rebound by M. Plumlee,,104-116,,
1:40.0,Turnover by D. Lillard (lost ball; steal by T. Parker),,104-116,,
1:37.0,,,104-116,,T. Parker misses 2-pt shot at rim
1:37.0,Defensive rebound by D. Lillard,,104-116,,
1:32.0,Shooting foul by B. Marjanovic (drawn by G. Henderson),,104-116,,
1:32.0,G. Henderson makes free throw 1 of 2,1,105-116,,
1:32.0,,,105-116,,K. Martin enters the game for K. Leonard
1:32.0,G. Henderson misses free throw 2 of 2,,105-116,,
1:31.0,,,105-116,,Defensive rebound by K. Martin
1:17.0,,,105-116,,Turnover by K. Anderson (lost ball; steal by M. Plumlee)
1:09.0,G. Henderson misses 2-pt shot from 1 ft,,105-116,,
1:09.0,Offensive rebound by A. Crabbe,,105-116,,
1:04.0,M. Plumlee makes 2-pt shot from 4 ft,2,107-116,,
0:43.0,,,107-116,,T. Parker misses 2-pt shot from 19 ft
0:41.0,Defensive rebound by C. McCollum,,107-116,,
0:33.0,D. Lillard misses 3-pt shot from 25 ft,,107-116,,
0:32.0,,,107-116,,Defensive rebound by K. Anderson
0:27.0,,,107-118,2,T. Parker makes 2-pt shot from 2 ft (assist by K. Anderson)
0:23.0,C. McCollum makes 3-pt shot from 25 ft,3,110-118,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
