time,Philadelphia,pts.away,score,pts.home,Sacramento
9:56.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,90-85,,
9:37.0,,,90-85,,Shooting foul by T. McConnell (drawn by M. Belinelli)
9:37.0,,,90-86,1,M. Belinelli makes free throw 1 of 2
9:37.0,,,90-86,,M. Belinelli misses free throw 2 of 2
9:36.0,Defensive rebound by R. Covington,,90-86,,
9:20.0,J. Grant makes 2-pt shot from 5 ft (assist by T. McConnell),2,92-86,,
9:07.0,,,92-86,,Turnover by D. Collison (bad pass)
8:59.0,Philadelphia full timeout,,92-86,,
8:59.0,,,92-86,,R. Rondo enters the game for D. Collison
8:45.0,,,92-86,,Personal foul by R. Rondo (drawn by J. Grant)
8:30.0,R. Covington makes 3-pt shot from 24 ft (assist by T. McConnell),3,95-86,,
8:13.0,,,95-89,3,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Rondo)
7:59.0,Turnover by J. Okafor (bad pass),,95-89,,
7:59.0,,,95-89,,O. Casspi enters the game for B. McLemore
7:59.0,,,95-89,,D. Cousins enters the game for K. Koufos
7:42.0,,,95-89,,M. Belinelli misses 2-pt shot from 8 ft
7:42.0,Defensive rebound by J. Grant,,95-89,,
7:42.0,,,95-89,,Personal foul by O. Casspi (drawn by J. Grant)
7:27.0,T. McConnell misses 2-pt shot from 11 ft (block by R. Gay),,95-89,,
7:26.0,Offensive rebound by J. Okafor,,95-89,,
7:23.0,J. Okafor misses 2-pt shot from 7 ft,,95-89,,
7:22.0,,,95-89,,Defensive rebound by O. Casspi
7:18.0,Personal foul by J. Okafor (drawn by D. Cousins),,95-89,,
7:08.0,,,95-92,3,O. Casspi makes 3-pt shot from 23 ft
6:45.0,J. Grant misses 3-pt shot from 23 ft,,95-92,,
6:44.0,,,95-92,,Defensive rebound by Team
6:20.0,,,95-92,,O. Casspi misses 3-pt shot from 24 ft
6:19.0,Defensive rebound by N. Stauskas,,95-92,,
6:14.0,N. Stauskas misses 2-pt shot from 6 ft,,95-92,,
6:12.0,Offensive rebound by J. Okafor,,95-92,,
6:12.0,J. Okafor makes 2-pt shot from 1 ft,2,97-92,,
5:48.0,,,97-92,,Shooting foul by N. Stauskas (drawn by D. Cousins)
5:48.0,Official timeout,,97-92,,
5:48.0,I. Canaan enters the game for R. Covington,,97-92,,
5:48.0,I. Smith enters the game for J. Okafor,,97-92,,
5:48.0,N. Noel enters the game for T. McConnell,,97-92,,
5:48.0,,,97-93,1,D. Cousins makes free throw 1 of 2
5:48.0,,,97-93,,D. Cousins misses free throw 2 of 2
5:48.0,Defensive rebound by I. Canaan,,97-93,,
5:26.0,I. Smith misses 2-pt shot from 3 ft,,97-93,,
5:26.0,,,97-93,,Defensive rebound by O. Casspi
5:20.0,,,97-93,,R. Rondo misses 2-pt shot from 17 ft
5:19.0,Defensive rebound by N. Noel,,97-93,,
5:12.0,Turnover by N. Noel (offensive goaltending),,97-93,,
5:08.0,Personal foul by N. Noel (drawn by D. Cousins),,97-93,,
5:08.0,,,97-94,1,D. Cousins makes free throw 1 of 2
5:08.0,R. Covington enters the game for N. Stauskas,,97-94,,
5:08.0,,,97-94,,D. Cousins misses free throw 2 of 2
5:07.0,Defensive rebound by R. Covington,,97-94,,
4:56.0,Shooting foul by D. Cousins (drawn by N. Noel),,97-94,,
4:56.0,N. Noel makes free throw 1 of 2,1,98-94,,
4:56.0,N. Noel makes free throw 2 of 2,1,99-94,,
4:39.0,,,99-94,,O. Casspi misses 3-pt shot from 23 ft (block by J. Grant)
4:38.0,,,99-94,,Offensive rebound by Team
4:36.0,,,99-96,2,M. Belinelli makes 2-pt shot from 2 ft (assist by R. Rondo)
4:36.0,,,99-96,,Violation by Team (delay of game)
4:26.0,Offensive charge foul by J. Grant,,99-96,,
4:26.0,Turnover by J. Grant (offensive foul),,99-96,,
4:15.0,,,99-96,,M. Belinelli misses 2-pt shot from 20 ft
4:14.0,Defensive rebound by N. Noel,,99-96,,
4:08.0,I. Canaan misses 3-pt shot from 25 ft,,99-96,,
4:07.0,,,99-96,,Defensive rebound by D. Cousins
4:01.0,Shooting block foul by J. Grant (drawn by R. Gay),,99-96,,
4:01.0,,,99-97,1,R. Gay makes free throw 1 of 2
4:01.0,,,99-97,,R. Gay misses free throw 2 of 2
4:00.0,Defensive rebound by J. Grant,,99-97,,
3:50.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,101-97,,
3:28.0,,,101-97,,Shooting foul by I. Smith (drawn by D. Cousins)
3:28.0,,,101-98,1,D. Cousins makes free throw 1 of 2
3:28.0,,,101-99,1,D. Cousins makes free throw 2 of 2
3:16.0,I. Smith makes 2-pt shot from 19 ft,2,103-99,,
3:01.0,,,103-101,2,M. Belinelli makes 2-pt shot from 20 ft (assist by R. Rondo)
2:39.0,Offensive charge foul by N. Noel,,103-101,,
2:39.0,Turnover by N. Noel (offensive foul),,103-101,,
2:39.0,,,103-101,,Sacramento full timeout
2:21.0,,,103-101,,R. Gay misses 2-pt shot from 4 ft
2:21.0,Defensive rebound by R. Covington,,103-101,,
2:02.0,I. Smith makes 2-pt shot from 6 ft,2,105-101,,
1:47.0,,,105-101,,Turnover by M. Belinelli (bad pass)
1:47.0,,,105-101,,Loose ball foul by D. Cousins (drawn by N. Noel)
1:47.0,Philadelphia full timeout,,105-101,,
1:47.0,,,105-101,,D. Collison enters the game for D. Cousins
1:47.0,J. Sampson enters the game for N. Noel,,105-101,,
1:27.0,,,105-101,,Personal foul by O. Casspi (drawn by J. Grant)
1:27.0,J. Grant makes free throw 1 of 2,1,106-101,,
1:27.0,J. Grant makes free throw 2 of 2,1,107-101,,
1:27.0,,,107-101,,Sacramento full timeout
1:15.0,Personal foul by J. Sampson (drawn by M. Belinelli),,107-101,,
1:15.0,,,107-102,1,M. Belinelli makes free throw 1 of 2
1:15.0,,,107-102,,Q. Acy enters the game for D. Collison
1:15.0,,,107-103,1,M. Belinelli makes free throw 2 of 2
0:52.0,I. Canaan misses 3-pt shot from 23 ft,,107-103,,
0:51.0,Offensive rebound by I. Smith,,107-103,,
0:49.0,,,107-103,,Personal foul by R. Rondo (drawn by I. Smith)
0:49.0,I. Smith makes free throw 1 of 2,1,108-103,,
0:49.0,N. Noel enters the game for J. Sampson,,108-103,,
0:49.0,I. Smith misses free throw 2 of 2,,108-103,,
0:49.0,,,108-103,,Defensive rebound by Q. Acy
0:49.0,,,108-103,,Sacramento full timeout
0:49.0,,,108-103,,D. Collison enters the game for Q. Acy
0:49.0,J. Sampson enters the game for N. Noel,,108-103,,
0:44.0,,,108-103,,Shooting foul by J. Grant (drawn by R. Gay)
0:44.0,,,108-103,,R. Gay misses free throw 1 of 2
0:44.0,,,108-103,,Offensive rebound by Team
0:44.0,,,108-103,,Q. Acy enters the game for M. Belinelli
0:44.0,N. Noel enters the game for J. Sampson,,108-103,,
0:44.0,,,108-103,,R. Gay misses free throw 2 of 2
0:43.0,Defensive rebound by N. Noel,,108-103,,
0:18.0,I. Canaan misses 3-pt shot from 24 ft,,108-103,,
0:18.0,Offensive rebound by J. Grant,,108-103,,
0:18.0,,,108-103,,Personal foul by R. Rondo (drawn by J. Grant)
0:18.0,J. Grant makes free throw 1 of 2,1,109-103,,
0:18.0,,,109-103,,M. Belinelli enters the game for Q. Acy
0:18.0,J. Sampson enters the game for N. Noel,,109-103,,
0:18.0,J. Grant misses free throw 2 of 2,,109-103,,
0:17.0,,,109-103,,Defensive rebound by O. Casspi
0:09.0,,,109-103,,Turnover by O. Casspi (back court)
0:08.0,,,109-103,,Personal foul by O. Casspi (drawn by R. Covington)
0:08.0,,,109-103,,Q. Acy enters the game for O. Casspi
0:08.0,R. Covington makes free throw 1 of 2,1,110-103,,
0:08.0,R. Covington misses free throw 2 of 2,,110-103,,
0:07.0,,,110-103,,Defensive rebound by R. Gay
0:00.0,,,110-105,2,R. Gay makes 2-pt shot from 2 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
