time,LA Lakers,pts.away,score,pts.home,Toronto
0:43.0,,,91-99,,Shooting foul by L. Williams (drawn by C. Joseph)
0:43.0,,,91-100,1,C. Joseph makes free throw 1 of 2
0:43.0,,,91-101,1,C. Joseph makes free throw 2 of 2
0:43.0,LA Lakers full timeout,,91-101,,
0:39.0,Shooting foul by B. Biyombo (drawn by K. Bryant),,91-101,,
0:39.0,K. Bryant makes free throw 1 of 2,1,92-101,,
0:39.0,K. Bryant makes free throw 2 of 2,1,93-101,,
0:25.0,Personal foul by K. Bryant (drawn by C. Joseph),,93-101,,
0:25.0,,,93-101,,C. Joseph misses free throw 1 of 2
0:25.0,,,93-101,,Offensive rebound by Team
0:25.0,D. Russell enters the game for K. Bryant,,93-101,,
0:25.0,,,93-101,,N. Powell enters the game for K. Lowry
0:25.0,,,93-102,1,C. Joseph makes free throw 2 of 2
0:12.0,D. Russell misses 3-pt shot from 25 ft,,93-102,,
0:12.0,,,93-102,,Defensive rebound by T. Ross
0:00.0,End of 4th quarter,,,,End of 4th quarter
