time,Indiana,pts.away,score,pts.home,Charlotte
0:32.0,Personal foul by I. Mahinmi (drawn by K. Walker),,99-105,,
0:32.0,,,99-106,1,K. Walker makes free throw 1 of 2
0:32.0,,,99-107,1,K. Walker makes free throw 2 of 2
0:32.0,Indiana full timeout,,99-107,,
0:25.0,P. George misses 3-pt shot from 25 ft,,99-107,,
0:24.0,Offensive rebound by G. Hill,,99-107,,
0:20.0,M. Ellis misses 3-pt shot from 24 ft,,99-107,,
0:20.0,Offensive rebound by Team,,99-107,,
0:20.0,,,99-107,,Loose ball foul by M. Williams (drawn by P. George)
0:20.0,P. George makes free throw 1 of 2,1,100-107,,
0:20.0,P. George makes free throw 2 of 2,1,101-107,,
0:17.0,Personal foul by S. Hill (drawn by N. Batum),,101-107,,
0:17.0,,,101-108,1,N. Batum makes free throw 1 of 2
0:17.0,,,101-108,,N. Batum misses free throw 2 of 2
0:15.0,,,101-108,,Offensive rebound by N. Batum
0:00.0,End of 4th quarter,,,,End of 4th quarter
