time,Atlanta,pts.away,score,pts.home,Chicago
3:29.0,Shooting foul by C. Bairstow (drawn by P. Millsap),,104-87,,
3:29.0,P. Millsap makes free throw 1 of 2,1,105-87,,
3:29.0,P. Millsap makes free throw 2 of 2,1,106-87,,
3:15.0,,,106-87,,Turnover by A. Brooks (bad pass; steal by T. Hardaway)
3:11.0,Turnover by J. Teague (bad pass; steal by D. McDermott),,106-87,,
3:05.0,,,106-87,,Turnover by D. McDermott (lost ball; steal by J. Teague)
3:03.0,J. Teague makes 2-pt shot from 1 ft,2,108-87,,
2:52.0,,,108-87,,C. Bairstow misses 2-pt shot from 15 ft
2:50.0,Defensive rebound by J. Teague,,108-87,,
2:30.0,Turnover by J. Teague (bad pass; steal by A. Brooks),,108-87,,
2:22.0,Personal foul by J. Teague (drawn by A. Brooks),,108-87,,
2:22.0,J. Holiday enters the game for P. Millsap,,108-87,,
2:22.0,S. Mack enters the game for K. Korver,,108-87,,
2:22.0,M. Muscala enters the game for J. Teague,,108-87,,
2:22.0,L. Patterson enters the game for M. Scott,,108-87,,
2:15.0,,,108-87,,D. McDermott misses 3-pt shot from 25 ft
2:14.0,Defensive rebound by M. Muscala,,108-87,,
1:52.0,S. Mack misses 3-pt shot from 24 ft,,108-87,,
1:51.0,Offensive rebound by J. Holiday,,108-87,,
1:45.0,J. Holiday misses 3-pt shot from 23 ft,,108-87,,
1:44.0,,,108-87,,Defensive rebound by A. Brooks
1:24.0,,,108-90,3,A. Brooks makes 3-pt shot from 26 ft (assist by C. Felicio)
1:08.0,L. Patterson misses 3-pt shot from 25 ft,,108-90,,
1:07.0,,,108-90,,Defensive rebound by A. Brooks
0:58.0,,,108-90,,C. Bairstow misses 2-pt shot from 22 ft
0:56.0,Defensive rebound by Team,,108-90,,
0:33.0,M. Muscala makes 3-pt shot from 23 ft (assist by S. Mack),3,111-90,,
0:24.0,,,111-90,,Turnover by A. Brooks (bad pass; steal by L. Patterson)
0:19.0,J. Holiday makes 2-pt shot from 1 ft (assist by L. Patterson),2,113-90,,
0:05.0,,,113-90,,Turnover by C. Felicio (lost ball; steal by S. Mack)
0:00.0,End of 4th quarter,,,,End of 4th quarter
