time,Atlanta,pts.away,score,pts.home,LA Clippers
5:07.0,,,92-90,,D. Jordan misses free throw 1 of 2
5:07.0,,,92-90,,Offensive rebound by Team
5:07.0,,,92-91,1,D. Jordan makes free throw 2 of 2
4:54.0,K. Humphries makes 2-pt shot from 18 ft (assist by J. Teague),2,94-91,,
4:33.0,,,94-91,,J. Crawford misses 2-pt shot from 18 ft (block by K. Bazemore)
4:31.0,Defensive rebound by T. Sefolosha,,94-91,,
4:22.0,K. Humphries misses 3-pt shot from 25 ft,,94-91,,
4:22.0,Offensive rebound by Team,,94-91,,
4:22.0,,,94-91,,Loose ball foul by J. Green (drawn by P. Millsap)
4:05.0,Shooting foul by J. Green (drawn by K. Bazemore),,94-91,,
4:05.0,K. Bazemore makes free throw 1 of 2,1,95-91,,
4:05.0,K. Bazemore makes free throw 2 of 2,1,96-91,,
4:03.0,Personal take foul by T. Sefolosha (drawn by D. Jordan),,96-91,,
4:03.0,,,96-91,,D. Jordan misses free throw 1 of 2
4:03.0,,,96-91,,Offensive rebound by Team
4:03.0,,,96-91,,D. Jordan misses free throw 2 of 2
4:02.0,Defensive rebound by P. Millsap,,96-91,,
3:48.0,,,96-91,,W. Johnson enters the game for D. Jordan
3:41.0,J. Teague makes 2-pt shot from 4 ft,2,98-91,,
3:41.0,Shooting foul by J. Green (drawn by J. Teague),,98-91,,
3:41.0,J. Teague makes free throw 1 of 1,1,99-91,,
3:32.0,,,99-91,,Shooting foul by K. Humphries (drawn by C. Paul)
3:32.0,A. Horford enters the game for K. Humphries,,99-91,,
3:32.0,,,99-92,1,C. Paul makes free throw 1 of 2
3:32.0,,,99-93,1,C. Paul makes free throw 2 of 2
3:19.0,A. Horford makes 2-pt shot from 4 ft,2,101-93,,
3:08.0,,,101-93,,Turnover by C. Paul (dbl dribble)
2:55.0,K. Bazemore misses 3-pt shot from 26 ft,,101-93,,
2:54.0,,,101-93,,Defensive rebound by W. Johnson
2:44.0,,,101-93,,Turnover by C. Paul (bad pass; steal by T. Sefolosha)
2:40.0,Shooting foul by C. Paul (drawn by T. Sefolosha),,101-93,,
2:40.0,,,101-93,,LA Clippers full timeout
2:40.0,T. Sefolosha misses free throw 1 of 2,,101-93,,
2:40.0,Offensive rebound by Team,,101-93,,
2:40.0,T. Sefolosha misses free throw 2 of 2,,101-93,,
2:39.0,,,101-93,,Defensive rebound by W. Johnson
2:27.0,,,101-95,2,J. Green makes 2-pt shot from 1 ft (assist by J. Crawford)
2:04.0,A. Horford misses 2-pt shot from 7 ft,,101-95,,
2:01.0,Offensive rebound by P. Millsap,,101-95,,
2:01.0,P. Millsap makes 2-pt shot at rim,2,103-95,,
1:48.0,,,103-95,,W. Johnson misses 2-pt shot from 17 ft
1:46.0,Defensive rebound by A. Horford,,103-95,,
1:31.0,P. Millsap misses 2-pt shot from 11 ft,,103-95,,
1:29.0,,,103-95,,Defensive rebound by C. Paul
1:19.0,,,103-95,,W. Johnson misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by J. Teague,,103-95,,
1:18.0,Offensive foul by J. Teague,,103-95,,
1:18.0,Turnover by J. Teague (offensive foul),,103-95,,
1:18.0,,,103-95,,LA Clippers full timeout
1:18.0,D. Schroder enters the game for J. Teague,,103-95,,
1:18.0,,,103-95,,D. Jordan enters the game for W. Johnson
1:09.0,,,103-95,,J. Redick misses 3-pt shot from 26 ft
1:08.0,Defensive rebound by K. Bazemore,,103-95,,
0:50.0,D. Schroder misses 2-pt shot from 1 ft,,103-95,,
0:49.0,Offensive rebound by T. Sefolosha,,103-95,,
0:42.0,,,103-95,,Personal foul by C. Paul (drawn by D. Schroder)
0:42.0,D. Schroder makes free throw 1 of 2,1,104-95,,
0:42.0,D. Schroder makes free throw 2 of 2,1,105-95,,
0:42.0,,,105-95,,LA Clippers full timeout
0:42.0,,,105-95,,W. Johnson enters the game for J. Green
0:30.0,,,105-95,,C. Paul misses 3-pt shot from 23 ft
0:30.0,Defensive rebound by A. Horford,,105-95,,
0:30.0,,,105-95,,Personal take foul by D. Jordan (drawn by A. Horford)
0:30.0,A. Horford makes free throw 1 of 2,1,106-95,,
0:30.0,A. Horford makes free throw 2 of 2,1,107-95,,
0:19.0,,,107-95,,D. Jordan misses 2-pt shot from 4 ft
0:19.0,,,107-95,,Offensive rebound by D. Jordan
0:19.0,,,107-97,2,D. Jordan makes 2-pt shot from 4 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
