time,Minnesota,pts.away,score,pts.home,Miami
8:14.0,,,71-74,,J. Winslow misses free throw 2 of 2
8:13.0,Defensive rebound by K. Towns,,71-74,,
8:01.0,Z. LaVine misses 2-pt shot from 5 ft,,71-74,,
8:00.0,Offensive rebound by A. Payne,,71-74,,
7:58.0,A. Payne makes 2-pt shot at rim,2,73-74,,
7:40.0,,,73-74,,G. Green misses 2-pt shot from 11 ft
7:39.0,,,73-74,,Offensive rebound by G. Green
7:37.0,,,73-76,2,G. Green makes 2-pt shot from 1 ft
7:26.0,A. Wiggins makes 2-pt shot from 1 ft,2,75-76,,
7:26.0,Shooting foul by G. Green (drawn by A. Wiggins),,75-76,,
7:26.0,,,75-76,,D. Wade enters the game for G. Green
7:26.0,,,75-76,,H. Whiteside enters the game for J. McRoberts
7:26.0,A. Wiggins misses free throw 1 of 1,,75-76,,
7:25.0,,,75-76,,Defensive rebound by C. Bosh
7:09.0,,,75-76,,D. Wade misses 2-pt shot from 17 ft
7:08.0,Defensive rebound by K. Towns,,75-76,,
7:05.0,,,75-76,,Personal foul by J. Winslow (drawn by S. Muhammad)
7:05.0,,,75-76,,G. Dragic enters the game for T. Johnson
6:57.0,Z. LaVine makes 3-pt shot from 23 ft,3,78-76,,
6:44.0,,,78-76,,Offensive foul by H. Whiteside
6:44.0,,,78-76,,Turnover by H. Whiteside (offensive foul)
6:32.0,Z. LaVine makes 2-pt shot at rim,2,80-76,,
6:32.0,,,80-76,,Miami full timeout
6:32.0,,,80-76,,L. Deng enters the game for J. Winslow
6:07.0,,,80-76,,L. Deng misses 2-pt shot from 12 ft
6:06.0,,,80-76,,Offensive rebound by H. Whiteside
6:04.0,,,80-78,2,H. Whiteside makes 2-pt shot from 1 ft
5:39.0,A. Payne makes 2-pt shot at rim (assist by S. Muhammad),2,82-78,,
5:20.0,,,82-80,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
5:03.0,K. Towns misses 2-pt shot from 21 ft,,82-80,,
5:02.0,,,82-80,,Defensive rebound by C. Bosh
4:51.0,,,82-82,2,C. Bosh makes 2-pt shot from 2 ft
4:51.0,Minnesota full timeout,,82-82,,
4:51.0,R. Rubio enters the game for S. Muhammad,,82-82,,
4:51.0,K. Garnett enters the game for A. Payne,,82-82,,
4:38.0,A. Wiggins makes 2-pt shot from 7 ft,2,84-82,,
4:32.0,Personal take foul by R. Rubio (drawn by H. Whiteside),,84-82,,
4:32.0,,,84-83,1,H. Whiteside makes free throw 1 of 2
4:32.0,,,84-83,,H. Whiteside misses free throw 2 of 2
4:31.0,Defensive rebound by K. Garnett,,84-83,,
4:18.0,Z. LaVine misses 3-pt shot from 27 ft,,84-83,,
4:17.0,,,84-83,,Defensive rebound by C. Bosh
4:07.0,,,84-83,,C. Bosh misses 3-pt shot from 24 ft
4:06.0,Defensive rebound by R. Rubio,,84-83,,
4:06.0,,,84-83,,Personal foul by G. Dragic (drawn by R. Rubio)
3:56.0,A. Wiggins misses 2-pt shot from 2 ft (block by C. Bosh),,84-83,,
3:55.0,Offensive rebound by Team,,84-83,,
3:53.0,Shooting foul by C. Bosh (drawn by A. Wiggins),,84-83,,
3:53.0,A. Wiggins makes free throw 1 of 2,1,85-83,,
3:53.0,A. Wiggins makes free throw 2 of 2,1,86-83,,
3:51.0,Personal take foul by A. Wiggins (drawn by H. Whiteside),,86-83,,
3:51.0,,,86-83,,H. Whiteside misses free throw 1 of 2
3:51.0,,,86-83,,Offensive rebound by Team
3:51.0,,,86-83,,H. Whiteside misses free throw 2 of 2
3:50.0,Defensive rebound by K. Towns,,86-83,,
3:31.0,R. Rubio makes 2-pt shot from 18 ft (assist by K. Garnett),2,88-83,,
3:31.0,,,88-83,,Miami full timeout
3:31.0,,,88-83,,J. Winslow enters the game for H. Whiteside
3:13.0,,,88-83,,D. Wade misses 2-pt shot from 10 ft
3:12.0,Defensive rebound by K. Garnett,,88-83,,
2:53.0,A. Wiggins makes 2-pt shot from 22 ft,2,90-83,,
2:40.0,,,90-83,,L. Deng misses 3-pt shot from 23 ft
2:39.0,Defensive rebound by K. Garnett,,90-83,,
2:17.0,A. Wiggins misses 2-pt shot from 5 ft,,90-83,,
2:16.0,Offensive rebound by K. Towns,,90-83,,
2:15.0,K. Towns makes 2-pt shot at rim,2,92-83,,
2:04.0,,,92-85,2,G. Dragic makes 2-pt shot from 1 ft
2:04.0,,,92-85,,Shooting foul by R. Rubio (drawn by G. Dragic)
2:04.0,,,92-85,,H. Whiteside enters the game for J. Winslow
2:04.0,,,92-86,1,G. Dragic makes free throw 1 of 1
1:44.0,Z. LaVine makes 3-pt shot from 23 ft (assist by A. Wiggins),3,95-86,,
1:41.0,,,95-86,,Shooting foul by R. Rubio (drawn by G. Dragic)
1:41.0,,,95-86,,G. Dragic misses free throw 1 of 2
1:41.0,,,95-86,,Offensive rebound by Team
1:41.0,,,95-87,1,G. Dragic makes free throw 2 of 2
1:17.0,Z. LaVine misses 2-pt shot from 21 ft,,95-87,,
1:16.0,Offensive rebound by K. Garnett,,95-87,,
1:07.0,,,95-87,,Personal foul by G. Dragic (drawn by R. Rubio)
1:07.0,R. Rubio makes free throw 1 of 2,1,96-87,,
1:07.0,,,96-87,,J. Winslow enters the game for H. Whiteside
1:07.0,R. Rubio misses free throw 2 of 2,,96-87,,
1:06.0,,,96-87,,Defensive rebound by L. Deng
0:59.0,,,96-89,2,C. Bosh makes 2-pt shot at rim
0:59.0,,,96-89,,Personal foul by J. Winslow (drawn by A. Wiggins)
0:59.0,A. Wiggins makes free throw 1 of 2,1,97-89,,
0:59.0,A. Wiggins makes free throw 2 of 2,1,98-89,,
0:51.0,,,98-89,,G. Dragic misses 3-pt shot from 25 ft
0:50.0,Defensive rebound by Z. LaVine,,98-89,,
0:50.0,,,98-89,,Personal foul by L. Deng (drawn by Z. LaVine)
0:50.0,Z. LaVine makes free throw 1 of 2,1,99-89,,
0:50.0,Z. LaVine makes free throw 2 of 2,1,100-89,,
0:50.0,,,100-89,,Miami full timeout
0:44.0,,,100-89,,Turnover by D. Wade (lost ball; steal by Z. LaVine)
0:36.0,,,100-89,,Personal foul by L. Deng (drawn by Z. LaVine)
0:36.0,Z. LaVine makes free throw 1 of 2,1,101-89,,
0:36.0,K. Martin enters the game for R. Rubio,,101-89,,
0:36.0,Z. LaVine makes free throw 2 of 2,1,102-89,,
0:31.0,,,102-91,2,L. Deng makes 2-pt shot from 2 ft
0:28.0,,,102-91,,Personal foul by G. Dragic (drawn by A. Wiggins)
0:28.0,A. Wiggins misses free throw 1 of 2,,102-91,,
0:28.0,Offensive rebound by Team,,102-91,,
0:28.0,N. Bjelica enters the game for K. Garnett,,102-91,,
0:28.0,A. Wiggins makes free throw 2 of 2,1,103-91,,
0:22.0,,,103-91,,D. Wade misses 3-pt shot from 27 ft
0:21.0,Defensive rebound by Z. LaVine,,103-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
