time,New York,pts.away,score,pts.home,Utah
3:01.0,S. Vujacic misses flagrant free throw 1 of 2,,77-103,,
3:01.0,Offensive rebound by Team,,77-103,,
3:01.0,S. Vujacic makes flagrant free throw 2 of 2,1,78-103,,
2:50.0,J. Grant misses 3-pt shot from 25 ft,,78-103,,
2:49.0,Offensive rebound by K. O'Quinn,,78-103,,
2:34.0,L. Amundson misses 2-pt shot from 5 ft,,78-103,,
2:33.0,Offensive rebound by Team,,78-103,,
2:33.0,,,78-103,,Personal foul by T. Lyles (drawn by K. O'Quinn)
2:33.0,New York full timeout,,78-103,,
2:33.0,L. Galloway enters the game for D. Williams,,78-103,,
2:33.0,K. O'Quinn makes free throw 1 of 2,1,79-103,,
2:33.0,K. O'Quinn makes free throw 2 of 2,1,80-103,,
2:21.0,,,80-103,,J. Ingles misses 3-pt shot from 24 ft
2:20.0,,,80-103,,Offensive rebound by J. Withey
2:19.0,,,80-103,,J. Withey misses 2-pt shot from 1 ft (block by K. O'Quinn)
2:19.0,,,80-103,,Offensive rebound by Team
2:06.0,,,80-103,,T. Lyles misses 2-pt shot from 16 ft
2:06.0,Defensive rebound by K. O'Quinn,,80-103,,
1:49.0,K. O'Quinn misses 3-pt shot from 24 ft,,80-103,,
1:47.0,,,80-103,,Defensive rebound by T. Lyles
1:31.0,,,80-103,,T. Lyles misses 2-pt shot from 3 ft
1:29.0,,,80-103,,Offensive rebound by J. Withey
1:23.0,,,80-103,,Turnover by R. Neto (bad pass; steal by L. Amundson)
1:21.0,Offensive foul by J. Grant,,80-103,,
1:21.0,Turnover by J. Grant (offensive foul),,80-103,,
1:11.0,Personal foul by K. O'Quinn (drawn by T. Lyles),,80-103,,
1:11.0,,,80-104,1,T. Lyles makes free throw 1 of 2
1:11.0,,,80-105,1,T. Lyles makes free throw 2 of 2
0:57.0,L. Galloway makes 2-pt shot from 20 ft (assist by L. Amundson),2,82-105,,
0:43.0,,,82-105,,Turnover by J. Ingles (bad pass; steal by K. O'Quinn)
0:38.0,Shooting foul by J. Ingles (drawn by L. Amundson),,82-105,,
0:38.0,L. Amundson misses free throw 1 of 2,,82-105,,
0:38.0,Offensive rebound by Team,,82-105,,
0:38.0,L. Amundson misses free throw 2 of 2,,82-105,,
0:37.0,,,82-105,,Defensive rebound by Team
0:29.0,,,82-105,,Turnover by R. Neto (bad pass; steal by S. Vujacic)
0:25.0,Turnover by S. Vujacic (bad pass; steal by R. Neto),,82-105,,
0:18.0,Personal foul by L. Amundson,,82-105,,
0:18.0,,,82-106,1,J. Ingles makes free throw 1 of 2
0:18.0,,,82-106,,J. Ingles misses free throw 2 of 2
0:17.0,Defensive rebound by K. O'Quinn,,82-106,,
0:07.0,J. Grant makes 3-pt shot from 24 ft,3,85-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
