time,Detroit,pts.away,score,pts.home,Golden State
2:49.0,Defensive rebound by A. Drummond,,63-74,,
2:38.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by R. Jackson),3,66-74,,
2:21.0,,,66-74,,D. Green misses 2-pt shot from 19 ft
2:21.0,Defensive rebound by S. Johnson,,66-74,,
2:14.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,66-74,,
2:13.0,Offensive rebound by A. Drummond,,66-74,,
2:11.0,A. Drummond makes 2-pt shot from 4 ft,2,68-74,,
1:52.0,,,68-74,,S. Curry misses 2-pt shot from 2 ft
1:50.0,,,68-74,,Offensive rebound by A. Bogut
1:50.0,,,68-74,,A. Bogut misses 2-pt shot at rim
1:49.0,,,68-74,,Offensive rebound by A. Bogut
1:49.0,,,68-76,2,A. Bogut makes 2-pt shot at rim
1:31.0,R. Jackson makes 2-pt shot from 1 ft,2,70-76,,
1:04.0,,,70-76,,S. Curry misses 2-pt shot from 18 ft
1:03.0,,,70-76,,Offensive rebound by A. Bogut
1:03.0,,,70-76,,A. Bogut misses 2-pt shot at rim
1:01.0,Defensive rebound by S. Johnson,,70-76,,
1:01.0,,,70-76,,Personal take foul by A. Bogut (drawn by S. Johnson)
1:01.0,R. Jackson makes free throw 1 of 2,1,71-76,,
1:01.0,,,71-76,,J. McAdoo enters the game for D. Green
1:01.0,A. Tolliver enters the game for M. Morris,,71-76,,
1:01.0,R. Jackson makes free throw 2 of 2,1,72-76,,
0:49.0,,,72-78,2,A. Bogut makes 2-pt shot from 1 ft (assist by J. McAdoo)
0:35.0,,,72-78,,Personal foul by S. Livingston (drawn by R. Jackson)
0:35.0,R. Jackson makes free throw 1 of 2,1,73-78,,
0:35.0,R. Jackson makes free throw 2 of 2,1,74-78,,
0:16.0,,,74-80,2,S. Curry makes 2-pt shot from 1 ft
0:00.0,R. Jackson makes 2-pt shot from 2 ft,2,76-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,76-80,,L. Barbosa misses 2-pt shot from 6 ft
11:40.0,Defensive rebound by A. Tolliver,,76-80,,
11:31.0,,,76-80,,Personal foul by A. Bogut (drawn by A. Baynes)
11:14.0,A. Tolliver misses 3-pt shot from 25 ft,,76-80,,
11:13.0,Offensive rebound by S. Johnson,,76-80,,
11:03.0,Turnover by M. Morris (step out of bounds),,76-80,,
10:43.0,,,76-80,,Turnover by S. Livingston (lost ball)
10:22.0,S. Johnson misses 2-pt shot from 14 ft,,76-80,,
10:21.0,,,76-80,,Defensive rebound by A. Bogut
10:09.0,,,76-80,,L. Barbosa misses 2-pt shot from 2 ft
10:09.0,Defensive rebound by S. Johnson,,76-80,,
9:55.0,Turnover by S. Blake (bad pass; steal by S. Livingston),,76-80,,
9:50.0,,,76-82,2,A. Iguodala makes 2-pt shot at rim (assist by S. Livingston)
9:33.0,M. Morris makes 2-pt shot from 18 ft,2,78-82,,
9:08.0,,,78-85,3,H. Barnes makes 3-pt shot from 24 ft (assist by A. Iguodala)
8:50.0,,,78-85,,Personal foul by L. Barbosa (drawn by M. Morris)
8:50.0,Official timeout,,78-85,,
8:43.0,,,78-85,,Personal foul by H. Barnes (drawn by M. Morris)
8:28.0,S. Johnson misses 3-pt shot from 31 ft,,78-85,,
8:28.0,,,78-85,,Defensive rebound by Team
8:13.0,,,78-87,2,L. Barbosa makes 2-pt shot from 5 ft
7:52.0,A. Tolliver misses 2-pt shot from 16 ft,,78-87,,
7:51.0,,,78-87,,Defensive rebound by A. Iguodala
7:36.0,,,78-90,3,L. Barbosa makes 3-pt shot from 26 ft (assist by H. Barnes)
7:24.0,Turnover by S. Blake (lost ball; steal by L. Barbosa),,78-90,,
7:19.0,,,78-92,2,S. Livingston makes 2-pt shot from 1 ft (assist by L. Barbosa)
7:15.0,Detroit full timeout,,78-92,,
7:15.0,,,78-92,,K. Thompson enters the game for A. Iguodala
7:15.0,A. Drummond enters the game for A. Tolliver,,78-92,,
7:15.0,K. Caldwell-Pope enters the game for S. Blake,,78-92,,
7:15.0,R. Jackson enters the game for A. Baynes,,78-92,,
7:03.0,R. Jackson misses 2-pt shot from 7 ft,,78-92,,
7:02.0,Offensive rebound by A. Drummond,,78-92,,
7:02.0,A. Drummond makes 2-pt shot at rim,2,80-92,,
6:50.0,,,80-94,2,L. Barbosa makes 2-pt shot from 16 ft
6:31.0,S. Johnson makes 2-pt shot from 2 ft (assist by R. Jackson),2,82-94,,
6:09.0,,,82-96,2,K. Thompson makes 2-pt shot from 12 ft (assist by A. Bogut)
5:54.0,R. Jackson misses 3-pt shot from 25 ft,,82-96,,
5:54.0,,,82-96,,Defensive rebound by A. Bogut
5:47.0,,,82-98,2,H. Barnes makes 2-pt shot from 1 ft (assist by L. Barbosa)
5:20.0,A. Drummond misses 2-pt shot from 11 ft,,82-98,,
5:19.0,Offensive rebound by S. Johnson,,82-98,,
5:17.0,S. Johnson misses 2-pt shot from 5 ft,,82-98,,
5:17.0,,,82-98,,Defensive rebound by Team
5:17.0,Loose ball foul by A. Drummond (drawn by A. Bogut),,82-98,,
5:17.0,,,82-98,,D. Green enters the game for H. Barnes
5:17.0,,,82-98,,S. Curry enters the game for L. Barbosa
5:07.0,,,82-98,,K. Thompson misses 2-pt shot from 22 ft
5:07.0,Defensive rebound by R. Jackson,,82-98,,
4:59.0,,,82-98,,Personal foul by S. Livingston (drawn by R. Jackson)
4:51.0,Turnover by R. Jackson (lost ball; steal by D. Green),,82-98,,
4:33.0,Personal foul by K. Caldwell-Pope (drawn by S. Curry),,82-98,,
4:33.0,,,82-98,,F. Ezeli enters the game for A. Bogut
4:33.0,,,82-98,,A. Iguodala enters the game for S. Livingston
4:33.0,S. Blake enters the game for R. Jackson,,82-98,,
4:27.0,,,82-98,,F. Ezeli misses 2-pt shot from 3 ft (block by A. Drummond)
4:24.0,Defensive rebound by A. Drummond,,82-98,,
4:16.0,A. Drummond misses 2-pt shot from 2 ft (block by F. Ezeli),,82-98,,
4:15.0,Offensive rebound by A. Drummond,,82-98,,
4:12.0,A. Drummond makes 2-pt shot from 4 ft,2,84-98,,
4:01.0,,,84-101,3,S. Curry makes 3-pt shot from 25 ft
3:59.0,Technical foul by Team,,84-101,,
3:59.0,,,84-102,1,S. Curry makes technical free throw
3:51.0,Turnover by S. Blake (bad pass),,84-102,,
3:44.0,,,84-102,,F. Ezeli misses 2-pt shot from 4 ft
3:43.0,Defensive rebound by S. Blake,,84-102,,
3:33.0,Shooting foul by F. Ezeli (drawn by K. Caldwell-Pope),,84-102,,
3:33.0,K. Caldwell-Pope makes free throw 1 of 2,1,85-102,,
3:33.0,K. Caldwell-Pope makes free throw 2 of 2,1,86-102,,
