time,Utah,pts.away,score,pts.home,Boston
6:13.0,,,81-83,,Personal foul by T. Zeller (drawn by R. Gobert)
6:13.0,,,81-83,,I. Thomas enters the game for E. Turner
6:13.0,,,81-83,,J. Sullinger enters the game for J. Jerebko
6:00.0,Shooting foul by M. Smart (drawn by R. Gobert),,81-83,,
6:00.0,R. Gobert makes free throw 1 of 2,1,82-83,,
6:00.0,R. Neto enters the game for S. Mack,,82-83,,
6:00.0,R. Gobert makes free throw 2 of 2,1,83-83,,
5:46.0,,,83-83,,M. Smart misses 2-pt shot from 9 ft
5:45.0,Defensive rebound by R. Gobert,,83-83,,
5:21.0,R. Hood makes 2-pt shot from 8 ft,2,85-83,,
5:16.0,,,85-83,,Boston full timeout
5:16.0,,,85-83,,A. Johnson enters the game for T. Zeller
5:16.0,,,85-83,,J. Crowder enters the game for M. Smart
5:06.0,,,85-85,2,J. Sullinger makes 2-pt shot from 7 ft (assist by I. Thomas)
4:49.0,R. Hood misses 3-pt shot from 25 ft,,85-85,,
4:49.0,Offensive rebound by R. Gobert,,85-85,,
4:48.0,,,85-85,,Shooting block foul by A. Johnson (drawn by R. Gobert)
4:48.0,R. Gobert makes free throw 1 of 2,1,86-85,,
4:48.0,,,86-85,,E. Turner enters the game for A. Johnson
4:48.0,S. Mack enters the game for R. Neto,,86-85,,
4:48.0,R. Gobert makes free throw 2 of 2,1,87-85,,
4:36.0,,,87-87,2,J. Sullinger makes 2-pt shot from 20 ft (assist by I. Thomas)
4:20.0,Shooting foul by J. Sullinger (drawn by G. Hayward),,87-87,,
4:20.0,G. Hayward makes free throw 1 of 2,1,88-87,,
4:20.0,G. Hayward misses free throw 2 of 2,,88-87,,
4:20.0,,,88-87,,Defensive rebound by E. Turner
4:08.0,,,88-89,2,I. Thomas makes 2-pt shot at rim
3:42.0,S. Mack makes 2-pt shot at rim (assist by R. Hood),2,90-89,,
3:30.0,,,90-89,,J. Sullinger misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by D. Favors,,90-89,,
3:09.0,D. Favors misses 2-pt shot from 6 ft,,90-89,,
3:08.0,,,90-89,,Defensive rebound by J. Sullinger
3:02.0,,,90-91,2,J. Crowder makes 2-pt shot at rim (assist by I. Thomas)
2:38.0,Shooting foul by J. Sullinger (drawn by R. Gobert),,90-91,,
2:38.0,Official timeout,,90-91,,
2:38.0,R. Gobert misses free throw 1 of 2,,90-91,,
2:38.0,Offensive rebound by Team,,90-91,,
2:38.0,R. Gobert misses free throw 2 of 2,,90-91,,
2:38.0,,,90-91,,Defensive rebound by J. Sullinger
2:15.0,,,90-91,,I. Thomas misses 2-pt shot from 1 ft
2:14.0,Defensive rebound by D. Favors,,90-91,,
2:00.0,S. Mack makes 2-pt shot from 7 ft,2,92-91,,
1:42.0,,,92-93,2,A. Bradley makes 2-pt shot from 18 ft (assist by J. Sullinger)
1:27.0,R. Gobert misses 2-pt shot from 1 ft (block by J. Sullinger),,92-93,,
1:26.0,,,92-93,,Defensive rebound by J. Sullinger
1:10.0,,,92-93,,Turnover by I. Thomas (bad pass)
1:10.0,,,92-93,,M. Smart enters the game for I. Thomas
0:50.0,S. Mack makes 3-pt shot from 24 ft (assist by R. Hood),3,95-93,,
0:50.0,,,95-93,,Boston full timeout
0:50.0,,,95-93,,I. Thomas enters the game for M. Smart
0:46.0,Personal foul by R. Gobert (drawn by I. Thomas),,95-93,,
0:30.0,,,95-96,3,J. Crowder makes 3-pt shot from 24 ft (assist by I. Thomas)
0:30.0,Utah full timeout,,95-96,,
0:30.0,,,95-96,,A. Johnson enters the game for I. Thomas
0:30.0,,,95-96,,M. Smart enters the game for E. Turner
0:21.0,G. Hayward misses 2-pt shot from 18 ft (block by A. Bradley),,95-96,,
0:20.0,,,95-96,,Defensive rebound by J. Crowder
0:16.0,Personal block foul by R. Hood (drawn by A. Bradley),,95-96,,
0:16.0,,,95-97,1,A. Bradley makes free throw 1 of 2
0:16.0,,,95-97,,A. Bradley misses free throw 2 of 2
0:16.0,,,95-97,,Offensive rebound by A. Johnson
0:13.0,Personal take foul by S. Mack (drawn by A. Bradley),,95-97,,
0:13.0,,,95-98,1,A. Bradley makes free throw 1 of 2
0:13.0,,,95-99,1,A. Bradley makes free throw 2 of 2
0:13.0,Utah full timeout,,95-99,,
0:13.0,,,95-99,,E. Turner enters the game for J. Sullinger
0:13.0,J. Ingles enters the game for R. Gobert,,95-99,,
0:07.0,R. Hood misses 3-pt shot from 26 ft,,95-99,,
0:06.0,,,95-99,,Defensive rebound by A. Johnson
0:04.0,Personal take foul by D. Favors (drawn by A. Johnson),,95-99,,
0:04.0,,,95-99,,A. Johnson misses free throw 1 of 2
0:04.0,,,95-99,,Offensive rebound by Team
0:04.0,R. Gobert enters the game for J. Ingles,,95-99,,
0:04.0,,,95-100,1,A. Johnson makes free throw 2 of 2
0:04.0,Utah full timeout,,95-100,,
0:02.0,R. Hood misses 3-pt shot from 25 ft,,95-100,,
0:00.0,Offensive rebound by Team,,95-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
