time,Toronto,pts.away,score,pts.home,LA Clippers
3:57.0,,,79-69,,Personal foul by J. Redick (drawn by D. DeRozan)
3:57.0,D. DeRozan makes free throw 1 of 2,1,80-69,,
3:57.0,D. DeRozan makes free throw 2 of 2,1,81-69,,
3:51.0,,,81-69,,Offensive foul by J. Redick
3:51.0,,,81-69,,Turnover by J. Redick (offensive foul)
3:51.0,C. Joseph enters the game for B. Biyombo,,81-69,,
3:40.0,Offensive foul by K. Lowry,,81-69,,
3:40.0,Turnover by K. Lowry (offensive foul),,81-69,,
3:30.0,,,81-71,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
3:03.0,C. Joseph makes 2-pt shot from 2 ft,2,83-71,,
2:42.0,,,83-71,,J. Redick misses 2-pt shot from 17 ft
2:41.0,Defensive rebound by D. DeRozan,,83-71,,
2:29.0,Turnover by D. DeRozan (bad pass; steal by J. Crawford),,83-71,,
2:21.0,,,83-73,2,C. Paul makes 2-pt shot from 1 ft (assist by B. Griffin)
2:20.0,Toronto full timeout,,83-73,,
1:58.0,L. Scola makes 2-pt shot from 4 ft (assist by K. Lowry),2,85-73,,
1:43.0,,,85-75,2,B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul)
1:28.0,L. Scola misses 2-pt shot from 18 ft,,85-75,,
1:28.0,,,85-75,,Defensive rebound by D. Jordan
1:19.0,,,85-77,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
1:00.0,Shooting foul by D. Jordan (drawn by K. Lowry),,85-77,,
1:00.0,K. Lowry makes free throw 1 of 2,1,86-77,,
1:00.0,B. Biyombo enters the game for C. Joseph,,86-77,,
1:00.0,K. Lowry makes free throw 2 of 2,1,87-77,,
1:00.0,,,87-77,,LA Clippers full timeout
0:53.0,,,87-77,,J. Redick misses 2-pt shot from 20 ft
0:52.0,Defensive rebound by D. DeRozan,,87-77,,
0:44.0,Turnover by D. DeRozan (step out of bounds),,87-77,,
0:37.0,,,87-77,,J. Crawford misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by L. Scola,,87-77,,
0:34.0,Turnover by L. Scola (lost ball; steal by C. Paul),,87-77,,
0:31.0,,,87-77,,C. Paul misses 3-pt shot from 23 ft
0:31.0,Defensive rebound by L. Scola,,87-77,,
0:31.0,,,87-77,,Personal take foul by C. Paul (drawn by L. Scola)
0:31.0,L. Scola makes free throw 1 of 2,1,88-77,,
0:31.0,L. Scola makes free throw 2 of 2,1,89-77,,
0:26.0,,,89-80,3,B. Griffin makes 3-pt shot from 26 ft (assist by C. Paul)
0:26.0,Toronto full timeout,,89-80,,
0:26.0,C. Joseph enters the game for B. Biyombo,,89-80,,
0:26.0,,,89-80,,A. Rivers enters the game for D. Jordan
0:24.0,,,89-80,,Personal foul by A. Rivers (drawn by K. Lowry)
0:24.0,K. Lowry makes free throw 1 of 2,1,90-80,,
0:24.0,K. Lowry makes free throw 2 of 2,1,91-80,,
0:16.0,,,91-80,,B. Griffin misses 3-pt shot from 25 ft
0:16.0,,,91-80,,Offensive rebound by J. Redick
0:12.0,,,91-80,,J. Crawford misses 3-pt shot from 26 ft
0:12.0,Defensive rebound by Team,,91-80,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
