time,Dallas,pts.away,score,pts.home,Chicago
0:21.0,D. Williams misses 2-pt shot from 1 ft,,81-77,,
0:20.0,,,81-77,,Defensive rebound by T. Gibson
0:12.0,,,81-77,,J. Butler misses 3-pt shot from 24 ft
0:11.0,Defensive rebound by D. Williams,,81-77,,
0:11.0,,,81-77,,Personal block foul by P. Gasol (drawn by D. Williams)
0:11.0,D. Williams makes free throw 1 of 2,1,82-77,,
0:11.0,D. Williams makes free throw 2 of 2,1,83-77,,
0:11.0,,,83-77,,Chicago full timeout
0:11.0,,,83-77,,D. McDermott enters the game for E. Moore
0:11.0,,,83-77,,N. Mirotic enters the game for T. Gibson
0:11.0,D. Harris enters the game for D. Nowitzki,,83-77,,
0:06.0,,,83-77,,J. Butler misses 3-pt shot from 24 ft
0:05.0,Defensive rebound by W. Matthews,,83-77,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
