time,LA Lakers,pts.away,score,pts.home,Utah
1:38.0,,,71-121,3,T. Lyles makes 3-pt shot from 24 ft (assist by T. Burke)
1:26.0,J. Clarkson misses 2-pt shot from 16 ft,,71-121,,
1:25.0,Offensive rebound by R. Sacre,,71-121,,
1:24.0,Shooting foul by T. Lyles (drawn by R. Sacre),,71-121,,
1:24.0,R. Sacre misses free throw 1 of 2,,71-121,,
1:24.0,Offensive rebound by Team,,71-121,,
1:24.0,R. Sacre makes free throw 2 of 2,1,72-121,,
1:14.0,Personal foul by T. Black,,72-121,,
1:02.0,,,72-121,,Turnover by T. Lyles (lost ball; steal by T. Black)
0:58.0,D. Russell makes 3-pt shot from 24 ft (assist by J. Clarkson),3,75-121,,
0:40.0,,,75-123,2,R. Neto makes 2-pt shot from 7 ft
0:29.0,R. Sacre misses 2-pt shot from 7 ft,,75-123,,
0:29.0,,,75-123,,Defensive rebound by C. Johnson
0:08.0,,,75-123,,T. Burke misses 3-pt shot from 24 ft
0:07.0,Defensive rebound by J. Clarkson,,75-123,,
0:00.0,M. Huertas misses 3-pt shot from 24 ft,,75-123,,
0:00.0,Offensive rebound by Team,,75-123,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
