time,Detroit,pts.away,score,pts.home,Orlando
2:42.0,M. Morris misses free throw 2 of 2,,44-45,,
2:41.0,,,44-45,,Defensive rebound by J. Smith
2:27.0,,,44-45,,Offensive foul by V. Oladipo
2:27.0,,,44-45,,Turnover by V. Oladipo (offensive foul)
2:14.0,R. Jackson misses 2-pt shot from 8 ft,,44-45,,
2:13.0,,,44-45,,Defensive rebound by J. Smith
2:02.0,,,44-47,2,A. Nicholson makes 2-pt shot from 9 ft (assist by E. Payton)
1:44.0,Turnover by M. Morris (lost ball; steal by A. Nicholson),,44-47,,
1:25.0,,,44-47,,A. Gordon misses 2-pt shot from 12 ft
1:24.0,,,44-47,,Offensive rebound by J. Smith
1:24.0,,,44-47,,J. Smith misses 2-pt shot at rim
1:22.0,Defensive rebound by A. Drummond,,44-47,,
1:10.0,R. Jackson misses 2-pt shot from 1 ft (block by J. Smith),,44-47,,
1:09.0,,,44-47,,Defensive rebound by J. Smith
1:03.0,,,44-47,,V. Oladipo misses 2-pt shot from 15 ft
1:03.0,Defensive rebound by A. Drummond,,44-47,,
0:51.0,M. Morris misses 2-pt shot from 19 ft,,44-47,,
0:51.0,,,44-47,,Defensive rebound by J. Smith
0:40.0,,,44-47,,E. Payton misses 2-pt shot from 11 ft
0:39.0,,,44-47,,Offensive rebound by E. Payton
0:39.0,,,44-49,2,E. Payton makes 2-pt shot at rim
0:27.0,A. Tolliver misses 3-pt shot from 23 ft,,44-49,,
0:26.0,,,44-49,,Defensive rebound by J. Smith
0:03.0,,,44-51,2,V. Oladipo makes 2-pt shot from 1 ft
0:03.0,,,44-51,,Shooting foul by K. Caldwell-Pope (drawn by V. Oladipo)
0:03.0,,,44-51,,V. Oladipo misses free throw 1 of 1
0:02.0,,,44-51,,Offensive rebound by J. Smith
0:00.0,,,44-51,,E. Payton misses 2-pt shot from 18 ft
0:00.0,,,44-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,44-51,,Turnover by E. Fournier (traveling)
