time,Detroit,pts.away,score,pts.home,Philadelphia
3:21.0,,,114-102,,I. Smith misses 2-pt shot from 1 ft
3:19.0,,,114-102,,Offensive rebound by N. Noel
3:19.0,,,114-102,,N. Noel misses 2-pt shot from 2 ft
3:17.0,Defensive rebound by A. Drummond,,114-102,,
2:59.0,Shooting foul by N. Noel (drawn by T. Harris),,114-102,,
2:59.0,T. Harris makes free throw 1 of 2,1,115-102,,
2:59.0,T. Harris makes free throw 2 of 2,1,116-102,,
2:41.0,,,116-104,2,N. Stauskas makes 2-pt shot at rim
2:41.0,Violation by T. Harris (def goaltending),,116-104,,
2:22.0,K. Caldwell-Pope misses 2-pt shot from 2 ft (block by N. Noel),,116-104,,
2:22.0,,,116-104,,Defensive rebound by H. Thompson
2:14.0,,,116-104,,Turnover by I. Smith (lost ball; steal by R. Jackson)
2:10.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by R. Jackson),2,118-104,,
2:10.0,,,118-104,,Philadelphia full timeout
1:52.0,,,118-104,,Turnover by I. Smith (bad pass)
1:52.0,,,118-104,,T. McConnell enters the game for I. Smith
1:34.0,Turnover by T. Harris (lost ball; steal by T. McConnell),,118-104,,
1:30.0,,,118-107,3,I. Canaan makes 3-pt shot from 26 ft (assist by T. McConnell)
1:10.0,M. Morris makes 3-pt shot from 24 ft (assist by R. Jackson),3,121-107,,
1:05.0,,,121-107,,Shooting foul by R. Jackson (drawn by I. Canaan)
1:05.0,,,121-108,1,I. Canaan makes free throw 1 of 2
1:05.0,,,121-109,1,I. Canaan makes free throw 2 of 2
0:43.0,A. Drummond makes 2-pt shot from 1 ft (assist by M. Morris),2,123-109,,
0:34.0,,,123-109,,N. Stauskas misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by A. Drummond,,123-109,,
0:16.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,123-109,,
0:16.0,Offensive rebound by A. Drummond,,123-109,,
0:16.0,A. Drummond makes 2-pt shot at rim,2,125-109,,
0:03.0,,,125-111,2,N. Noel makes 2-pt shot from 14 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
