time,Cleveland,pts.away,score,pts.home,Milwaukee
4:48.0,R. Jefferson enters the game for J. Smith,,55-64,,
4:39.0,,,55-64,,Turnover by G. Monroe (kicked ball)
4:20.0,R. Jefferson misses 2-pt shot from 19 ft (block by M. Carter-Williams),,55-64,,
4:18.0,Offensive rebound by R. Jefferson,,55-64,,
4:15.0,R. Jefferson misses 2-pt shot from 1 ft,,55-64,,
4:15.0,Offensive rebound by Team,,55-64,,
4:15.0,,,55-64,,J. Henson enters the game for J. Parker
4:10.0,K. Love misses 3-pt shot from 26 ft,,55-64,,
4:08.0,,,55-64,,Defensive rebound by G. Antetokounmpo
3:54.0,,,55-64,,Turnover by G. Antetokounmpo (bad pass; steal by K. Love)
3:47.0,L. James makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,58-64,,
3:44.0,,,58-64,,Milwaukee full timeout
3:44.0,J. Jones enters the game for K. Love,,58-64,,
3:44.0,,,58-64,,J. Bayless enters the game for G. Antetokounmpo
3:31.0,,,58-64,,Turnover by M. Carter-Williams (bad pass; steal by M. Dellavedova)
3:31.0,,,58-64,,Personal foul by M. Carter-Williams (drawn by M. Dellavedova)
3:25.0,Turnover by M. Dellavedova (bad pass),,58-64,,
3:13.0,,,58-66,2,K. Middleton makes 2-pt shot from 16 ft (assist by J. Bayless)
2:49.0,L. James makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,61-66,,
2:37.0,Personal foul by R. Jefferson (drawn by M. Carter-Williams),,61-66,,
2:37.0,,,61-66,,M. Carter-Williams misses free throw 1 of 2
2:37.0,,,61-66,,Offensive rebound by Team
2:37.0,,,61-66,,G. Vasquez enters the game for G. Monroe
2:37.0,,,61-67,1,M. Carter-Williams makes free throw 2 of 2
2:23.0,,,61-67,,Personal foul by K. Middleton (drawn by J. Jones)
2:11.0,M. Dellavedova misses 2-pt shot at rim,,61-67,,
2:09.0,,,61-67,,Defensive rebound by J. Henson
2:00.0,,,61-70,3,G. Vasquez makes 3-pt shot from 25 ft (assist by J. Bayless)
1:40.0,L. James misses 3-pt shot from 26 ft,,61-70,,
1:37.0,,,61-70,,Defensive rebound by Team
1:37.0,J. Smith enters the game for L. James,,61-70,,
1:21.0,,,61-70,,K. Middleton misses 2-pt shot from 8 ft
1:19.0,Defensive rebound by T. Thompson,,61-70,,
1:04.0,J. Smith misses 2-pt shot from 9 ft (block by J. Henson),,61-70,,
1:01.0,,,61-70,,Defensive rebound by J. Bayless
0:57.0,,,61-70,,K. Middleton misses 2-pt shot from 12 ft
0:56.0,Defensive rebound by M. Dellavedova,,61-70,,
0:38.0,J. Smith misses 2-pt shot from 19 ft,,61-70,,
0:36.0,,,61-70,,Defensive rebound by K. Middleton
0:20.0,,,61-70,,Turnover by G. Vasquez (bad pass; steal by R. Jefferson)
0:01.0,Turnover by M. Dellavedova (bad pass; steal by J. Henson),,61-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,J. Smith makes 2-pt shot from 11 ft,2,63-70,,
11:13.0,,,63-72,2,J. Bayless makes 2-pt shot from 1 ft
11:03.0,R. Jefferson makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,66-72,,
10:50.0,Violation by J. Cunningham (kicked ball),,66-72,,
10:46.0,,,66-72,,Shooting foul by J. Cunningham (drawn by G. Vasquez)
10:46.0,,,66-72,,G. Vasquez misses free throw 1 of 2
10:46.0,,,66-72,,Offensive rebound by Team
10:46.0,,,66-73,1,G. Vasquez makes free throw 2 of 2
10:31.0,R. Jefferson makes 2-pt shot from 21 ft,2,68-73,,
10:16.0,,,68-73,,J. Parker misses 2-pt shot from 4 ft
10:15.0,,,68-73,,Offensive rebound by J. Henson
10:15.0,,,68-73,,J. Henson misses 2-pt shot from 1 ft
10:13.0,Defensive rebound by T. Thompson,,68-73,,
10:07.0,R. Jefferson makes 3-pt shot from 22 ft (assist by M. Dellavedova),3,71-73,,
9:45.0,,,71-73,,G. Vasquez misses 3-pt shot from 27 ft
9:44.0,Defensive rebound by T. Thompson,,71-73,,
9:31.0,J. Smith misses 2-pt shot from 17 ft,,71-73,,
9:31.0,,,71-73,,Defensive rebound by Team
9:31.0,Loose ball foul by T. Thompson (drawn by J. Henson),,71-73,,
9:15.0,,,71-75,2,J. Parker makes 2-pt shot from 1 ft
9:03.0,Offensive foul by J. Smith,,71-75,,
9:03.0,Turnover by J. Smith (offensive foul),,71-75,,
8:40.0,,,71-77,2,J. Henson makes 2-pt shot at rim (assist by J. Parker)
8:37.0,Cleveland full timeout,,71-77,,
8:37.0,K. Love enters the game for J. Smith,,71-77,,
8:37.0,L. James enters the game for T. Thompson,,71-77,,
8:37.0,J. Smith enters the game for J. Cunningham,,71-77,,
8:27.0,L. James misses 2-pt shot from 3 ft (block by G. Antetokounmpo),,71-77,,
8:24.0,,,71-77,,Defensive rebound by J. Henson
8:10.0,,,71-80,3,J. Bayless makes 3-pt shot from 25 ft (assist by G. Vasquez)
7:42.0,L. James misses 2-pt shot from 16 ft,,71-80,,
7:41.0,,,71-80,,Defensive rebound by G. Vasquez
7:21.0,,,71-80,,J. Bayless misses 3-pt shot from 27 ft
7:20.0,Defensive rebound by K. Love,,71-80,,
7:06.0,,,71-80,,Personal foul by G. Antetokounmpo (drawn by K. Love)
6:50.0,J. Smith misses 3-pt shot from 26 ft,,71-80,,
6:49.0,,,71-80,,Defensive rebound by G. Antetokounmpo
6:33.0,,,71-82,2,J. Henson makes 2-pt shot from 5 ft (assist by G. Vasquez)
6:18.0,R. Jefferson makes 2-pt shot from 1 ft,2,73-82,,
6:18.0,Shooting foul by J. Henson (drawn by R. Jefferson),,73-82,,
6:18.0,R. Jefferson misses free throw 1 of 1,,73-82,,
6:15.0,,,73-82,,Defensive rebound by G. Antetokounmpo
