time,Orlando,pts.away,score,pts.home,Cleveland
2:48.0,,,72-95,,A. Varejao misses 2-pt shot from 15 ft
2:48.0,Defensive rebound by M. Hezonja,,72-95,,
2:37.0,M. Hezonja makes 3-pt shot from 25 ft,3,75-95,,
2:11.0,,,75-97,2,J. Jones makes 2-pt shot from 22 ft (assist by A. Varejao)
1:54.0,M. Hezonja misses 2-pt shot from 2 ft,,75-97,,
1:53.0,,,75-97,,Defensive rebound by M. Williams
1:50.0,,,75-97,,R. Jefferson misses 2-pt shot at rim
1:49.0,Defensive rebound by S. Napier,,75-97,,
1:49.0,,,75-97,,Personal foul by R. Jefferson (drawn by S. Napier)
1:49.0,Orlando full timeout,,75-97,,
1:49.0,S. Napier makes free throw 1 of 2,1,76-97,,
1:49.0,S. Napier makes free throw 2 of 2,1,77-97,,
1:35.0,,,77-99,2,M. Williams makes 2-pt shot from 18 ft
1:22.0,D. Dedmon misses 2-pt shot from 4 ft,,77-99,,
1:22.0,,,77-99,,Defensive rebound by A. Varejao
1:14.0,,,77-99,,J. Jones misses 3-pt shot from 25 ft
1:13.0,,,77-99,,Offensive rebound by J. Jones
1:11.0,,,77-102,3,J. Jones makes 3-pt shot from 24 ft
1:01.0,A. Gordon misses 2-pt shot from 18 ft,,77-102,,
1:01.0,,,77-102,,Defensive rebound by A. Varejao
0:49.0,,,77-102,,M. Williams misses 3-pt shot from 25 ft
0:49.0,,,77-102,,Offensive rebound by J. Jones
0:40.0,,,77-104,2,J. Cunningham makes 2-pt shot at rim (assist by M. Williams)
0:32.0,A. Gordon makes 2-pt shot at rim,2,79-104,,
0:08.0,,,79-104,,Turnover by Team (shot clock)
0:03.0,M. Hezonja misses 3-pt shot from 29 ft,,79-104,,
0:02.0,,,79-104,,Defensive rebound by J. Cunningham
0:00.0,End of 4th quarter,,,,End of 4th quarter
