time,Portland,pts.away,score,pts.home,Milwaukee
3:39.0,,,79-75,,Milwaukee full timeout
3:39.0,,,79-75,,G. Antetokounmpo enters the game for J. Parker
3:39.0,,,79-75,,G. Monroe enters the game for J. Henson
3:26.0,,,79-75,,Turnover by G. Monroe (bad pass; steal by A. Crabbe)
3:12.0,A. Aminu makes 2-pt shot at rim (assist by C. McCollum),2,81-75,,
3:12.0,Shooting foul by G. Antetokounmpo (drawn by A. Aminu),,81-75,,
3:12.0,A. Aminu misses free throw 1 of 1,,81-75,,
3:11.0,,,81-75,,Defensive rebound by G. Monroe
2:57.0,Personal foul by A. Crabbe (drawn by G. Antetokounmpo),,81-75,,
2:57.0,,,81-76,1,G. Antetokounmpo makes free throw 1 of 2
2:57.0,,,81-77,1,G. Antetokounmpo makes free throw 2 of 2
2:38.0,Shooting foul by M. Carter-Williams (drawn by C. McCollum),,81-77,,
2:38.0,C. McCollum misses free throw 1 of 2,,81-77,,
2:38.0,Offensive rebound by Team,,81-77,,
2:38.0,C. McCollum makes free throw 2 of 2,1,82-77,,
2:18.0,,,82-77,,K. Middleton misses 3-pt shot from 24 ft
2:16.0,Defensive rebound by E. Davis,,82-77,,
2:02.0,D. Lillard misses 3-pt shot from 26 ft,,82-77,,
2:00.0,,,82-77,,Defensive rebound by M. Carter-Williams
1:56.0,,,82-80,3,O. Mayo makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
1:36.0,C. McCollum misses 3-pt shot from 27 ft,,82-80,,
1:35.0,,,82-80,,Defensive rebound by G. Antetokounmpo
1:18.0,,,82-80,,G. Monroe misses 2-pt shot at rim (block by E. Davis)
1:16.0,Defensive rebound by E. Davis,,82-80,,
1:11.0,Shooting foul by K. Middleton (drawn by C. McCollum),,82-80,,
1:11.0,C. McCollum makes free throw 1 of 2,1,83-80,,
1:11.0,C. McCollum makes free throw 2 of 2,1,84-80,,
1:03.0,Personal foul by A. Aminu (drawn by G. Antetokounmpo),,84-80,,
1:03.0,,,84-81,1,G. Antetokounmpo makes free throw 1 of 2
1:03.0,,,84-82,1,G. Antetokounmpo makes free throw 2 of 2
0:47.0,D. Lillard misses 2-pt shot from 1 ft,,84-82,,
0:45.0,Offensive rebound by A. Aminu,,84-82,,
0:31.0,Shooting foul by M. Carter-Williams (drawn by C. McCollum),,84-82,,
0:31.0,C. McCollum makes free throw 1 of 2,1,85-82,,
0:31.0,C. McCollum makes free throw 2 of 2,1,86-82,,
0:31.0,,,86-82,,Milwaukee full timeout
0:24.0,,,86-84,2,G. Antetokounmpo makes 2-pt shot at rim
0:23.0,Portland full timeout,,86-84,,
0:23.0,,,86-84,,J. Parker enters the game for G. Monroe
0:23.0,,,86-84,,J. Henson enters the game for K. Middleton
0:23.0,M. Leonard enters the game for E. Davis,,86-84,,
0:22.0,,,86-84,,Personal take foul by O. Mayo (drawn by D. Lillard)
0:22.0,D. Lillard makes free throw 1 of 2,1,87-84,,
0:22.0,E. Davis enters the game for M. Leonard,,87-84,,
0:22.0,D. Lillard makes free throw 2 of 2,1,88-84,,
0:22.0,,,88-84,,Milwaukee full timeout
0:22.0,,,88-84,,G. Monroe enters the game for J. Parker
0:22.0,,,88-84,,K. Middleton enters the game for J. Henson
0:17.0,,,88-87,3,O. Mayo makes 3-pt shot from 26 ft (assist by K. Middleton)
0:17.0,Portland full timeout,,88-87,,
0:17.0,M. Leonard enters the game for E. Davis,,88-87,,
0:17.0,,,88-87,,J. Parker enters the game for G. Monroe
0:17.0,,,88-87,,J. Henson enters the game for K. Middleton
0:15.0,,,88-87,,G. Monroe enters the game for J. Parker
0:15.0,,,88-87,,K. Middleton enters the game for J. Henson
0:15.0,E. Davis enters the game for M. Leonard,,88-87,,
0:15.0,Turnover by C. McCollum (lost ball),,88-87,,
0:15.0,Jump ball: M. Carter-Williams vs. C. McCollum (G. Monroe gains possession),,,,Jump ball: M. Carter-Williams vs. C. McCollum (G. Monroe gains possession)
0:06.0,,,88-89,2,G. Monroe makes 2-pt shot at rim (assist by M. Carter-Williams)
0:05.0,Portland full timeout,,88-89,,
0:05.0,M. Leonard enters the game for A. Aminu,,88-89,,
0:05.0,M. Plumlee enters the game for A. Crabbe,,88-89,,
0:05.0,,,88-89,,J. Henson enters the game for G. Monroe
0:03.0,M. Leonard misses 2-pt shot from 5 ft (block by J. Henson),,88-89,,
0:01.0,,,88-89,,Defensive rebound by J. Henson
0:01.0,Personal foul by E. Davis (drawn by M. Carter-Williams),,88-89,,
0:01.0,,,88-90,1,M. Carter-Williams makes free throw 1 of 2
0:01.0,,,88-90,,M. Carter-Williams misses free throw 2 of 2
0:00.0,Defensive rebound by M. Leonard,,88-90,,
0:00.0,M. Leonard misses 3-pt shot from 78 ft,,88-90,,
0:00.0,Offensive rebound by Team,,88-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
