time,Sacramento,pts.away,score,pts.home,Atlanta
4:50.0,,,86-95,2,L. Patterson makes 2-pt shot from 20 ft (assist by P. Millsap)
4:38.0,,,86-95,,Personal foul by L. Patterson (drawn by R. Gay)
4:38.0,,,86-95,,A. Horford enters the game for T. Splitter
4:38.0,,,86-95,,T. Sefolosha enters the game for K. Korver
4:38.0,D. Collison enters the game for O. Casspi,,86-95,,
4:31.0,R. Rondo makes 2-pt shot from 18 ft,2,88-95,,
4:04.0,,,88-95,,P. Millsap misses 2-pt shot from 1 ft
4:02.0,Defensive rebound by R. Rondo,,88-95,,
3:51.0,Turnover by R. Rondo (turnover),,88-95,,
3:38.0,,,88-95,,Shooting foul by K. Koufos (drawn by A. Horford)
3:38.0,,,88-96,1,A. Horford makes free throw 1 of 2
3:38.0,,,88-97,1,A. Horford makes free throw 2 of 2
3:31.0,R. Rondo misses 2-pt shot from 10 ft,,88-97,,
3:28.0,,,88-97,,Defensive rebound by L. Patterson
3:19.0,,,88-97,,L. Patterson misses 3-pt shot from 23 ft
3:18.0,Defensive rebound by K. Koufos,,88-97,,
3:10.0,Turnover by R. Gay (lost ball; steal by P. Millsap),,88-97,,
3:10.0,Personal foul by R. Gay (drawn by P. Millsap),,88-97,,
3:10.0,M. Belinelli enters the game for K. Koufos,,88-97,,
2:49.0,,,88-99,2,L. Patterson makes 2-pt shot from 2 ft (assist by T. Sefolosha)
2:49.0,,,88-99,,Shooting foul by M. Belinelli (drawn by L. Patterson)
2:49.0,Official timeout,,88-99,,
2:49.0,,,88-99,,K. Korver enters the game for T. Sefolosha
2:49.0,,,88-99,,L. Patterson misses free throw 1 of 1
2:48.0,Defensive rebound by D. Cousins,,88-99,,
2:31.0,D. Cousins misses 2-pt shot from 1 ft (block by A. Horford),,88-99,,
2:31.0,Offensive rebound by D. Cousins,,88-99,,
2:31.0,,,88-99,,Personal foul by L. Patterson (drawn by D. Cousins)
2:24.0,R. Rondo makes 2-pt shot from 3 ft (assist by M. Belinelli),2,90-99,,
1:56.0,,,90-99,,D. Schroder misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by R. Rondo,,90-99,,
1:52.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,92-99,,
1:28.0,,,92-99,,A. Horford misses 2-pt shot from 16 ft
1:28.0,,,92-99,,Offensive rebound by Team
1:28.0,,,92-99,,Turnover by Team (shot clock)
1:28.0,,,92-99,,T. Sefolosha enters the game for L. Patterson
1:20.0,D. Cousins makes 2-pt shot from 18 ft (assist by R. Rondo),2,94-99,,
0:55.0,,,94-99,,Turnover by A. Horford (lost ball; steal by R. Gay)
0:52.0,Turnover by D. Collison (lost ball),,94-99,,
0:38.0,,,94-99,,D. Schroder misses 2-pt shot from 1 ft
0:36.0,Defensive rebound by R. Rondo,,94-99,,
0:32.0,D. Collison makes 3-pt shot from 25 ft (assist by R. Rondo),3,97-99,,
0:32.0,,,97-99,,Atlanta full timeout
0:16.0,,,97-101,2,P. Millsap makes 2-pt shot from 11 ft
0:16.0,Sacramento full timeout,,97-101,,
0:11.0,Turnover by M. Belinelli (bad pass; steal by T. Sefolosha),,97-101,,
0:10.0,Personal take foul by R. Rondo (drawn by T. Sefolosha),,97-101,,
0:10.0,,,97-102,1,T. Sefolosha makes free throw 1 of 2
0:10.0,,,97-103,1,T. Sefolosha makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
