time,Utah,pts.away,score,pts.home,Dallas
1:30.0,,,89-97,2,W. Matthews makes 2-pt shot from 6 ft (assist by D. Williams)
1:30.0,,,89-97,,Shooting foul by G. Hayward (drawn by W. Matthews)
1:30.0,,,89-98,1,W. Matthews makes free throw 1 of 1
1:18.0,R. Hood makes 2-pt shot from 19 ft,2,91-98,,
1:05.0,Personal block foul by R. Hood (drawn by D. Williams),,91-98,,
1:05.0,,,91-99,1,D. Williams makes free throw 1 of 2
1:05.0,,,91-100,1,D. Williams makes free throw 2 of 2
0:54.0,R. Hood misses 3-pt shot from 24 ft,,91-100,,
0:53.0,,,91-100,,Defensive rebound by D. Williams
0:36.0,,,91-102,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by D. Williams)
0:29.0,A. Burks misses 2-pt shot at rim (block by D. Nowitzki),,91-102,,
0:27.0,Offensive rebound by R. Hood,,91-102,,
0:22.0,G. Hayward makes 2-pt shot from 17 ft (assist by R. Hood),2,93-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
