time,Milwaukee,pts.away,score,pts.home,Portland
5:40.0,K. Middleton makes free throw 1 of 2,1,85-94,,
5:40.0,,,85-94,,D. Lillard enters the game for A. Crabbe
5:40.0,K. Middleton misses free throw 2 of 2,,85-94,,
5:38.0,,,85-94,,Defensive rebound by C. McCollum
5:16.0,,,85-94,,D. Lillard misses 3-pt shot from 24 ft
5:16.0,Defensive rebound by J. Bayless,,85-94,,
5:07.0,J. Bayless misses 2-pt shot from 6 ft,,85-94,,
5:06.0,,,85-94,,Defensive rebound by G. Henderson
4:56.0,,,85-96,2,G. Henderson makes 2-pt shot from 1 ft (assist by D. Lillard)
4:33.0,J. Bayless misses 3-pt shot from 24 ft,,85-96,,
4:32.0,,,85-96,,Defensive rebound by G. Henderson
4:26.0,,,85-96,,Shooting foul by J. Bayless (drawn by C. McCollum)
4:26.0,,,85-97,1,C. McCollum makes free throw 1 of 2
4:26.0,M. Carter-Williams enters the game for J. Bayless,,85-97,,
4:26.0,,,85-98,1,C. McCollum makes free throw 2 of 2
4:05.0,G. Monroe misses 2-pt shot from 2 ft,,85-98,,
4:04.0,,,85-98,,Defensive rebound by A. Aminu
4:00.0,,,85-98,,Turnover by A. Aminu (lost ball; steal by G. Antetokounmpo)
3:54.0,G. Monroe misses 2-pt shot from 2 ft (block by M. Plumlee),,85-98,,
3:53.0,,,85-98,,Defensive rebound by G. Henderson
3:50.0,Violation by G. Antetokounmpo (def goaltending),,85-98,,
3:50.0,,,85-100,2,G. Henderson makes 2-pt shot from 2 ft (assist by A. Aminu)
3:38.0,Shooting foul by C. McCollum (drawn by K. Middleton),,85-100,,
3:38.0,K. Middleton misses free throw 1 of 2,,85-100,,
3:38.0,Offensive rebound by Team,,85-100,,
3:38.0,K. Middleton misses free throw 2 of 2,,85-100,,
3:37.0,,,85-100,,Defensive rebound by D. Lillard
3:16.0,,,85-102,2,C. McCollum makes 2-pt shot from 1 ft
2:57.0,G. Antetokounmpo misses 3-pt shot from 23 ft,,85-102,,
2:55.0,Offensive rebound by K. Middleton,,85-102,,
2:51.0,G. Monroe misses 2-pt shot from 1 ft,,85-102,,
2:50.0,Offensive rebound by G. Monroe,,85-102,,
2:50.0,G. Monroe makes 2-pt shot from 1 ft,2,87-102,,
2:46.0,,,87-102,,Portland full timeout
2:46.0,T. Ennis enters the game for G. Antetokounmpo,,87-102,,
2:46.0,M. Plumlee enters the game for J. Parker,,87-102,,
2:46.0,C. Copeland enters the game for G. Monroe,,87-102,,
2:46.0,J. O'Bryant enters the game for K. Middleton,,87-102,,
2:46.0,R. Vaughn enters the game for M. Carter-Williams,,87-102,,
2:26.0,,,87-102,,G. Henderson misses 2-pt shot from 19 ft
2:25.0,Defensive rebound by T. Ennis,,87-102,,
2:04.0,R. Vaughn misses 3-pt shot from 24 ft,,87-102,,
2:02.0,,,87-102,,Defensive rebound by M. Plumlee
1:50.0,Personal foul by J. O'Bryant (drawn by M. Plumlee),,87-102,,
1:50.0,,,87-102,,M. Leonard enters the game for A. Aminu
1:50.0,,,87-102,,C. Kaman enters the game for M. Plumlee
1:50.0,,,87-102,,P. Connaughton enters the game for C. McCollum
1:50.0,,,87-102,,M. Harkless enters the game for D. Lillard
1:50.0,,,87-102,,T. Frazier enters the game for G. Henderson
1:36.0,,,87-102,,C. Kaman misses 2-pt shot from 13 ft
1:35.0,Defensive rebound by R. Vaughn,,87-102,,
1:24.0,J. O'Bryant makes 2-pt shot from 19 ft (assist by T. Ennis),2,89-102,,
1:13.0,,,89-102,,Shooting foul by C. Copeland (drawn by M. Harkless)
1:13.0,,,89-103,1,M. Harkless makes free throw 1 of 2
1:13.0,,,89-104,1,M. Harkless makes free throw 2 of 2
1:00.0,M. Plumlee makes 2-pt shot from 12 ft (assist by J. O'Bryant),2,91-104,,
0:52.0,,,91-107,3,M. Leonard makes 3-pt shot from 24 ft (assist by P. Connaughton)
0:42.0,J. O'Bryant misses 2-pt shot from 19 ft,,91-107,,
0:40.0,Offensive rebound by M. Plumlee,,91-107,,
0:35.0,M. Plumlee makes 2-pt shot at rim (assist by T. Ennis),2,93-107,,
0:24.0,,,93-107,,M. Harkless misses 2-pt shot from 3 ft (block by M. Plumlee)
0:23.0,Defensive rebound by T. Ennis,,93-107,,
0:09.0,R. Vaughn makes 2-pt shot from 18 ft (assist by J. O'Bryant),2,95-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
