time,Cleveland,pts.away,score,pts.home,Philadelphia
4:02.0,L. James makes 2-pt shot at rim (assist by K. Love),2,93-79,,
4:02.0,,,93-79,,Philadelphia full timeout
3:42.0,,,93-79,,I. Smith misses 2-pt shot from 3 ft
3:41.0,Defensive rebound by K. Irving,,93-79,,
3:21.0,L. James makes 2-pt shot from 19 ft,2,95-79,,
3:08.0,,,95-79,,Turnover by R. Covington (traveling)
2:47.0,J. Smith misses 2-pt shot from 17 ft,,95-79,,
2:43.0,,,95-79,,Defensive rebound by R. Covington
2:34.0,,,95-81,2,J. Okafor makes 2-pt shot at rim (assist by I. Smith)
2:05.0,L. James misses 2-pt shot from 15 ft,,95-81,,
2:03.0,,,95-81,,Defensive rebound by N. Noel
1:58.0,,,95-81,,Shooting foul by K. Irving (drawn by I. Smith)
1:58.0,,,95-82,1,I. Smith makes free throw 1 of 2
1:58.0,M. Dellavedova enters the game for K. Irving,,95-82,,
1:58.0,,,95-83,1,I. Smith makes free throw 2 of 2
1:39.0,J. Smith misses 3-pt shot from 23 ft,,95-83,,
1:37.0,,,95-83,,Defensive rebound by H. Thompson
1:33.0,,,95-83,,Turnover by N. Noel (lost ball)
1:10.0,J. Smith misses 2-pt shot from 22 ft,,95-83,,
1:08.0,,,95-83,,Defensive rebound by I. Smith
1:01.0,,,95-83,,I. Smith misses 2-pt shot at rim
1:00.0,Defensive rebound by J. Smith,,95-83,,
0:46.0,L. James misses 3-pt shot from 25 ft,,95-83,,
0:45.0,,,95-83,,Defensive rebound by Team
0:45.0,J. Cunningham enters the game for L. James,,95-83,,
0:31.0,,,95-85,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
0:06.0,Turnover by Team (shot clock),,95-85,,
0:01.0,,,95-85,,I. Smith misses 2-pt shot from 21 ft
0:00.0,,,95-85,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
