time,Chicago,pts.away,score,pts.home,Miami
3:16.0,,,104-118,2,H. Whiteside makes 2-pt shot from 3 ft (assist by G. Dragic)
3:08.0,,,104-118,,Personal foul by G. Dragic (drawn by J. Holiday)
3:08.0,J. Holiday makes free throw 1 of 2,1,105-118,,
3:08.0,J. Holiday makes free throw 2 of 2,1,106-118,,
2:53.0,,,106-120,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
2:53.0,,,106-120,,Shooting foul by J. Holiday (drawn by H. Whiteside)
2:53.0,Official timeout,,106-120,,
2:53.0,A. Brooks enters the game for P. Gasol,,106-120,,
2:53.0,C. Felicio enters the game for D. Rose,,106-120,,
2:53.0,,,106-121,1,H. Whiteside makes free throw 1 of 1
2:25.0,A. Brooks misses 3-pt shot from 25 ft,,106-121,,
2:24.0,,,106-121,,Defensive rebound by G. Dragic
2:10.0,,,106-123,2,D. Wade makes 2-pt shot from 2 ft
1:57.0,J. Holiday misses 3-pt shot from 24 ft,,106-123,,
1:56.0,,,106-123,,Defensive rebound by L. Deng
1:44.0,,,106-125,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
1:31.0,A. Brooks misses 2-pt shot from 18 ft,,106-125,,
1:30.0,Offensive rebound by C. Felicio,,106-125,,
1:28.0,C. Felicio misses 2-pt shot at rim (block by H. Whiteside),,106-125,,
1:27.0,,,106-125,,Defensive rebound by G. Dragic
1:24.0,,,106-127,2,G. Dragic makes 2-pt shot from 12 ft
1:15.0,,,106-127,,Shooting block foul by L. Deng (drawn by A. Brooks)
1:15.0,A. Brooks makes free throw 1 of 2,1,107-127,,
1:15.0,C. Bairstow enters the game for D. McDermott,,107-127,,
1:15.0,T. Snell enters the game for B. Portis,,107-127,,
1:15.0,,,107-127,,J. Winslow enters the game for J. Johnson
1:15.0,,,107-127,,J. Richardson enters the game for D. Wade
1:15.0,A. Brooks misses free throw 2 of 2,,107-127,,
1:14.0,,,107-127,,Defensive rebound by H. Whiteside
0:59.0,,,107-129,2,G. Dragic makes 2-pt shot from 1 ft
0:45.0,,,107-129,,Personal foul by G. Dragic (drawn by C. Bairstow)
0:45.0,C. Bairstow misses free throw 1 of 2,,107-129,,
0:45.0,Offensive rebound by Team,,107-129,,
0:45.0,C. Bairstow makes free throw 2 of 2,1,108-129,,
0:24.0,,,108-129,,G. Dragic misses 2-pt shot from 3 ft (block by J. Holiday)
0:23.0,Defensive rebound by C. Bairstow,,108-129,,
0:17.0,A. Brooks makes 3-pt shot from 24 ft (assist by J. Holiday),3,111-129,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
