time,Memphis,pts.away,score,pts.home,Toronto
3:54.0,M. Conley misses 3-pt shot from 23 ft,,80-87,,
3:54.0,,,80-87,,Defensive rebound by P. Patterson
3:40.0,,,80-87,,J. Valanciunas misses 2-pt shot from 18 ft
3:39.0,Defensive rebound by M. Conley,,80-87,,
3:31.0,,,80-87,,Personal foul by D. DeRozan (drawn by Z. Randolph)
3:31.0,Z. Randolph makes free throw 1 of 2,1,81-87,,
3:31.0,Z. Randolph makes free throw 2 of 2,1,82-87,,
3:14.0,,,82-89,2,D. DeRozan makes 2-pt shot from 5 ft
3:14.0,,,82-89,,Shooting foul by M. Barnes (drawn by D. DeRozan)
3:14.0,,,82-90,1,D. DeRozan makes free throw 1 of 1
2:51.0,Shooting foul by D. DeRozan (drawn by L. Stephenson),,82-90,,
2:51.0,Official timeout,,82-90,,
2:51.0,L. Stephenson makes free throw 1 of 2,1,83-90,,
2:51.0,L. Stephenson makes free throw 2 of 2,1,84-90,,
2:29.0,,,84-90,,K. Lowry misses 2-pt shot from 13 ft
2:28.0,Defensive rebound by V. Carter,,84-90,,
2:27.0,,,84-90,,Personal foul by K. Lowry (drawn by V. Carter)
2:27.0,V. Carter misses free throw 1 of 2,,84-90,,
2:27.0,Offensive rebound by Team,,84-90,,
2:27.0,V. Carter makes free throw 2 of 2,1,85-90,,
2:07.0,,,85-90,,D. DeRozan misses 2-pt shot from 11 ft
2:07.0,Defensive rebound by V. Carter,,85-90,,
1:58.0,L. Stephenson misses 2-pt shot at rim,,85-90,,
1:58.0,,,85-90,,Defensive rebound by P. Patterson
1:50.0,Violation by M. Barnes (kicked ball),,85-90,,
1:44.0,Personal foul by L. Stephenson (drawn by D. DeRozan),,85-90,,
1:44.0,,,85-91,1,D. DeRozan makes free throw 1 of 2
1:44.0,,,85-91,,B. Biyombo enters the game for J. Valanciunas
1:44.0,,,85-92,1,D. DeRozan makes free throw 2 of 2
1:24.0,V. Carter misses 2-pt shot from 19 ft,,85-92,,
1:24.0,,,85-92,,Defensive rebound by P. Patterson
1:09.0,,,85-95,3,C. Joseph makes 3-pt shot from 24 ft (assist by K. Lowry)
1:09.0,Memphis full timeout,,85-95,,
0:57.0,M. Conley misses 2-pt shot from 21 ft,,85-95,,
0:56.0,,,85-95,,Defensive rebound by P. Patterson
0:53.0,Personal foul by M. Barnes (drawn by B. Biyombo),,85-95,,
0:53.0,,,85-95,,B. Biyombo misses free throw 1 of 2
0:53.0,,,85-95,,Offensive rebound by Team
0:53.0,M. Chalmers enters the game for L. Stephenson,,85-95,,
0:53.0,,,85-96,1,B. Biyombo makes free throw 2 of 2
0:44.0,Memphis full timeout,,85-96,,
0:40.0,M. Chalmers misses 3-pt shot from 24 ft,,85-96,,
0:39.0,Offensive rebound by M. Barnes,,85-96,,
0:35.0,M. Barnes misses 3-pt shot from 22 ft,,85-96,,
0:35.0,,,85-96,,Defensive rebound by P. Patterson
0:34.0,Personal foul by V. Carter (drawn by P. Patterson),,85-96,,
0:34.0,,,85-97,1,P. Patterson makes free throw 1 of 2
0:34.0,,,85-98,1,P. Patterson makes free throw 2 of 2
0:27.0,M. Conley misses 2-pt shot from 1 ft,,85-98,,
0:26.0,,,85-98,,Defensive rebound by D. DeRozan
0:03.0,,,85-98,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
