time,San Antonio,pts.away,score,pts.home,Miami
2:18.0,Shooting foul by J. McRoberts (drawn by B. Marjanovic),,116-94,,
2:18.0,B. Marjanovic makes free throw 1 of 2,1,117-94,,
2:18.0,B. Marjanovic makes free throw 2 of 2,1,118-94,,
2:04.0,,,118-94,,Turnover by J. Winslow (bad pass; steal by B. Marjanovic)
1:45.0,Turnover by B. Diaw (bad pass; steal by J. Stokes),,118-94,,
1:40.0,,,118-96,2,B. Udrih makes 2-pt shot from 1 ft
1:22.0,R. McCallum misses 2-pt shot from 15 ft,,118-96,,
1:21.0,,,118-96,,Defensive rebound by J. McRoberts
1:17.0,,,118-96,,Shooting foul by J. Simmons (drawn by J. Stokes)
1:17.0,,,118-97,1,J. Stokes makes free throw 1 of 2
1:17.0,,,118-97,,J. Stokes misses free throw 2 of 2
1:16.0,Defensive rebound by B. Marjanovic,,118-97,,
0:56.0,R. Butler misses 3-pt shot from 25 ft,,118-97,,
0:55.0,,,118-97,,Defensive rebound by G. Green
0:48.0,,,118-99,2,J. Winslow makes 2-pt shot from 1 ft (assist by J. McRoberts)
0:31.0,Shooting foul by J. Stokes (drawn by B. Marjanovic),,118-99,,
0:31.0,B. Marjanovic misses free throw 1 of 2,,118-99,,
0:31.0,Offensive rebound by Team,,118-99,,
0:31.0,B. Marjanovic makes free throw 2 of 2,1,119-99,,
0:21.0,,,119-101,2,J. McRoberts makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
